Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season
1,Ignazio Abate,it ITA,"DF,MF",Milan,28,1986,27,27,"2,248",25,1,1,2,1,0,0,7,0,0.04,0.04,0.08,0.04,0.08,Matches,2015-2016
2,Christian Abbiati,it ITA,GK,Milan,38,1977,1,0,72,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2015-2016
3,Francesco Acerbi,it ITA,DF,Sassuolo,27,1988,36,36,"3,240",36,4,0,4,4,0,0,3,0,0.11,0,0.11,0.11,0.11,Matches,2015-2016
4,Robert Acquafresca,it ITA,FW,Bologna,27,1987,6,2,208,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2015-2016
5,Afriyie Acquah,gh GHA,MF,Torino,23,1992,29,22,"1,888",21,2,3,5,2,0,0,9,0,0.1,0.14,0.24,0.1,0.24,Matches,2015-2016
6,Claud Adjapong,it ITA,"DF,MF",Sassuolo,17,1998,2,0,20,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2015-2016
7,Ali Adnan Kadhim,iq IRQ,"DF,MF",Udinese,21,1993,28,21,"1,904",21.2,1,1,2,1,0,0,6,0,0.05,0.05,0.09,0.05,0.09,Matches,2015-2016
8,Luiz Adriano,br BRA,"FW,MF",Milan,28,1987,26,12,"1,194",13.3,4,0,4,3,1,1,4,0,0.3,0,0.3,0.23,0.23,Matches,2015-2016
9,Rodrigo Aguirre,uy URU,FW,Udinese,20,1994,10,3,340,3.8,0,1,1,0,0,0,1,0,0,0.26,0.26,0,0.26,Matches,2015-2016
10,Emmanuel Agyemang-Badu,gh GHA,MF,Udinese,24,1990,33,30,"2,661",29.6,4,1,5,4,0,0,6,0,0.14,0.03,0.17,0.14,0.17,Matches,2015-2016
11,Arlind Ajeti,al ALB,DF,Frosinone,21,1993,16,15,"1,218",13.5,1,0,1,1,0,0,5,1,0.07,0,0.07,0.07,0.07,Matches,2015-2016
12,Fabrizio Alastra,it ITA,GK,Palermo,17,1997,2,1,144,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2015-2016
13,Michelangelo Albertazzi,it ITA,DF,Hellas Verona,24,1991,10,9,702,7.8,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches,2015-2016
14,Raúl Albiol,es ESP,DF,Napoli,29,1985,36,36,"3,240",36,1,1,2,1,0,0,10,0,0.03,0.03,0.06,0.03,0.06,Matches,2015-2016
15,Alex,br BRA,DF,Milan,33,1982,25,24,"2,091",23.2,3,1,4,3,0,0,5,0,0.13,0.04,0.17,0.13,0.17,Matches,2015-2016
16,Allan,br BRA,"DF,MF",Napoli,24,1991,35,32,"2,818",31.3,3,5,8,3,0,0,5,0,0.1,0.16,0.26,0.1,0.26,Matches,2015-2016
17,Marcos Alonso,es ESP,"DF,MF",Fiorentina,24,1990,31,26,"2,347",26.1,3,4,7,3,0,0,8,0,0.12,0.15,0.27,0.12,0.27,Matches,2015-2016
18,Ricky Álvarez,ar ARG,MF,Sampdoria,27,1988,13,9,806,9,1,1,2,1,0,0,2,0,0.11,0.11,0.22,0.11,0.22,Matches,2015-2016
19,Amauri,it ITA,FW,Torino,35,1980,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2015-2016
20,Felipe Anderson,br BRA,"FW,MF",Lazio,22,1993,35,21,"2,071",23,7,4,11,7,0,0,2,0,0.3,0.17,0.48,0.3,0.48,Matches,2015-2016
21,Ionuț Andrei Radu,ro ROU,GK,Inter,,,1,0,19,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2015-2016
22,Cristian Ansaldi,ar ARG,"DF,MF",Genoa,28,1986,24,23,"2,010",22.3,0,4,4,0,0,0,4,0,0,0.18,0.18,0,0.18,Matches,2015-2016
23,Luca Antei,it ITA,DF,Sassuolo,23,1992,5,4,341,3.8,0,1,1,0,0,0,2,0,0,0.26,0.26,0,0.26,Matches,2015-2016
24,Luca Antonelli,it ITA,"DF,MF",Milan,28,1987,28,25,"2,338",26,3,1,4,3,0,0,2,0,0.12,0.04,0.15,0.12,0.15,Matches,2015-2016
25,Siniša Anđelković,si SVN,DF,Palermo,29,1986,23,21,"1,908",21.2,0,1,1,0,0,0,5,1,0,0.05,0.05,0,0.05,Matches,2015-2016
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,2015-2016
26,Lorenzo Ariaudo,it ITA,DF,Empoli,26,1989,5,5,421,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2015-2016
27,Lorenzo Ariaudo,it ITA,DF,Sassuolo,26,1989,4,2,237,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2015-2016
28,Pablo Armero,co COL,"DF,MF",Udinese,28,1986,5,5,417,4.6,1,0,1,1,0,0,0,0,0.22,0,0.22,0.22,0.22,Matches,2015-2016
29,Kwadwo Asamoah,gh GHA,"DF,MF",Juventus,26,1988,11,6,569,6.3,0,1,1,0,0,0,1,0,0,0.16,0.16,0,0.16,Matches,2015-2016
30,Davide Astori,it ITA,DF,Fiorentina,28,1987,33,32,"2,901",32.2,0,0,0,0,0,0,5,0,0,0,0,0,0,Matches,2015-2016
31,Danilo Avelar,br BRA,"DF,MF",Torino,26,1989,6,4,344,3.8,0,2,2,0,0,0,1,0,0,0.52,0.52,0,0.52,Matches,2015-2016
32,Khouma Babacar,sn SEN,FW,Fiorentina,22,1993,18,11,802,8.9,5,1,6,4,1,1,2,0,0.56,0.11,0.67,0.45,0.56,Matches,2015-2016
33,Carlos Bacca,co COL,FW,Milan,28,1986,38,36,"3,156",35.1,18,2,20,16,2,2,2,0,0.51,0.06,0.57,0.46,0.51,Matches,2015-2016
34,Milan Badelj,hr CRO,MF,Fiorentina,26,1989,27,25,"2,129",23.7,1,1,2,1,0,0,9,1,0.04,0.04,0.08,0.04,0.08,Matches,2015-2016
35,Keita Baldé,sn SEN,"FW,MF",Lazio,20,1995,31,15,"1,777",19.7,4,2,6,4,0,0,5,0,0.2,0.1,0.3,0.2,0.3,Matches,2015-2016
36,Norbert Balogh,hu HUN,FW,Palermo,19,1996,4,0,55,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2015-2016
37,Mario Balotelli,it ITA,FW,Milan,24,1990,20,8,837,9.3,1,1,2,1,0,1,6,0,0.11,0.11,0.22,0.11,0.22,Matches,2015-2016
38,Federico Barba,it ITA,DF,Empoli,21,1993,10,10,889,9.9,0,1,1,0,0,0,3,0,0,0.1,0.1,0,0.1,Matches,2015-2016
39,Francesco Bardi,it ITA,GK,Frosinone,23,1992,2,2,119,1.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,2015-2016
40,Édgar Barreto,py PAR,MF,Sampdoria,31,1984,30,26,"2,162",24,0,1,1,0,0,0,3,0,0,0.04,0.04,0,0.04,Matches,2015-2016
41,Andrea Barzagli,it ITA,DF,Juventus,34,1981,31,31,"2,737",30.4,1,0,1,1,0,0,2,0,0.03,0,0.03,0.03,0.03,Matches,2015-2016
42,Daniele Baselli,it ITA,MF,Torino,23,1992,35,25,"2,264",25.2,4,3,7,4,0,0,6,0,0.16,0.12,0.28,0.16,0.28,Matches,2015-2016
43,Davide Bassi,it ITA,GK,Atalanta,30,1985,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2015-2016
44,Dušan Basta,rs SRB,"DF,MF",Lazio,30,1984,23,21,"1,815",20.2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,2015-2016
45,Vid Belec,si SVN,GK,Carpi,25,1990,30,30,"2,700",30,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,2015-2016
46,Gianpaolo Bellini,it ITA,DF,Atalanta,35,1980,15,11,946,10.5,1,0,1,0,1,1,4,0,0.1,0,0.1,0,0,Matches,2015-2016
47,Andrea Belotti,it ITA,FW,Torino,21,1993,35,31,"2,588",28.8,12,4,16,8,4,4,4,0,0.42,0.14,0.56,0.28,0.42,Matches,2015-2016
48,Marco Benassi,it ITA,MF,Torino,20,1994,32,21,"1,910",21.2,3,2,5,3,0,0,7,0,0.14,0.09,0.24,0.14,0.24,Matches,2015-2016
49,Accursio Bentivegna,it ITA,FW,Palermo,19,1996,1,0,11,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,2015-2016
50,Francesco Benussi,it ITA,GK,Carpi,33,1981,4,4,298,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2015-2016
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,2015-2016
51,Domenico Berardi,it ITA,"FW,MF",Sassuolo,20,1994,29,26,"2,167",24.1,7,6,13,4,3,4,10,1,0.29,0.25,0.54,0.17,0.42,Matches,2015-2016
