Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Season
1,Ismael Aaneba,fr FRA,DF,Strasbourg,19,1999,3,3,204,2.3,0,0,0,0,0,0,3,0,0,0,0.4,0.4,3,8,8,0,0,0,0,0,0,0.17,0.17,0,0.17,Matches,2018-2019
2,Yunis Abdelhamid,ma MAR,DF,Reims,30,1987,38,38,"3,420",38,0,0,0,0,0,0,2,0,1.6,1.6,0.1,1.8,16,71,1,0,0,0,0,0,0.04,0,0.05,0.04,0.05,Matches,2018-2019
3,Mehdi Abeid,dz ALG,MF,Dijon,25,1992,26,23,"2,023",22.5,3,0,3,2,1,1,6,0,2.9,2.1,1.6,3.8,43,97,50,0.13,0,0.13,0.09,0.09,0.13,0.07,0.2,0.1,0.17,Matches,2018-2019
4,Charles Abi,fr FRA,"DF,FW",Saint-Étienne,18,2000,3,0,32,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,2,1,0,0,0,0,0,0,0.17,0.12,0.29,0.17,0.29,Matches,2018-2019
5,Khaled Adénon,bj BEN,DF,Amiens,33,1985,23,22,"1,994",22.2,0,0,0,0,0,0,7,1,0.7,0.7,0.1,0.9,13,63,1,0,0,0,0,0,0.03,0.01,0.04,0.03,0.04,Matches,2018-2019
6,Yacine Adli,fr FRA,MF,Bordeaux,18,2000,7,2,216,2.4,0,0,0,0,0,0,1,0,0,0,0.8,0.8,13,17,17,0,0,0,0,0,0.01,0.34,0.34,0.01,0.34,Matches,2018-2019
7,Nayef Aguerd,ma MAR,DF,Dijon,22,1996,13,12,"1,050",11.7,3,0,3,3,0,0,4,1,1.5,1.5,0.1,1.6,11,32,3,0.26,0,0.26,0.26,0.26,0.13,0.01,0.14,0.13,0.14,Matches,2018-2019
8,Ruben Aguilar,fr FRA,DF,Montpellier,25,1993,29,29,"2,528",28.1,1,4,5,1,0,0,8,0,0.9,0.9,2.5,3.4,85,128,155,0.04,0.14,0.18,0.04,0.18,0.03,0.09,0.12,0.03,0.12,Matches,2018-2019
9,Jean-Eudes Aholou,ci CIV,MF,Monaco,24,1994,17,12,"1,075",11.9,0,1,1,0,0,0,2,0,0.8,0.8,0.6,1.5,36,64,27,0,0.08,0.08,0,0.08,0.07,0.05,0.12,0.07,0.12,Matches,2018-2019
10,Youssef Aït Bennasser,ma MAR,MF,Saint-Étienne,22,1996,13,11,936,10.4,0,0,0,0,0,0,0,0,0.3,0.3,0.4,0.7,6,67,12,0,0,0,0,0,0.02,0.04,0.07,0.02,0.07,Matches,2018-2019
