Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Season
25,Victorien Angban,ci CIV,MF,Metz,22,1996,20,11,"1,029",11.4,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,25,70,17,0,0,0,0,0,0.01,0.01,0.02,0.01,0.02,Matches,2019-2020
26,Janis Antiste,fr FRA,MF,Toulouse,16,2002,1,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.37,0,0.37,0.37,0.37,Matches,2019-2020
27,Houssem Aouar,dz ALG,"MF,FW",Lyon,21,1998,25,23,"1,956",21.7,3,4,7,3,0,0,3,0,3.7,3.7,2.3,6,105,134,127,0.14,0.18,0.32,0.14,0.32,0.17,0.11,0.27,0.17,0.27,Matches,2019-2020
28,Adil Aouchiche,fr FRA,MF,Paris S-G,17,2002,1,1,64,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,Matches,2019-2020
29,Dennis Appiah,fr FRA,DF,Nantes,27,1992,19,18,"1,605",17.8,0,0,0,0,0,0,2,0,0.1,0.1,0.4,0.4,23,67,32,0,0,0,0,0,0,0.02,0.02,0,0.02,Matches,2019-2020
30,Luiz Araújo,br BRA,"FW,MF",Lille,23,1996,21,7,828,9.2,2,1,3,2,0,0,1,0,1,1,1.8,2.8,30,29,60,0.22,0.11,0.33,0.22,0.33,0.11,0.2,0.31,0.11,0.31,Matches,2019-2020
31,Alphonse Areola,fr FRA,GK,Paris S-G,26,1993,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2019-2020
32,Youcef Atal,dz ALG,"FW,DF",Nice,23,1996,13,12,"1,003",11.1,1,1,2,1,0,0,5,0,1.4,1.4,1,2.4,54,40,119,0.09,0.09,0.18,0.09,0.18,0.13,0.09,0.22,0.13,0.22,Matches,2019-2020
33,Jean-Kévin Augustin,fr FRA,FW,Monaco,22,1997,10,2,266,3,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,6,0,17,0,0,0,0,0,0.16,0,0.16,0.16,0.16,Matches,2019-2020
34,Mathias Autret,fr FRA,"MF,FW",Brest,28,1991,23,14,"1,222",13.6,2,3,5,2,0,0,3,0,1.8,1.8,2.8,4.7,32,63,83,0.15,0.22,0.37,0.15,0.37,0.14,0.21,0.34,0.14,0.34,Matches,2019-2020
35,Ludovic Baal,gf GUF,DF,Brest,33,1986,11,9,827,9.2,0,0,0,0,0,0,1,0,0.1,0.1,0.8,0.9,29,48,42,0,0,0,0,0,0.02,0.08,0.1,0.02,0.1,Matches,2019-2020
36,Benoît Badiashile,fr FRA,DF,Monaco,18,2001,16,16,"1,411",15.7,0,0,0,0,0,0,0,0,0.7,0.7,0.1,0.8,19,87,4,0,0,0,0,0,0.04,0.01,0.05,0.04,0.05,Matches,2019-2020
37,Bastian Badu,fr FRA,FW,Montpellier,19,2000,1,0,9,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,4,0,0,0,0,0,0.52,0,0.52,0.52,0.52,Matches,2019-2020
