Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season
1,David Abraham,ar ARG,DF,Eint Frankfurt,30,1986,30,30,"2,584",28.7,1,1,2,1,0,0,5,1,0.03,0.03,0.07,0.03,0.07,Matches,2016-2017
2,Amir Abrashi,al ALB,MF,Freiburg,26,1990,20,16,"1,320",14.7,1,0,1,1,0,0,3,0,0.07,0,0.07,0.07,0.07,Matches,2016-2017
3,René Adler,de GER,GK,Hamburger SV,31,1985,19,19,"1,710",19,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,2016-2017
4,David Alaba,at AUT,"DF,MF",Bayern Munich,24,1992,32,29,"2,506",27.8,4,4,8,4,0,0,1,0,0.14,0.14,0.29,0.14,0.29,Matches,2016-2017
5,Thiago Alcántara,es ESP,MF,Bayern Munich,25,1991,27,26,"2,288",25.4,6,5,11,6,0,0,4,0,0.24,0.2,0.43,0.24,0.43,Matches,2016-2017
6,Sami Allagui,tn TUN,"FW,MF",Hertha BSC,30,1986,12,0,181,2,1,0,1,0,1,1,2,0,0.5,0,0.5,0,0,Matches,2016-2017
7,Allan,br BRA,MF,Hertha BSC,19,1997,15,8,798,8.9,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches,2016-2017
8,Xabi Alonso,es ESP,MF,Bayern Munich,34,1981,27,22,"1,903",21.1,3,2,5,3,0,0,6,0,0.14,0.09,0.24,0.14,0.24,Matches,2016-2017
9,Halil Altıntop,tr TUR,"FW,MF",Augsburg,33,1982,31,17,"1,605",17.8,6,2,8,6,0,0,1,0,0.34,0.11,0.45,0.34,0.45,Matches,2016-2017
10,Hamit Altıntop,tr TUR,"DF,MF",Darmstadt 98,33,1982,16,15,"1,362",15.1,0,0,0,0,0,1,3,0,0,0,0,0,0,Matches,2016-2017
11,Nadiem Amiri,de GER,MF,Hoffenheim,19,1996,33,20,"1,989",22.1,2,4,6,2,0,0,2,0,0.09,0.18,0.27,0.09,0.27,Matches,2016-2017
12,Dennis Aogo,de GER,"DF,MF",Schalke 04,29,1987,7,3,290,3.2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,2016-2017
13,Charles Aránguiz,cl CHI,MF,Leverkusen,27,1989,26,22,"1,815",20.2,2,2,4,1,1,2,9,1,0.1,0.1,0.2,0.05,0.15,Matches,2016-2017
14,Maximilian Arnold,de GER,MF,Wolfsburg,22,1994,32,28,"2,423",26.9,2,3,5,2,0,0,9,0,0.07,0.11,0.19,0.07,0.19,Matches,2016-2017
15,Barış Atik,de GER,"FW,MF",Hoffenheim,21,1995,3,0,70,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2016-2017
16,Pierre-Emerick Aubameyang,ga GAB,"FW,MF",Dortmund,27,1989,32,31,"2,779",30.9,31,3,34,29,2,4,3,0,1,0.1,1.1,0.94,1.04,Matches,2016-2017
17,Donis Avdijaj,xk KVX,"FW,MF",Schalke 04,19,1996,9,2,298,3.3,2,0,2,2,0,0,1,0,0.6,0,0.6,0.6,0.6,Matches,2016-2017
18,Florian Baak,de GER,DF,Hertha BSC,17,1999,2,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2016-2017
19,Holger Badstuber,de GER,DF,Bayern Munich,27,1989,1,0,29,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2016-2017
20,Holger Badstuber,de GER,DF,Schalke 04,27,1989,10,10,862,9.6,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,2016-2017
21,Nabil Bahoui,se SWE,"FW,MF",Hamburger SV,25,1991,1,1,66,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2016-2017
22,Daniel Baier,de GER,MF,Augsburg,32,1984,27,27,"2,393",26.6,1,3,4,1,0,0,5,0,0.04,0.11,0.15,0.04,0.15,Matches,2016-2017
23,Leon Bailey,jm JAM,"FW,MF",Leverkusen,18,1997,8,0,140,1.6,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,2016-2017
24,Leon Balogun,ng NGA,DF,Mainz 05,28,1988,17,13,"1,023",11.4,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches,2016-2017
25,Patrick Banggaard,dk DEN,DF,Darmstadt 98,22,1994,9,9,810,9,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches,2016-2017
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,2016-2017
26,Philipp Bargfrede,de GER,MF,Werder Bremen,27,1989,11,4,455,5.1,1,1,2,1,0,0,3,0,0.2,0.2,0.4,0.2,0.4,Matches,2016-2017
27,Aymen Barkok,ma MAR,MF,Eint Frankfurt,18,1998,18,6,659,7.3,2,2,4,2,0,0,1,0,0.27,0.27,0.55,0.27,0.55,Matches,2016-2017
28,Fin Bartels,de GER,"FW,MF",Werder Bremen,29,1987,31,23,"2,219",24.7,8,6,14,8,0,0,4,0,0.32,0.24,0.57,0.32,0.57,Matches,2016-2017
29,Marc Bartra,es ESP,DF,Dortmund,25,1991,19,18,"1,560",17.3,0,0,0,0,0,0,5,0,0,0,0,0,0,Matches,2016-2017
30,Robert Bauer,de GER,"DF,MF",Werder Bremen,21,1995,27,25,"2,122",23.6,1,3,4,1,0,0,5,0,0.04,0.13,0.17,0.04,0.17,Matches,2016-2017
31,Oliver Baumann,de GER,GK,Hoffenheim,26,1990,34,34,"3,060",34,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,2016-2017
32,Julian Baumgartlinger,at AUT,"DF,MF",Leverkusen,28,1988,22,19,"1,561",17.3,0,1,1,0,0,0,1,0,0,0.06,0.06,0,0.06,Matches,2016-2017
33,Riechedly Bazoer,cw CUW,"DF,MF",Wolfsburg,19,1996,12,12,969,10.8,0,1,1,0,0,0,5,0,0,0.09,0.09,0,0.09,Matches,2016-2017
34,Stefan Bell,de GER,DF,Mainz 05,24,1991,31,30,"2,744",30.5,5,1,6,5,0,0,11,1,0.16,0.03,0.2,0.16,0.2,Matches,2016-2017
35,Karim Bellarabi,de GER,"FW,MF",Leverkusen,26,1990,16,14,"1,113",12.4,2,5,7,2,0,0,4,0,0.16,0.4,0.57,0.16,0.57,Matches,2016-2017
36,Änis Ben-Hatira,tn TUN,MF,Darmstadt 98,28,1988,11,8,586,6.5,1,0,1,1,0,0,3,0,0.15,0,0.15,0.15,0.15,Matches,2016-2017
37,Diego Benaglio,ch SUI,GK,Wolfsburg,32,1983,14,14,"1,260",14,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,2016-2017
38,Lars Bender,de GER,"DF,MF",Leverkusen,27,1989,9,9,602,6.7,0,1,1,0,0,0,4,0,0,0.15,0.15,0,0.15,Matches,2016-2017
39,Sven Bender,de GER,"DF,MF",Dortmund,27,1989,6,3,272,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2016-2017
40,László Bénes,sk SVK,MF,Gladbach,18,1997,8,3,288,3.2,1,0,1,1,0,0,0,0,0.31,0,0.31,0.31,0.31,Matches,2016-2017
