Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Season
1,Yunis Abdelhamid,ma MAR,DF,Reims,33,1987,34,34,"2,983",33.1,2,0,2,2,0,0,5,1,1.2,1.2,0.8,2,23,119,14,0.06,0,0.06,0.06,0.06,0.04,0.02,0.06,0.04,0.06,Matches,2021-2022
2,Salis Abdul Samed,gh GHA,MF,Clermont Foot,21,2000,31,29,"2,462",27.4,1,0,1,1,0,0,12,3,0.7,0.7,0.9,1.6,24,108,47,0.04,0,0.04,0.04,0.04,0.03,0.03,0.06,0.03,0.06,Matches,2021-2022
3,Laurent Abergel,fr FRA,MF,Lorient,28,1993,34,34,"2,956",32.8,0,2,2,0,0,0,9,0,1.5,1.5,3.7,5.1,30,171,73,0,0.06,0.06,0,0.06,0.04,0.11,0.16,0.04,0.16,Matches,2021-2022
4,Charles Abi,fr FRA,FW,Saint-Étienne,21,2000,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,Matches,2021-2022
5,Matthis Abline,fr FRA,FW,Rennes,18,2003,7,1,103,1.1,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,1,2,6,0,0,0,0,0,0.24,0,0.24,0.24,0.24,Matches,2021-2022
6,Mohamed Achi,fr FRA,MF,Nantes,19,2002,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2021-2022
7,Martin Adeline,fr FRA,"MF,FW",Reims,17,2003,8,2,352,3.9,0,0,0,0,0,0,1,0,0.4,0.4,0.5,0.8,5,16,13,0,0,0,0,0,0.09,0.12,0.21,0.09,0.21,Matches,2021-2022
8,Yacine Adli,fr FRA,"MF,FW",Bordeaux,21,2000,36,25,"2,260",25.1,1,7,8,1,0,0,5,0,2,2,5.7,7.7,66,164,99,0.04,0.28,0.32,0.04,0.32,0.08,0.23,0.31,0.08,0.31,Matches,2021-2022
9,Lucien Agoume,fr FRA,MF,Brest,19,2002,27,21,"1,868",20.8,0,0,0,0,0,0,6,0,1.2,1.1,0.7,1.7,16,116,28,0,0,0,0,0,0.06,0.03,0.09,0.05,0.08,Matches,2021-2022
10,Nayef Aguerd,ma MAR,DF,Rennes,25,1996,31,31,"2,735",30.4,2,2,4,2,0,0,3,1,2.1,2.1,0.3,2.4,11,101,1,0.07,0.07,0.13,0.07,0.13,0.07,0.01,0.08,0.07,0.08,Matches,2021-2022
