Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season
1,Patrick van Aanholt,nl NED,DF,Sunderland,24,1990,33,33,"2,970",33,4,3,7,4,0,0,2,0,0.12,0.09,0.21,0.12,0.21,Matches,2015-2016
2,Rolando Aarons,eng ENG,MF,Newcastle Utd,19,1995,10,3,381,4.2,1,1,2,1,0,0,1,0,0.24,0.24,0.47,0.24,0.47,Matches,2015-2016
3,Almen Abdi,ch SUI,MF,Watford,28,1986,32,25,"1,974",21.9,2,0,2,2,0,0,4,0,0.09,0,0.09,0.09,0.09,Matches,2015-2016
4,Tammy Abraham,eng ENG,FW,Chelsea,17,1997,2,0,55,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2015-2016
5,Charlie Adam,sct SCO,MF,Stoke City,29,1985,22,12,"1,044",11.6,1,1,2,1,0,0,6,1,0.09,0.09,0.17,0.09,0.17,Matches,2015-2016
6,Emmanuel Adebayor,tg TOG,FW,Crystal Palace,31,1984,12,7,619,6.9,1,1,2,1,0,0,1,0,0.15,0.15,0.29,0.15,0.29,Matches,2015-2016
7,Adrián,es ESP,GK,West Ham,28,1987,32,32,"2,880",32,0,0,0,0,0,0,1,1,0,0,0,0,0,Matches,2015-2016
8,Ibrahim Afellay,nl NED,"FW,MF",Stoke City,29,1986,31,24,"2,102",23.4,2,2,4,2,0,0,3,1,0.09,0.09,0.17,0.09,0.17,Matches,2015-2016
9,Benik Afobe,cd COD,FW,Bournemouth,22,1993,15,12,930,10.3,4,0,4,4,0,0,0,0,0.39,0,0.39,0.39,0.39,Matches,2015-2016
10,Gabriel Agbonlahor,eng ENG,"FW,MF",Aston Villa,28,1986,15,13,"1,031",11.5,1,2,3,1,0,0,0,0,0.09,0.17,0.26,0.09,0.26,Matches,2015-2016
11,Sergio Agüero,ar ARG,FW,Manchester City,27,1988,30,29,"2,360",26.2,24,2,26,20,4,5,1,0,0.92,0.08,0.99,0.76,0.84,Matches,2015-2016
12,Nathan Aké,nl NED,"DF,MF",Watford,20,1995,24,20,"1,875",20.8,1,0,1,1,0,0,4,1,0.05,0,0.05,0.05,0.05,Matches,2015-2016
13,Marc Albrighton,eng ENG,"DF,FW",Leicester City,25,1989,38,34,"2,749",30.5,2,6,8,2,0,0,4,0,0.07,0.2,0.26,0.07,0.26,Matches,2015-2016
14,Toby Alderweireld,be BEL,DF,Tottenham,26,1989,38,38,"3,419",38,4,2,6,4,0,0,3,0,0.11,0.05,0.16,0.11,0.16,Matches,2015-2016
15,Joe Allen,wls WAL,MF,Liverpool,25,1990,19,8,735,8.2,2,1,3,2,0,0,0,0,0.24,0.12,0.37,0.24,0.37,Matches,2015-2016
16,Dele Alli,eng ENG,"FW,MF",Tottenham,19,1996,33,28,"2,470",27.4,10,9,19,10,0,0,7,0,0.36,0.33,0.69,0.36,0.69,Matches,2015-2016
17,Ryan Allsop,eng ENG,GK,Bournemouth,23,1992,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2015-2016
18,Daniel Amartey,gh GHA,"DF,MF",Leicester City,20,1994,5,1,104,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2015-2016
19,Jordi Amat,id IDN,DF,Swansea City,23,1992,8,5,463,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2015-2016
20,Jordan Amavi,fr FRA,DF,Aston Villa,21,1994,10,9,837,9.3,0,2,2,0,0,0,2,0,0,0.22,0.22,0,0.22,Matches,2015-2016
21,Nordin Amrabat,ma MAR,"FW,MF",Watford,28,1987,12,4,506,5.6,0,0,0,0,0,0,4,1,0,0,0,0,0,Matches,2015-2016
22,José Ángel Crespo,es ESP,DF,Aston Villa,28,1987,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2015-2016
23,Victor Anichebe,ng NGA,FW,West Brom,27,1988,10,3,369,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2015-2016
24,Vurnon Anita,cw CUW,"DF,MF",Newcastle Utd,26,1989,28,24,"2,101",23.3,1,3,4,1,0,0,6,0,0.04,0.13,0.17,0.04,0.17,Matches,2015-2016
25,Michail Antonio,jm JAM,"FW,MF",West Ham,25,1990,26,23,"2,057",22.9,8,3,11,8,0,0,3,0,0.35,0.13,0.48,0.35,0.48,Matches,2015-2016
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,2015-2016
26,Ikechi Anya,sct SCO,"FW,MF",Watford,27,1988,28,17,"1,686",18.7,0,1,1,0,0,0,0,0,0,0.05,0.05,0,0.05,Matches,2015-2016
27,Giedrius Arlauskis,lt LTU,GK,Watford,27,1987,1,0,24,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2015-2016
28,Marko Arnautović,at AUT,"FW,MF",Stoke City,26,1989,34,33,"2,807",31.2,11,6,17,8,3,3,2,0,0.35,0.19,0.55,0.26,0.45,Matches,2015-2016
29,Harry Arter,ie IRL,MF,Bournemouth,25,1989,21,21,"1,661",18.5,1,0,1,1,0,0,7,0,0.05,0,0.05,0.05,0.05,Matches,2015-2016
30,Mikel Arteta,es ESP,MF,Arsenal,33,1982,9,0,169,1.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,2015-2016
31,Charlie Austin,eng ENG,FW,Southampton,26,1989,7,2,211,2.3,1,0,1,1,0,0,0,0,0.43,0,0.43,0.43,0.43,Matches,2015-2016
32,André Ayew,gh GHA,"FW,MF",Swansea City,25,1989,34,34,"2,925",32.5,12,2,14,12,0,0,5,0,0.37,0.06,0.43,0.37,0.43,Matches,2015-2016
33,Jordan Ayew,gh GHA,"FW,MF",Aston Villa,23,1991,30,27,"2,349",26.1,7,0,7,6,1,1,6,1,0.27,0,0.27,0.23,0.23,Matches,2015-2016
34,César Azpilicueta,es ESP,"DF,MF",Chelsea,25,1989,37,36,"3,199",35.5,2,3,5,2,0,0,7,0,0.06,0.08,0.14,0.06,0.14,Matches,2015-2016
