Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Season
1,Aymen Abdennour,tn TUN,DF,Marseille,27,1989,8,6,499,5.5,0,0,0,0,0,0,3,0,0.1,0.1,0,0.1,2,12,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches,2017-2018
2,Mehdi Abeid,dz ALG,MF,Dijon,24,1992,19,14,"1,176",13.1,0,1,1,0,0,0,2,0,1,1,0.3,1.3,20,49,14,0,0.08,0.08,0,0.08,0.07,0.02,0.1,0.07,0.1,Matches,2017-2018
3,Khaled Adénon,bj BEN,DF,Amiens,32,1985,34,32,"2,921",32.5,0,1,1,0,0,0,9,0,0.6,0.6,0.2,0.9,6,51,1,0,0.03,0.03,0,0.03,0.02,0.01,0.03,0.02,0.03,Matches,2017-2018
4,Yacine Adli,fr FRA,FW,Paris S-G,17,2000,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,Matches,2017-2018
5,Ruben Aguilar,fr FRA,DF,Montpellier,24,1993,31,27,"2,459",27.3,0,2,2,0,0,0,2,0,0.7,0.7,3.7,4.4,97,130,160,0,0.07,0.07,0,0.07,0.03,0.13,0.16,0.03,0.16,Matches,2017-2018
6,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,23,1994,35,35,"3,006",33.4,5,0,5,5,0,0,4,0,2.2,2.2,1,3.3,32,131,22,0.15,0,0.15,0.15,0.15,0.07,0.03,0.1,0.07,0.1,Matches,2017-2018
7,Youssef Aït Bennasser,ma MAR,MF,Caen,21,1996,27,25,"2,047",22.7,0,0,0,0,0,0,4,0,0.7,0.7,0.7,1.5,37,178,27,0,0,0,0,0,0.03,0.03,0.06,0.03,0.06,Matches,2017-2018
8,David Alcibiade,fr FRA,DF,Nantes,25,1991,3,2,208,2.3,0,1,1,0,0,0,0,0,0.1,0.1,0.4,0.4,2,6,2,0,0.43,0.43,0,0.43,0.03,0.16,0.19,0.03,0.19,Matches,2017-2018
9,Júnior Alonso,py PAR,DF,Lille,24,1993,34,30,"2,781",30.9,2,1,3,2,0,0,3,0,1.1,1.1,0.5,1.7,19,114,14,0.06,0.03,0.1,0.06,0.1,0.04,0.02,0.05,0.04,0.05,Matches,2017-2018
10,Dani Alves,br BRA,DF,Paris S-G,34,1983,25,23,"2,063",22.9,1,7,8,1,0,0,7,1,1.4,1.4,5,6.3,76,168,144,0.04,0.31,0.35,0.04,0.35,0.06,0.22,0.28,0.06,0.28,Matches,2017-2018
11,Ibrahim Amadou,fr FRA,"MF,DF",Lille,24,1993,30,30,"2,405",26.7,0,0,0,0,0,0,3,1,0.9,0.9,0.4,1.3,18,114,19,0,0,0,0,0,0.03,0.01,0.05,0.03,0.05,Matches,2017-2018
12,Morgan Amalfitano,fr FRA,"MF,FW",Rennes,32,1985,14,10,746,8.3,0,0,0,0,0,0,2,2,1,1,0.5,1.5,16,24,34,0,0,0,0,0,0.12,0.06,0.18,0.12,0.18,Matches,2017-2018
13,Romain Amalfitano,fr FRA,MF,Dijon,27,1989,33,31,"2,703",30,0,3,3,0,0,0,5,0,0.3,0.3,1.8,2.2,50,146,46,0,0.1,0.1,0,0.1,0.01,0.06,0.07,0.01,0.07,Matches,2017-2018
14,Jordan Amavi,fr FRA,DF,Marseille,23,1994,27,24,"2,193",24.4,0,5,5,0,0,0,7,0,0.6,0.6,2,2.6,70,90,83,0,0.21,0.21,0,0.21,0.02,0.08,0.11,0.02,0.11,Matches,2017-2018
15,Kelvin Amian,fr FRA,DF,Toulouse,19,1998,36,35,"3,154",35,1,1,2,1,0,0,3,1,1.4,1.4,1.1,2.4,41,107,83,0.03,0.03,0.06,0.03,0.06,0.04,0.03,0.07,0.04,0.07,Matches,2017-2018
16,Benjamin André,fr FRA,MF,Rennes,26,1990,34,34,"3,011",33.5,3,3,6,3,0,0,11,1,4.3,4.3,1.9,6.2,48,234,117,0.09,0.09,0.18,0.09,0.18,0.13,0.06,0.19,0.13,0.19,Matches,2017-2018
17,Yoann Andreu,fr FRA,DF,Angers,28,1989,23,23,"2,070",23,1,2,3,1,0,0,4,0,0.1,0.1,1.9,2,37,87,74,0.04,0.09,0.13,0.04,0.13,0.01,0.08,0.09,0.01,0.09,Matches,2017-2018
18,Houssem Aouar,dz ALG,"MF,FW",Lyon,19,1998,32,27,"2,433",27,6,5,11,6,0,0,1,0,5.3,5.3,4.5,9.8,87,195,131,0.22,0.18,0.41,0.22,0.41,0.2,0.17,0.36,0.2,0.36,Matches,2017-2018
19,Luiz Araújo,br BRA,"FW,MF",Lille,21,1996,34,24,"2,018",22.4,5,3,8,5,0,0,5,0,5.2,5.2,1.5,6.6,94,75,152,0.22,0.13,0.36,0.22,0.36,0.23,0.07,0.29,0.23,0.29,Matches,2017-2018
20,Alphonse Areola,fr FRA,GK,Paris S-G,24,1993,34,34,"3,060",34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2017-2018
21,Yoël Armougom,fr FRA,"DF,MF",Caen,19,1998,4,1,139,1.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,5,6,10,0,0,0,0,0,0,0.04,0.04,0,0.04,Matches,2017-2018
22,Benoît Assou-Ekotto,cm CMR,DF,Metz,33,1984,13,13,"1,051",11.7,0,0,0,0,0,0,2,2,0.1,0.1,0.5,0.5,8,50,17,0,0,0,0,0,0,0.04,0.05,0,0.05,Matches,2017-2018
23,Danilo Avelar,br BRA,DF,Amiens,28,1989,21,20,"1,727",19.2,1,0,1,1,0,0,2,0,0.5,0.5,0.9,1.4,22,76,66,0.05,0,0.05,0.05,0.05,0.03,0.05,0.07,0.03,0.07,Matches,2017-2018
24,Durel Avounou,cg CGO,"DF,MF",Caen,19,1997,9,8,651,7.2,0,0,0,0,0,0,1,0,0.3,0.3,0.2,0.5,5,13,23,0,0,0,0,0,0.04,0.02,0.06,0.04,0.06,Matches,2017-2018
25,Chidozie Awaziem,ng NGA,DF,Nantes,20,1997,22,16,"1,512",16.8,1,1,2,1,0,0,2,1,0.9,0.9,0.1,1.1,10,46,5,0.06,0.06,0.12,0.06,0.12,0.06,0.01,0.06,0.06,0.06,Matches,2017-2018
26,Karim Azamoum,fr FRA,MF,Troyes,27,1990,30,26,"2,251",25,1,0,1,1,0,0,5,1,1.2,1.2,1.8,3,26,80,76,0.04,0,0.04,0.04,0.04,0.05,0.07,0.12,0.05,0.12,Matches,2017-2018
27,Ludovic Baal,gf GUF,DF,Rennes,31,1986,17,14,"1,159",12.9,0,0,0,0,0,0,0,0,0,0,1,1,29,85,35,0,0,0,0,0,0,0.08,0.08,0,0.08,Matches,2017-2018
28,Dylan Bahamboula,cg CGO,"FW,MF",Dijon,22,1995,4,0,30,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0.1,0,0.1,0.1,0.1,Matches,2017-2018
29,Farès Bahlouli,fr FRA,"MF,FW",Lille,22,1995,11,2,307,3.4,1,0,1,1,0,0,2,0,0.2,0.2,0.7,0.9,11,9,34,0.29,0,0.29,0.29,0.29,0.07,0.21,0.28,0.07,0.28,Matches,2017-2018
30,Stéphane Bahoken,cm CMR,FW,Strasbourg,25,1992,26,19,"1,662",18.5,7,1,8,7,0,0,5,0,6.7,6.7,1.7,8.4,31,22,124,0.38,0.05,0.43,0.38,0.43,0.36,0.09,0.45,0.36,0.45,Matches,2017-2018
31,Keita Baldé,sn SEN,"FW,MF",Monaco,22,1995,23,19,"1,473",16.4,8,5,13,8,0,0,3,1,5.4,5.4,2.3,7.8,57,32,139,0.49,0.31,0.79,0.49,0.79,0.33,0.14,0.47,0.33,0.47,Matches,2017-2018
32,Iván Balliu,al ALB,DF,Metz,25,1992,25,22,"1,951",21.7,0,1,1,0,0,0,6,0,0.2,0.2,1,1.1,34,137,92,0,0.05,0.05,0,0.05,0.01,0.04,0.05,0.01,0.05,Matches,2017-2018
33,Fodé Ballo-Touré,sn SEN,DF,Lille,20,1997,27,25,"2,055",22.8,0,0,0,0,0,0,5,1,0.1,0.1,0.7,0.8,43,72,98,0,0,0,0,0,0.01,0.03,0.04,0.01,0.04,Matches,2017-2018
34,Florent Balmont,fr FRA,MF,Dijon,37,1980,21,9,860,9.6,1,3,4,1,0,0,3,0,0.3,0.3,1.7,2,10,75,21,0.1,0.31,0.42,0.1,0.42,0.03,0.18,0.21,0.03,0.21,Matches,2017-2018
35,Mario Balotelli,it ITA,FW,Nice,26,1990,28,26,"2,269",25.2,18,1,19,12,6,7,10,1,15.3,9.8,3.1,12.9,46,86,173,0.71,0.04,0.75,0.48,0.52,0.61,0.12,0.73,0.39,0.51,Matches,2017-2018
36,Abdoulaye Bamba,ci CIV,DF,Angers,27,1990,18,17,"1,533",17,0,0,0,0,0,0,2,0,0.1,0.1,0.5,0.6,32,70,55,0,0,0,0,0,0.01,0.03,0.04,0.01,0.04,Matches,2017-2018
37,Jonathan Bamba,ci CIV,FW,Saint-Étienne,21,1996,34,27,"2,572",28.6,7,8,15,3,4,4,1,0,9,5.8,8.7,14.5,116,109,247,0.24,0.28,0.52,0.1,0.38,0.31,0.3,0.62,0.2,0.51,Matches,2017-2018
38,Yacine Bammou,ma MAR,"MF,FW",Nantes,25,1991,16,10,725,8.1,3,0,3,3,0,0,2,1,1,1,0.2,1.2,15,18,59,0.37,0,0.37,0.37,0.37,0.13,0.03,0.15,0.13,0.15,Matches,2017-2018
39,Sekou Baradji,fr FRA,MF,Amiens,33,1984,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2017-2018
40,Nicolas Basin,fr FRA,DF,Metz,19,1998,5,3,313,3.5,1,0,1,1,0,0,1,0,0.1,0.1,0.1,0.2,4,11,9,0.29,0,0.29,0.29,0.29,0.03,0.03,0.07,0.03,0.07,Matches,2017-2018
41,Gil Bastião Dias,pt POR,MF,Monaco,20,1996,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.35,0,0.35,0.35,0.35,Matches,2017-2018
42,Paul Baysse,fr FRA,DF,Bordeaux,29,1988,8,6,566,6.3,0,0,0,0,0,0,0,1,0.6,0.6,0,0.6,7,35,1,0,0,0,0,0,0.09,0,0.09,0.09,0.09,Matches,2017-2018
43,Hervé Bazile,ht HAI,"MF,FW",Caen,27,1990,19,10,876,9.7,0,1,1,0,0,0,1,0,1.3,1.3,1.1,2.4,28,18,110,0,0.1,0.1,0,0.1,0.14,0.11,0.25,0.14,0.25,Matches,2017-2018
44,Henri Bedimo,cm CMR,"DF,FW",Marseille,33,1984,3,0,42,0.5,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,Matches,2017-2018
45,François Bellugou,fr FRA,MF,Troyes,30,1987,30,27,"2,177",24.2,0,0,0,0,0,0,6,1,0.1,0.1,0.2,0.3,10,84,13,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches,2017-2018
46,Chaouki Ben Saada,tn TUN,"FW,MF",Troyes,33,1984,16,2,342,3.8,0,0,0,0,0,0,3,0,0.3,0.3,1,1.2,13,26,29,0,0,0,0,0,0.07,0.25,0.32,0.07,0.32,Matches,2017-2018
47,Diego Benaglio,ch SUI,GK,Monaco,33,1983,3,2,225,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2017-2018
48,Nicolas Benezet,fr FRA,"FW,MF",Guingamp,26,1991,29,18,"1,648",18.3,3,3,6,3,0,0,2,0,2.5,2.5,3.3,5.8,92,109,174,0.16,0.16,0.33,0.16,0.33,0.14,0.18,0.32,0.14,0.32,Matches,2017-2018
49,Walter Benítez,ar ARG,GK,Nice,24,1993,28,28,"2,520",28,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2017-2018
50,Ramy Bensebaini,dz ALG,DF,Rennes,22,1995,29,26,"2,342",26,0,1,1,0,0,0,6,0,1.3,1.3,2.1,3.4,45,107,77,0,0.04,0.04,0,0.04,0.05,0.08,0.13,0.05,0.13,Matches,2017-2018
51,Yassine Benzia,dz ALG,"MF,FW",Lille,22,1994,31,30,"2,288",25.4,1,5,6,1,0,0,7,0,1.5,1.5,5.5,6.9,60,201,137,0.04,0.2,0.24,0.04,0.24,0.06,0.22,0.27,0.06,0.27,Matches,2017-2018
52,Yuri Berchiche,es ESP,DF,Paris S-G,27,1990,22,19,"1,716",19.1,2,4,6,2,0,0,4,0,0.4,0.4,2.1,2.5,41,74,145,0.1,0.21,0.31,0.1,0.31,0.02,0.11,0.13,0.02,0.13,Matches,2017-2018
53,Robert Berić,si SVN,FW,Saint-Étienne,26,1991,15,12,"1,042",11.6,7,1,8,6,1,2,0,0,6.4,5,0.7,5.7,14,7,47,0.6,0.09,0.69,0.52,0.6,0.55,0.06,0.62,0.43,0.49,Matches,2017-2018
54,Kévin Bérigaud,fr FRA,"FW,MF",Montpellier,29,1988,5,4,271,3,0,2,2,0,0,0,0,0,1,1,1.1,2.1,3,11,26,0,0.66,0.66,0,0.66,0.32,0.37,0.7,0.32,0.7,Matches,2017-2018
55,Vincent Bessat,fr FRA,"DF,MF",Caen,31,1985,24,18,"1,570",17.4,0,1,1,0,0,0,2,0,0.6,0.6,1.4,2,31,85,129,0,0.06,0.06,0,0.06,0.03,0.08,0.11,0.03,0.11,Matches,2017-2018
56,Quentin Beunardeau,fr FRA,GK,Metz,23,1994,1,0,39,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2017-2018
57,Milan Biševac,rs SRB,DF,Metz,33,1983,10,10,710,7.9,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.5,6,26,3,0,0,0,0,0,0.05,0.01,0.06,0.05,0.06,Matches,2017-2018
58,Yves Bissouma,ml MLI,"MF,DF",Lille,20,1996,24,15,"1,561",17.3,2,1,3,2,0,0,3,0,2.1,2.1,0.7,2.8,64,113,51,0.12,0.06,0.17,0.12,0.17,0.12,0.04,0.16,0.12,0.16,Matches,2017-2018
59,Ludovic Blas,fr FRA,MF,Guingamp,19,1997,31,17,"1,793",19.9,3,2,5,3,0,0,3,1,3.6,3.6,1.5,5,50,128,59,0.15,0.1,0.25,0.15,0.25,0.18,0.07,0.25,0.18,0.25,Matches,2017-2018
60,Jérémy Blayac,fr FRA,FW,Strasbourg,34,1983,25,7,917,10.2,3,1,4,3,0,0,2,0,4.7,4.7,1.7,6.5,8,25,129,0.29,0.1,0.39,0.29,0.39,0.46,0.17,0.64,0.46,0.64,Matches,2017-2018
61,Alexis Blin,fr FRA,MF,Toulouse,20,1996,26,20,"1,886",21,1,3,4,1,0,0,5,0,0.8,0.8,1.4,2.1,8,98,28,0.05,0.14,0.19,0.05,0.19,0.04,0.07,0.1,0.04,0.1,Matches,2017-2018
62,Yann Bodiger,fr FRA,MF,Toulouse,22,1995,7,2,227,2.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,3,10,6,0,0,0,0,0,0,0.03,0.03,0,0.03,Matches,2017-2018
63,Mathieu Bodmer,fr FRA,"DF,MF",Amiens,34,1982,13,3,396,4.4,1,0,1,1,0,0,2,0,0.7,0.7,0.3,1,3,30,3,0.23,0,0.23,0.23,0.23,0.16,0.07,0.23,0.16,0.23,Matches,2017-2018
64,Quentin Boisgard,fr FRA,MF,Toulouse,20,1997,6,1,179,2,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,2,11,6,0,0,0,0,0,0.05,0.04,0.09,0.05,0.09,Matches,2017-2018
65,Landry Bonnefoi,fr FRA,GK,Strasbourg,33,1983,4,3,272,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2017-2018
66,Gabriel Boschilia,br BRA,"FW,MF",Monaco,21,1996,5,1,82,0.9,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,1,3,9,0,0,0,0,0,0.24,0.06,0.3,0.24,0.3,Matches,2017-2018
67,Jean-Christophe Bouet,fr FRA,GK,Amiens,34,1983,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2017-2018
68,Arnold Bouka Moutou,cg CGO,DF,Dijon,28,1988,6,3,336,3.7,0,0,0,0,0,0,1,0,0,0,0.2,0.2,15,17,17,0,0,0,0,0,0.01,0.05,0.06,0.01,0.06,Matches,2017-2018
69,Farid Boulaya,dz ALG,"MF,FW",Metz,24,1993,7,0,179,2,0,1,1,0,0,0,0,0,0.1,0.1,0.1,0.2,9,7,11,0,0.5,0.5,0,0.5,0.04,0.06,0.1,0.04,0.1,Matches,2017-2018
70,Emmanuel Bourgaud,fr FRA,"FW,MF",Amiens,29,1987,17,4,542,6,0,1,1,0,0,0,0,0,0.6,0.6,1.8,2.4,13,33,22,0,0.17,0.17,0,0.17,0.11,0.3,0.41,0.11,0.41,Matches,2017-2018
71,Benjamin Bourigeaud,fr FRA,"MF,FW",Rennes,23,1994,37,35,"3,102",34.5,10,7,17,7,3,3,3,0,8.8,6.5,8.7,15.1,63,170,195,0.29,0.2,0.49,0.2,0.41,0.26,0.25,0.51,0.19,0.44,Matches,2017-2018
