Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Season
1,Nabil Aberdin,fr FRA,DF,Getafe,20,2002,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,Matches,2023-2024
2,Abner,br BRA,DF,Betis,23,2000,23,15,"1,400",15.6,0,1,1,0,0,0,3,0,0.1,0.1,1,1.1,14,33,58,0,0.06,0.06,0,0.06,0.01,0.06,0.07,0.01,0.07,Matches,2023-2024
3,Abdel Abqar,ma MAR,DF,Alavés,24,1999,27,27,"2,312",25.7,0,0,0,0,0,0,10,0,0.5,0.5,0.2,0.6,7,49,1,0,0,0,0,0,0.02,0.01,0.02,0.02,0.02,Matches,2023-2024
4,Marcos Acuña,ar ARG,DF,Sevilla,31,1991,21,18,"1,292",14.4,1,2,3,1,0,0,7,0,0.3,0.3,1.5,1.8,23,59,42,0.07,0.14,0.21,0.07,0.21,0.02,0.11,0.13,0.02,0.13,Matches,2023-2024
5,Julen Agirrezabala,es ESP,GK,Athletic Club,22,2000,4,2,238,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2023-2024
6,Lucien Agoume,fr FRA,MF,Sevilla,21,2002,12,9,777,8.6,0,0,0,0,0,0,3,0,0.9,0.9,0.6,1.5,7,35,9,0,0,0,0,0,0.1,0.07,0.17,0.1,0.17,Matches,2023-2024
7,Joseph Aidoo,gh GHA,DF,Celta Vigo,27,1995,6,4,407,4.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,2,12,0,0,0,0,0,0,0.02,0.01,0.04,0.02,0.04,Matches,2023-2024
8,Ilias Akhomach,ma MAR,"MF,FW",Villarreal,19,2004,31,17,"1,511",16.8,2,2,4,2,0,0,4,0,3.2,3.2,2.6,5.7,68,45,160,0.12,0.12,0.24,0.12,0.24,0.19,0.15,0.34,0.19,0.34,Matches,2023-2024
9,Sergio Akieme,es ESP,DF,Almería,25,1997,19,19,"1,675",18.6,2,0,2,2,0,0,2,0,1.2,1.2,2.2,3.3,27,28,72,0.11,0,0.11,0.11,0.11,0.06,0.12,0.18,0.06,0.18,Matches,2023-2024
10,Paul Akouokou,ci CIV,MF,Betis,25,1997,2,0,27,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches,2023-2024
11,David Alaba,at AUT,DF,Real Madrid,31,1992,14,14,"1,154",12.8,0,1,1,0,0,0,2,0,1,1,0.7,1.6,9,51,13,0,0.08,0.08,0,0.08,0.08,0.05,0.13,0.08,0.13,Matches,2023-2024
12,Raúl Albiol,es ESP,DF,Villarreal,37,1985,26,24,"2,031",22.6,0,1,1,0,0,0,6,0,0.4,0.4,0.8,1.3,8,62,0,0,0.04,0.04,0,0.04,0.02,0.04,0.06,0.02,0.06,Matches,2023-2024
13,Rubén Alcaraz,es ESP,MF,Cádiz,32,1991,36,36,"3,134",34.8,3,1,4,1,2,2,14,0,3.3,1.7,1.4,3.1,27,154,37,0.09,0.03,0.11,0.03,0.06,0.09,0.04,0.13,0.05,0.09,Matches,2023-2024
14,Omar Alderete,py PAR,DF,Getafe,26,1996,31,24,"2,195",24.4,0,1,1,0,0,0,8,1,1.2,1.2,1,2.2,23,98,9,0,0.04,0.04,0,0.04,0.05,0.04,0.09,0.05,0.09,Matches,2023-2024
15,Iván Alejo,es ESP,MF,Cádiz,28,1995,30,21,"1,692",18.8,0,2,2,0,0,0,17,0,0.5,0.5,1.3,1.8,48,31,104,0,0.11,0.11,0,0.11,0.03,0.07,0.1,0.03,0.1,Matches,2023-2024
16,Carles Aleñá,es ESP,MF,Getafe,25,1998,29,10,"1,020",11.3,1,1,2,1,0,0,6,0,1.2,1.2,1.6,2.8,12,23,45,0.09,0.09,0.18,0.09,0.18,0.11,0.14,0.25,0.11,0.25,Matches,2023-2024
17,Mohamed Ali Cho,fr FRA,"FW,MF",Real Sociedad,19,2004,11,1,249,2.8,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,16,3,19,0,0,0,0,0,0.14,0.04,0.18,0.14,0.18,Matches,2023-2024
