Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Season
225,Valentin Gendrey,fr FRA,DF,Lecce,23,2000,37,35,"3,044",33.8,2,3,5,2,0,0,5,0,1.6,1.6,1.6,3.2,77,116,86,0.06,0.09,0.15,0.06,0.15,0.05,0.05,0.1,0.05,0.1,Matches,2023-2024
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,2023-2024
226,Farés Ghedjemis,fr FRA,"FW,MF",Frosinone,20,2002,6,1,182,2,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.3,7,2,19,0,0,0,0,0,0.06,0.07,0.13,0.06,0.13,Matches,2023-2024
227,Lautaro Gianetti,ar ARG,DF,Udinese,29,1993,7,7,630,7,1,0,1,1,0,0,4,0,0.4,0.4,0.1,0.4,2,4,0,0.14,0,0.14,0.14,0.14,0.06,0.01,0.06,0.06,0.06,Matches,2023-2024
228,Mario Gila,es ESP,DF,Lazio,22,2000,21,21,"1,809",20.1,0,0,0,0,0,0,4,1,0.5,0.5,0.5,1,21,93,12,0,0,0,0,0,0.03,0.02,0.05,0.03,0.05,Matches,2023-2024
229,Gvidas Gineitis,lt LTU,MF,Torino,19,2004,14,4,538,6,0,0,0,0,0,0,2,0,0.4,0.4,0.5,0.9,9,25,12,0,0,0,0,0,0.07,0.08,0.15,0.07,0.15,Matches,2023-2024
230,Olivier Giroud,fr FRA,FW,Milan,36,1986,35,28,"2,363",26.3,15,8,23,11,4,5,1,1,14.2,10.2,4.7,14.9,9,28,95,0.57,0.3,0.88,0.42,0.72,0.54,0.18,0.72,0.39,0.57,Matches,2023-2024
231,Edoardo Goldaniga,it ITA,DF,Cagliari,29,1993,13,12,"1,011",11.2,0,0,0,0,0,0,3,0,0.5,0.5,0.1,0.7,9,50,3,0,0,0,0,0,0.05,0.01,0.06,0.05,0.06,Matches,2023-2024
232,Pierluigi Gollini,it ITA,GK,Napoli,28,1995,7,7,630,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2023-2024
233,Papu Gómez,ar ARG,"MF,FW",Monza,35,1988,2,0,41,0.5,0,0,0,0,0,0,0,0,0,0,0.2,0.2,2,3,1,0,0,0,0,0,0,0.43,0.43,0,0.43,Matches,2023-2024
234,Iron Gomis,fr FRA,MF,Salernitana,23,1999,5,1,134,1.5,0,0,0,0,0,0,0,0,0.6,0.6,0.2,0.7,3,4,16,0,0,0,0,0,0.38,0.11,0.49,0.38,0.49,Matches,2023-2024
235,Joan Gonzàlez,es ESP,MF,Lecce,21,2002,29,13,"1,291",14.3,1,1,2,1,0,0,6,0,1.2,1.2,1,2.2,25,49,41,0.07,0.07,0.14,0.07,0.14,0.08,0.07,0.15,0.08,0.15,Matches,2023-2024
236,Nicolás González,ar ARG,FW,Fiorentina,25,1998,29,21,"1,913",21.3,12,2,14,11,1,3,1,0,10.4,8,1.6,9.6,53,100,190,0.56,0.09,0.66,0.52,0.61,0.49,0.07,0.56,0.38,0.45,Matches,2023-2024
