Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Season
1,Abner,br BRA,DF,Betis,22,2000,13,7,607,6.7,0,0,0,0,0,0,2,0,1.7,1.7,0.1,1.8,8,16,25,0,0,0,0,0,0.25,0.02,0.27,0.25,0.27,Matches,2022-2023
2,Álvaro Aceves,es ESP,GK,Valladolid,19,2003,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2022-2023
3,Marcos Acuña,ar ARG,DF,Sevilla,30,1991,30,21,"1,912",21.2,3,2,5,3,0,0,10,3,1.2,1.2,4.3,5.5,49,102,94,0.14,0.09,0.24,0.14,0.24,0.05,0.2,0.26,0.05,0.26,Matches,2022-2023
4,Julen Agirrezabala,es ESP,GK,Athletic Club,21,2000,8,7,675,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2022-2023
5,Álvaro Aguado,es ESP,MF,Valladolid,26,1996,34,18,"1,888",21,1,2,3,1,0,0,4,0,1,1,2.2,3.2,29,139,50,0.05,0.1,0.14,0.05,0.14,0.05,0.11,0.15,0.05,0.15,Matches,2022-2023
6,Joseph Aidoo,gh GHA,DF,Celta Vigo,26,1995,35,35,"3,119",34.7,3,0,3,3,0,0,6,1,1,1,0.1,1.1,15,95,2,0.09,0,0.09,0.09,0.09,0.03,0,0.03,0.03,0.03,Matches,2022-2023
7,Sergio Akieme,es ESP,DF,Almería,24,1997,29,27,"2,297",25.5,1,0,1,1,0,0,5,0,1.5,1.5,2,3.5,60,58,84,0.04,0,0.04,0.04,0.04,0.06,0.08,0.14,0.06,0.14,Matches,2022-2023
8,Babatunde Akinsola,ng NGA,FW,Valladolid,19,2003,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,Matches,2022-2023
9,Paul Akouokou,ci CIV,"MF,DF",Betis,24,1997,12,3,447,5,0,0,0,0,0,0,3,0,0.2,0.2,0,0.2,1,10,1,0,0,0,0,0,0.03,0,0.03,0.03,0.03,Matches,2022-2023
10,David Alaba,at AUT,DF,Real Madrid,30,1992,23,21,"1,838",20.4,1,3,4,1,0,0,3,0,0.8,0.8,1.1,1.9,16,67,60,0.05,0.15,0.2,0.05,0.2,0.04,0.05,0.09,0.04,0.09,Matches,2022-2023
11,Ángel Alarcón,es ESP,"FW,MF",Barcelona,18,2004,4,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0.15,0,0.15,0.15,0.15,Matches,2022-2023
12,Tomás Alarcón,cl CHI,MF,Cádiz,23,1999,4,2,223,2.5,0,0,0,0,0,0,2,1,0,0,0.1,0.1,2,9,6,0,0,0,0,0,0.01,0.03,0.04,0.01,0.04,Matches,2022-2023
