Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season
1,Aymen Abdennour,tn TUN,DF,Valencia,25,1989,22,22,"1,851",20.6,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches,2015-2016
2,Antonio Adán,es ESP,GK,Betis,28,1987,36,36,"3,212",35.7,0,0,0,0,0,0,5,0,0,0,0,0,0,Matches,2015-2016
3,Adriano,br BRA,"DF,MF",Barcelona,30,1984,8,4,434,4.8,0,1,1,0,0,0,0,0,0,0.21,0.21,0,0.21,Matches,2015-2016
4,Aritz Aduriz,es ESP,FW,Athletic Club,34,1981,34,30,"2,776",30.8,20,6,26,17,3,5,9,0,0.65,0.19,0.84,0.55,0.75,Matches,2015-2016
5,Imanol Agirretxe,es ESP,FW,Real Sociedad,28,1987,16,14,"1,170",13,13,0,13,13,0,0,0,0,1,0,1,1,1,Matches,2015-2016
6,Rachid Aït-Atmane,dz ALG,MF,Sporting Gijón,22,1993,18,11,"1,060",11.8,0,2,2,0,0,0,2,0,0,0.17,0.17,0,0.17,Matches,2015-2016
7,Ager Aketxe,es ESP,MF,Athletic Club,21,1993,3,2,185,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2015-2016
8,Jordi Alba,es ESP,"DF,MF",Barcelona,26,1989,31,29,"2,589",28.8,0,6,6,0,0,0,2,0,0,0.21,0.21,0,0.21,Matches,2015-2016
9,Raúl Albentosa,es ESP,DF,Málaga,26,1988,29,27,"2,555",28.4,2,0,2,2,0,0,11,0,0.07,0,0.07,0.07,0.07,Matches,2015-2016
10,Luis Alberto,es ESP,"FW,MF",La Coruña,22,1992,29,25,"2,098",23.3,6,7,13,6,0,0,3,0,0.26,0.3,0.56,0.26,0.56,Matches,2015-2016
11,Paco Alcácer,es ESP,FW,Valencia,21,1993,34,25,"2,419",26.9,13,6,19,11,2,3,2,0,0.48,0.22,0.71,0.41,0.63,Matches,2015-2016
12,Antolín Alcaraz,py PAR,DF,Las Palmas,33,1982,6,6,540,6,1,0,1,1,0,0,2,0,0.17,0,0.17,0.17,0.17,Matches,2015-2016
13,Nauzet Alemán,es ESP,MF,Las Palmas,30,1985,10,2,248,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2015-2016
14,Diego Alende,es ESP,DF,Celta Vigo,17,1997,1,0,40,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2015-2016
15,Alexis,es ESP,DF,Getafe,29,1985,15,15,"1,350",15,1,0,1,1,0,0,7,0,0.07,0,0.07,0.07,0.07,Matches,2015-2016
16,Sergio Álvarez,es ESP,"DF,MF",Sporting Gijón,23,1992,27,26,"2,185",24.3,2,2,4,2,0,0,9,1,0.08,0.08,0.16,0.08,0.16,Matches,2015-2016
17,Sergio Álvarez,es ESP,GK,Celta Vigo,28,1986,31,30,"2,726",30.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2015-2016
18,Víctor Álvarez,es ESP,"DF,MF",Espanyol,22,1993,27,25,"1,959",21.8,1,2,3,1,0,0,6,0,0.05,0.09,0.14,0.05,0.14,Matches,2015-2016
19,Dani Alves,br BRA,"DF,MF",Barcelona,32,1983,29,24,"2,145",23.8,0,3,3,0,0,0,6,0,0,0.13,0.13,0,0.13,Matches,2015-2016
20,Diego Alves,br BRA,GK,Valencia,30,1985,13,13,"1,170",13,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,2015-2016
21,Antonio Amaya,es ESP,DF,Rayo Vallecano,32,1983,17,10,"1,033",11.5,1,1,2,1,0,0,6,1,0.09,0.09,0.17,0.09,0.17,Matches,2015-2016
22,Nordin Amrabat,ma MAR,"FW,MF",Málaga,28,1987,13,13,"1,003",11.1,0,1,1,0,0,1,5,1,0,0.09,0.09,0,0.09,Matches,2015-2016
23,Marco Andreolli,it ITA,DF,Sevilla,29,1986,7,7,553,6.1,0,1,1,0,0,0,2,0,0,0.16,0.16,0,0.16,Matches,2015-2016
24,José Ángel Crespo,es ESP,DF,Rayo Vallecano,28,1987,9,9,715,7.9,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches,2015-2016
25,Miguel Ángel Guerrero,es ESP,"FW,MF",Sporting Gijón,25,1990,23,13,"1,087",12.1,2,1,3,2,0,0,2,0,0.17,0.08,0.25,0.17,0.25,Matches,2015-2016
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,2015-2016
26,Miguel Ángel,es ESP,DF,Getafe,19,1996,3,2,200,2.2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,2015-2016
27,Marcos Angeleri,ar ARG,DF,Málaga,32,1983,13,13,"1,111",12.3,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches,2015-2016
28,Ion Ansotegi,es ESP,DF,Eibar,33,1982,8,6,542,6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2015-2016
29,José Antonio Reyes,es ESP,MF,Sevilla,31,1983,24,14,"1,182",13.1,1,1,2,1,0,0,6,0,0.08,0.08,0.15,0.08,0.15,Matches,2015-2016
30,Youssef El-Arabi,ma MAR,FW,Granada,28,1987,35,27,"2,513",27.9,16,1,17,9,7,7,3,0,0.57,0.04,0.61,0.32,0.36,Matches,2015-2016
31,Sergio Araujo,ar ARG,"FW,MF",Las Palmas,23,1992,30,20,"1,819",20.2,5,2,7,5,0,0,4,0,0.25,0.1,0.35,0.25,0.35,Matches,2015-2016
32,Álvaro Arbeloa,es ESP,DF,Real Madrid,32,1983,6,2,262,2.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,2015-2016
33,Anaitz Arbilla,es ESP,DF,Espanyol,28,1987,7,7,630,7,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches,2015-2016
34,Alphonse Areola,fr FRA,GK,Villarreal,22,1993,32,32,"2,880",32,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,2015-2016
35,Giedrius Arlauskis,lt LTU,GK,Espanyol,27,1987,3,3,225,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2015-2016
36,Alejandro Arribas,es ESP,DF,La Coruña,26,1989,31,31,"2,734",30.4,2,0,2,2,0,0,11,1,0.07,0,0.07,0.07,0.07,Matches,2015-2016
37,Mikel Arruabarrena,es ESP,FW,Eibar,32,1983,6,0,62,0.7,1,0,1,1,0,0,0,0,1.45,0,1.45,1.45,1.45,Matches,2015-2016
38,Aythami Artiles,es ESP,DF,Las Palmas,29,1986,31,30,"2,641",29.3,0,1,1,0,0,0,13,2,0,0.03,0.03,0,0.03,Matches,2015-2016
39,Sergio Asenjo,es ESP,GK,Villarreal,26,1989,4,4,360,4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,2015-2016
40,Marco Asensio,es ESP,"FW,MF",Espanyol,19,1996,34,33,"2,825",31.4,4,8,12,4,0,0,3,0,0.13,0.25,0.38,0.13,0.38,Matches,2015-2016
41,Iago Aspas,es ESP,"FW,MF",Celta Vigo,27,1987,35,31,"2,654",29.5,13,3,16,12,1,1,8,0,0.44,0.1,0.54,0.41,0.51,Matches,2015-2016
42,Christian Atsu,gh GHA,"FW,MF",Málaga,23,1992,12,3,392,4.4,2,0,2,2,0,0,0,0,0.46,0,0.46,0.46,0.46,Matches,2015-2016
43,Jean-Sylvain Babin,mq MTQ,DF,Granada,28,1986,25,25,"2,235",24.8,3,0,3,3,0,0,4,0,0.12,0,0.12,0.12,0.12,Matches,2015-2016
44,Raúl Baena,es ESP,MF,Rayo Vallecano,26,1989,24,22,"1,836",20.4,1,1,2,1,0,0,12,1,0.05,0.05,0.1,0.05,0.1,Matches,2015-2016
45,Eric Bailly,ci CIV,DF,Villarreal,21,1994,25,25,"2,019",22.4,0,0,0,0,0,0,11,1,0,0,0,0,0,Matches,2015-2016
46,Cédric Bakambu,cd COD,FW,Villarreal,24,1991,34,21,"1,859",20.7,12,3,15,12,0,0,4,0,0.58,0.15,0.73,0.58,0.73,Matches,2015-2016
47,Zakaria Bakkali,be BEL,"FW,MF",Valencia,19,1996,16,4,566,6.3,1,3,4,1,0,0,1,0,0.16,0.48,0.64,0.16,0.64,Matches,2015-2016
48,Gareth Bale,wls WAL,"FW,MF",Real Madrid,26,1989,23,21,"1,733",19.3,19,10,29,19,0,0,3,0,0.99,0.52,1.51,0.99,1.51,Matches,2015-2016
49,Mikel Balenziaga,es ESP,DF,Athletic Club,27,1988,34,33,"2,905",32.3,0,3,3,0,0,0,6,0,0,0.09,0.09,0,0.09,Matches,2015-2016
50,Éver Banega,ar ARG,MF,Sevilla,27,1988,25,20,"1,718",19.1,5,2,7,4,1,1,8,1,0.26,0.1,0.37,0.21,0.31,Matches,2015-2016
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,2015-2016
51,Lass Bangoura,gn GUI,"FW,MF",Rayo Vallecano,23,1992,16,7,805,8.9,0,1,1,0,0,0,2,0,0,0.11,0.11,0,0.11,Matches,2015-2016
52,Léo Baptistão,br BRA,"FW,MF",Villarreal,22,1992,26,12,"1,266",14.1,3,1,4,3,0,0,1,0,0.21,0.07,0.28,0.21,0.28,Matches,2015-2016
53,Danilo Barbosa,br BRA,"DF,MF",Valencia,19,1996,19,16,"1,362",15.1,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches,2015-2016
54,Mariano Barbosa,ar ARG,GK,Villarreal,31,1984,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2015-2016
55,Antonio Barragán,es ESP,"DF,MF",Valencia,28,1987,24,19,"1,658",18.4,0,0,0,0,0,0,7,1,0,0,0,0,0,Matches,2015-2016
56,David Barral,es ESP,FW,Granada,32,1983,14,3,371,4.1,0,0,0,0,0,0,4,1,0,0,0,0,0,Matches,2015-2016
57,Iñigo Barrenetxea,es ESP,MF,Eibar,21,1994,2,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2015-2016
58,Álex Barrera,es ESP,MF,Sporting Gijón,24,1991,5,0,62,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2015-2016
59,Marc Bartra,es ESP,DF,Barcelona,24,1991,13,4,503,5.6,2,1,3,2,0,0,0,0,0.36,0.18,0.54,0.36,0.54,Matches,2015-2016
60,Borja Bastón,es ESP,FW,Eibar,22,1992,36,29,"2,571",28.6,18,3,21,15,3,3,3,0,0.63,0.11,0.74,0.53,0.63,Matches,2015-2016
61,Jon Bautista,es ESP,FW,Real Sociedad,20,1995,4,1,118,1.3,1,0,1,1,0,0,2,0,0.76,0,0.76,0.76,0.76,Matches,2015-2016
62,Claudio Beauvue,gp GLP,"FW,MF",Celta Vigo,27,1988,10,6,506,5.6,1,0,1,1,0,0,2,0,0.18,0,0.18,0.18,0.18,Matches,2015-2016
63,Bebé,cv CPV,"FW,MF",Rayo Vallecano,25,1990,34,27,"2,237",24.9,3,7,10,3,0,0,3,0,0.12,0.28,0.4,0.12,0.4,Matches,2015-2016
64,Karim Benzema,fr FRA,FW,Real Madrid,27,1987,27,26,"1,979",22,24,7,31,24,0,0,1,0,1.09,0.32,1.41,1.09,1.41,Matches,2015-2016
65,Yuri Berchiche,es ESP,DF,Real Sociedad,25,1990,21,21,"1,847",20.5,0,4,4,0,0,0,10,0,0,0.19,0.19,0,0.19,Matches,2015-2016
66,Álex Bergantiños,es ESP,MF,La Coruña,30,1985,22,20,"1,749",19.4,2,1,3,2,0,0,3,0,0.1,0.05,0.15,0.1,0.15,Matches,2015-2016
67,Markel Bergara,es ESP,MF,Real Sociedad,29,1986,20,15,"1,354",15,1,0,1,1,0,0,8,1,0.07,0,0.07,0.07,0.07,Matches,2015-2016
68,Saúl Berjón,es ESP,"FW,MF",Eibar,29,1986,29,16,"1,400",15.6,4,4,8,1,3,4,1,0,0.26,0.26,0.51,0.06,0.32,Matches,2015-2016
69,Beto,pt POR,GK,Sevilla,33,1982,4,4,360,4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,2015-2016
70,Thievy Bifouma,cg CGO,"FW,MF",Granada,23,1992,7,0,187,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2015-2016
71,Pedro Bigas,es ESP,"DF,MF",Las Palmas,24,1990,27,26,"2,353",26.1,3,0,3,3,0,0,5,0,0.11,0,0.11,0.11,0.11,Matches,2015-2016
72,Cristiano Biraghi,it ITA,"DF,MF",Granada,22,1992,32,32,"2,819",31.3,0,1,1,0,0,0,10,1,0,0.03,0.03,0,0.03,Matches,2015-2016
73,Rubén Blanco,es ESP,GK,Celta Vigo,20,1995,8,8,688,7.6,0,0,0,0,0,0,1,1,0,0,0,0,0,Matches,2015-2016
74,Arthur Boka,ci CIV,DF,Málaga,32,1983,14,12,"1,046",11.6,0,0,0,0,0,0,5,1,0,0,0,0,0,Matches,2015-2016
75,Daniele Bonera,it ITA,DF,Villarreal,34,1981,14,10,974,10.8,0,0,0,0,0,0,5,1,0,0,0,0,0,Matches,2015-2016
