Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season
574,Davide Zappacosta,it ITA,"DF,MF",Torino,24,1992,29,25,"2,337",26,1,5,6,1,0,0,1,0,0.04,0.19,0.23,0.04,0.23,Matches,2016-2017
575,Mauro Zárate,ar ARG,"FW,MF",Fiorentina,29,1987,7,1,211,2.3,2,1,3,2,0,0,1,0,0.85,0.43,1.28,0.85,1.28,Matches,2016-2017
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,2016-2017
576,Piotr Zieliński,pl POL,MF,Napoli,22,1994,36,18,"1,868",20.8,5,7,12,5,0,0,4,0,0.24,0.34,0.58,0.24,0.58,Matches,2016-2017
577,Ervin Zukanović,ba BIH,DF,Atalanta,29,1987,19,14,"1,382",15.4,0,1,1,0,0,0,1,0,0,0.07,0.07,0,0.07,Matches,2016-2017
578,Dario Župarić,ba BIH,DF,Pescara,24,1992,7,3,340,3.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,2016-2017
579,Filip Đorđević,rs SRB,FW,Lazio,28,1987,17,4,464,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2016-2017
580,Filip Đuričić,rs SRB,"FW,MF",Sampdoria,24,1992,19,3,513,5.7,0,1,1,0,0,0,4,0,0,0.18,0.18,0,0.18,Matches,2016-2017
581,Giorgio Spizzichino,,,Lazio,,,1,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2016-2017
582,Giuseppe Borello,,,Crotone,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2016-2017
