Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Season
1,David Abraham,ar ARG,DF,Eint Frankfurt,32,1986,17,17,"1,420",15.8,0,0,0,0,0,0,2,0,0.8,0.8,0.4,1.1,20,80,7,0,0,0,0,0,0.05,0.03,0.07,0.05,0.07,Matches,2018-2019
2,Amir Abrashi,al ALB,MF,Freiburg,28,1990,10,9,790,8.8,0,0,0,0,0,0,5,0,0.2,0.2,0.1,0.3,6,19,9,0,0,0,0,0,0.03,0.01,0.04,0.03,0.04,Matches,2018-2019
3,Tyler Adams,us USA,MF,RB Leipzig,19,1999,10,8,721,8,0,2,2,0,0,0,0,0,0.1,0.1,1,1.1,19,64,12,0,0.25,0.25,0,0.25,0.01,0.13,0.13,0.01,0.13,Matches,2018-2019
4,Antonis Aidonis,de GER,DF,Stuttgart,17,2001,2,1,80,0.9,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,Matches,2018-2019
5,Manuel Akanji,ch SUI,DF,Dortmund,23,1995,25,25,"2,205",24.5,1,0,1,1,0,0,1,0,0.5,0.5,0.6,1.1,24,122,11,0.04,0,0.04,0.04,0.04,0.02,0.02,0.04,0.02,0.04,Matches,2018-2019
6,Chadrac Akolo,cd COD,"MF,FW",Stuttgart,23,1995,16,5,525,5.8,0,1,1,0,0,0,0,0,0.9,0.9,0.5,1.4,14,14,40,0,0.17,0.17,0,0.17,0.16,0.08,0.24,0.16,0.24,Matches,2018-2019
7,Kevin Akpoguma,ng NGA,DF,Hoffenheim,23,1995,8,5,499,5.5,0,0,0,0,0,0,2,0,0,0,0,0,4,33,0,0,0,0,0,0,0,0,0,0,0,Matches,2018-2019
8,Kevin Akpoguma,ng NGA,DF,Hannover 96,23,1995,4,4,313,3.5,0,0,0,0,0,0,2,0,0,0,0,0,2,20,0,0,0,0,0,0,0,0,0,0,0,Matches,2018-2019
9,David Alaba,at AUT,DF,Bayern Munich,26,1992,31,29,"2,530",28.1,3,3,6,3,0,0,4,0,3.2,3.2,4.4,7.6,87,190,240,0.11,0.11,0.21,0.11,0.21,0.11,0.16,0.27,0.11,0.27,Matches,2018-2019
10,Lucas Alario,ar ARG,"FW,MF",Leverkusen,25,1992,27,11,"1,265",14.1,9,3,12,9,0,0,1,0,6.7,6.7,1.4,8.1,12,22,86,0.64,0.21,0.85,0.64,0.85,0.47,0.1,0.57,0.47,0.57,Matches,2018-2019
11,Miiko Albornoz,cl CHI,"DF,MF",Hannover 96,27,1990,22,19,"1,660",18.4,1,3,4,1,0,0,3,1,0.3,0.3,1.5,1.8,34,71,75,0.05,0.16,0.22,0.05,0.22,0.02,0.08,0.1,0.02,0.1,Matches,2018-2019
12,Paco Alcácer,es ESP,FW,Dortmund,24,1993,26,11,"1,211",13.5,18,0,18,17,1,1,0,0,9.5,8.8,1.6,10.4,12,17,70,1.34,0,1.34,1.26,1.26,0.71,0.12,0.83,0.65,0.77,Matches,2018-2019
13,Thiago Alcántara,es ESP,MF,Bayern Munich,27,1991,30,26,"2,408",26.8,2,6,8,2,0,0,5,0,1.9,1.9,3.5,5.4,49,310,56,0.07,0.22,0.3,0.07,0.3,0.07,0.13,0.2,0.07,0.2,Matches,2018-2019
14,Alfonso,mz MOZ,MF,Hoffenheim,18,1999,1,0,9,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,0.59,0,0.59,0.59,0.59,Matches,2018-2019
15,Allan,br BRA,MF,Eint Frankfurt,21,1997,4,2,176,2,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,4,4,3,0,0,0,0,0,0.05,0.01,0.06,0.05,0.06,Matches,2018-2019
16,Nadiem Amiri,de GER,MF,Hoffenheim,21,1996,13,10,754,8.4,3,1,4,3,0,0,1,0,2.2,2.2,1.4,3.5,22,50,36,0.36,0.12,0.48,0.36,0.48,0.26,0.16,0.42,0.26,0.42,Matches,2018-2019
17,Waldemar Anton,de GER,DF,Hannover 96,22,1996,34,34,"3,060",34,1,0,1,1,0,0,4,0,1.8,1.8,0.2,2,35,96,17,0.03,0,0.03,0.03,0.03,0.05,0.01,0.06,0.05,0.06,Matches,2018-2019
18,Dennis Aogo,de GER,MF,Stuttgart,31,1987,15,13,"1,025",11.4,0,0,0,0,0,0,1,0,0.5,0.5,1.4,1.9,12,38,13,0,0,0,0,0,0.04,0.13,0.17,0.04,0.17,Matches,2018-2019
19,Charles Aránguiz,cl CHI,MF,Leverkusen,29,1989,24,22,"1,891",21,2,7,9,2,0,0,3,0,1.4,1.4,3.4,4.8,27,207,63,0.1,0.33,0.43,0.1,0.43,0.07,0.16,0.23,0.07,0.23,Matches,2018-2019
20,Maximilian Arnold,de GER,MF,Wolfsburg,24,1994,33,33,"2,872",31.9,2,6,8,2,0,0,7,0,2.7,2.7,4.3,7,41,141,83,0.06,0.19,0.25,0.06,0.25,0.09,0.13,0.22,0.09,0.22,Matches,2018-2019
21,Takuma Asano,jp JPN,"MF,FW",Hannover 96,23,1994,13,9,699,7.8,0,0,0,0,0,0,0,0,1.6,1.6,0.4,2,21,14,59,0,0,0,0,0,0.2,0.05,0.25,0.2,0.25,Matches,2018-2019
22,Santiago Ascacíbar,ar ARG,MF,Stuttgart,21,1997,27,27,"2,428",27,0,0,0,0,0,0,10,1,1.3,1.3,0.5,1.9,27,100,28,0,0,0,0,0,0.05,0.02,0.07,0.05,0.07,Matches,2018-2019
23,Simon Asta,de GER,DF,Augsburg,17,2001,1,1,90,1,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,2,2,3,0,0,0,0,0,0.06,0,0.06,0.06,0.06,Matches,2018-2019
24,Jean-Kévin Augustin,fr FRA,FW,RB Leipzig,21,1997,17,4,461,5.1,3,0,3,3,0,0,0,0,2.8,2.8,0.8,3.6,18,3,50,0.59,0,0.59,0.59,0.59,0.56,0.15,0.71,0.56,0.71,Matches,2018-2019
25,Ludwig Augustinsson,se SWE,DF,Werder Bremen,24,1994,34,34,"3,026",33.6,1,4,5,1,0,0,5,0,1.5,1.5,2.2,3.7,83,154,226,0.03,0.12,0.15,0.03,0.15,0.04,0.07,0.11,0.04,0.11,Matches,2018-2019
26,Kaan Ayhan,tr TUR,DF,Düsseldorf,23,1994,28,28,"2,449",27.2,4,1,5,4,0,0,10,0,2.3,2.3,0.4,2.7,31,96,12,0.15,0.04,0.18,0.15,0.18,0.08,0.02,0.1,0.08,0.1,Matches,2018-2019
27,Florian Baak,de GER,MF,Hertha BSC,19,1999,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2018-2019
28,Holger Badstuber,de GER,DF,Stuttgart,29,1989,10,5,522,5.8,0,0,0,0,0,0,1,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,Matches,2018-2019
29,Daniel Baier,de GER,MF,Augsburg,34,1984,33,33,"2,815",31.3,0,1,1,0,0,0,7,0,0.9,0.9,1.2,2.1,50,187,34,0,0.03,0.03,0,0.03,0.03,0.04,0.07,0.03,0.07,Matches,2018-2019
30,Leon Bailey,jm JAM,FW,Leverkusen,20,1997,29,21,"1,914",21.3,5,1,6,5,0,0,4,0,5,5,4.4,9.5,102,72,240,0.24,0.05,0.28,0.24,0.28,0.24,0.21,0.44,0.24,0.44,Matches,2018-2019
31,Marvin Bakalorz,de GER,MF,Hannover 96,28,1989,25,16,"1,470",16.3,1,0,1,1,0,0,5,0,0.8,0.8,0.6,1.4,17,29,40,0.06,0,0.06,0.06,0.06,0.05,0.04,0.09,0.05,0.09,Matches,2018-2019
32,Ridle Baku,de GER,MF,Mainz 05,20,1998,15,10,937,10.4,0,0,0,0,0,0,1,0,0.6,0.6,0.4,1,13,45,32,0,0,0,0,0,0.05,0.04,0.09,0.05,0.09,Matches,2018-2019
33,Philipp Bargfrede,de GER,"MF,DF",Werder Bremen,29,1989,15,13,"1,079",12,0,0,0,0,0,0,6,0,0.2,0.2,0.1,0.3,8,57,6,0,0,0,0,0,0.01,0.01,0.03,0.01,0.03,Matches,2018-2019
34,Aymen Barkok,ma MAR,MF,Düsseldorf,20,1998,12,4,510,5.7,0,0,0,0,0,0,0,0,0.5,0.5,0.2,0.7,8,25,24,0,0,0,0,0,0.09,0.03,0.12,0.09,0.12,Matches,2018-2019
35,Leandro Barreiro Martins,lu LUX,MF,Mainz 05,18,2000,1,1,90,1,0,0,0,0,0,0,1,0,0,0,0.1,0.1,2,3,0,0,0,0,0,0,0.02,0.07,0.08,0.02,0.08,Matches,2018-2019
36,Fin Bartels,de GER,"MF,FW",Werder Bremen,31,1987,2,0,23,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,Matches,2018-2019
37,Robert Bauer,de GER,DF,Nürnberg,23,1995,22,19,"1,722",19.1,0,0,0,0,0,0,4,1,0.2,0.2,1.1,1.3,31,72,49,0,0,0,0,0,0.01,0.06,0.07,0.01,0.07,Matches,2018-2019
38,Oliver Baumann,de GER,GK,Hoffenheim,28,1990,33,33,"2,970",33,0,1,1,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0.03,0.03,0,0.03,0,0,0,0,0,Matches,2018-2019
39,Timo Baumgartl,de GER,DF,Stuttgart,22,1996,18,18,"1,620",18,1,0,1,1,0,0,2,0,0.3,0.3,0.2,0.5,5,43,7,0.06,0,0.06,0.06,0.06,0.02,0.01,0.03,0.02,0.03,Matches,2018-2019
40,Julian Baumgartlinger,at AUT,MF,Leverkusen,30,1988,21,16,"1,559",17.3,0,1,1,0,0,0,2,0,0.6,0.6,0.6,1.2,21,111,25,0,0.06,0.06,0,0.06,0.04,0.03,0.07,0.04,0.07,Matches,2018-2019
41,Christoph Baumgartner,at AUT,MF,Hoffenheim,18,1999,2,1,85,0.9,0,0,0,0,0,0,2,1,0.1,0.1,0,0.1,9,5,1,0,0,0,0,0,0.11,0,0.11,0.11,0.11,Matches,2018-2019
42,Noah Joel Sarenren Bazee,ng NGA,"FW,MF",Hannover 96,21,1996,3,3,155,1.7,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,6,2,17,0,0,0,0,0,0.28,0,0.28,0.28,0.28,Matches,2018-2019
43,Ihlas Bebou,tg TOG,"MF,FW",Hannover 96,24,1994,12,12,"1,066",11.8,4,3,7,3,1,1,1,0,4.6,3.8,1.9,5.7,48,48,97,0.34,0.25,0.59,0.25,0.51,0.39,0.16,0.55,0.32,0.48,Matches,2018-2019
44,Uffe Bech,dk DEN,FW,Hannover 96,25,1993,2,0,19,0.2,0,0,0,0,0,0,1,0,0,0,0.7,0.7,3,1,4,0,0,0,0,0,0,3.2,3.2,0,3.2,Matches,2018-2019
45,Andreas Beck,de GER,DF,Stuttgart,31,1987,24,21,"1,776",19.7,0,2,2,0,0,0,2,0,0.7,0.7,1.4,2.1,15,63,48,0,0.1,0.1,0,0.1,0.04,0.07,0.11,0.04,0.11,Matches,2018-2019
46,Hanno Behrens,de GER,MF,Nürnberg,28,1990,30,30,"2,639",29.3,4,1,5,2,2,4,3,0,7.9,4.8,1.5,6.2,25,78,54,0.14,0.03,0.17,0.07,0.1,0.27,0.05,0.32,0.16,0.21,Matches,2018-2019
