Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season
113,Iñigo Díaz de Cerio,es ESP,FW,Athletic Club,26,1984,2,0,33,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2010-2011
114,David Cerrajería,es ESP,DF,Levante,27,1983,9,7,657,7.3,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches,2010-2011
115,Javier Chica,es ESP,DF,Espanyol,25,1985,29,28,"2,493",27.7,0,1,1,0,0,0,7,1,0,0.04,0.04,0,0.04,Matches,2010-2011
116,Christian,es ESP,DF,Racing Sant,24,1985,18,13,"1,249",13.9,3,0,3,3,0,0,1,1,0.22,0,0.22,0.22,0.22,Matches,2010-2011
117,Cicinho,br BRA,DF,Villarreal,30,1980,6,0,92,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2010-2011
118,Luca Cigarini,it ITA,MF,Sevilla,24,1986,6,5,380,4.2,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches,2010-2011
119,Domingo Cisma,es ESP,DF,Racing Sant,28,1982,32,27,"2,415",26.8,0,1,1,0,0,0,7,1,0,0.04,0.04,0,0.04,Matches,2010-2011
120,Jordi Codina,es ESP,GK,Getafe,28,1982,23,22,"2,056",22.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,2010-2011
121,Diego Colotto,ar ARG,DF,La Coruña,29,1981,36,36,"3,191",35.5,2,2,4,2,0,0,6,1,0.06,0.06,0.11,0.06,0.11,Matches,2010-2011
122,Gonzalo Colsa,es ESP,MF,Racing Sant,31,1979,31,30,"2,660",29.6,2,1,3,2,0,0,8,0,0.07,0.03,0.1,0.07,0.1,Matches,2010-2011
123,Adrián Colunga,es ESP,"FW,MF",Getafe,25,1984,29,22,"1,848",20.5,8,2,10,6,2,2,1,0,0.39,0.1,0.49,0.29,0.39,Matches,2010-2011
124,Matteo Contini,it ITA,DF,Zaragoza,30,1980,24,24,"2,040",22.7,0,0,0,0,0,0,12,1,0,0,0,0,0,Matches,2010-2011
125,Ferran Corominas,es ESP,"FW,MF",Osasuna,27,1983,6,4,334,3.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,2010-2011
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,2010-2011
126,Ferran Corominas,es ESP,"FW,MF",Espanyol,27,1983,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2010-2011
127,Corona,es ESP,MF,Almería,29,1981,30,21,"1,717",19.1,2,1,3,2,0,0,2,0,0.1,0.05,0.16,0.1,0.16,Matches,2010-2011
128,Enrique Corrales,es ESP,DF,Mallorca,28,1982,2,1,129,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2010-2011
129,David Cortés,es ESP,DF,Hércules,30,1979,34,34,"3,035",33.7,0,1,1,0,0,0,8,0,0,0.03,0.03,0,0.03,Matches,2010-2011
130,Diego Costa,es ESP,FW,Atlético Madrid,21,1988,28,13,"1,362",15.1,6,2,8,6,0,0,5,0,0.4,0.13,0.53,0.4,0.53,Matches,2010-2011
131,Ricardo Costa,pt POR,DF,Valencia,29,1981,29,29,"2,491",27.7,0,0,0,0,0,0,9,1,0,0,0,0,0,Matches,2010-2011
132,Tino Costa,ar ARG,MF,Valencia,25,1985,24,17,"1,628",18.1,4,1,5,4,0,0,11,0,0.22,0.06,0.28,0.22,0.28,Matches,2010-2011
133,Martí Crespí,es ESP,DF,Mallorca,23,1987,5,3,274,3,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches,2010-2011
134,Cristóbal,es ESP,"DF,MF",Villarreal,26,1984,2,1,66,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2010-2011
135,Albert Crusat,es ESP,"FW,MF",Almería,28,1982,34,30,"2,539",28.2,3,7,10,3,0,0,5,0,0.11,0.25,0.35,0.11,0.35,Matches,2010-2011
136,Iván Cuéllar,es ESP,GK,Sporting Gijón,26,1984,13,13,"1,147",12.7,0,0,0,0,0,0,5,0,0,0,0,0,0,Matches,2010-2011
137,Mouhamadou Dabo,fr FRA,DF,Sevilla,23,1986,24,21,"1,949",21.7,0,0,0,0,0,0,6,1,0,0,0,0,0,Matches,2010-2011
138,Jesús Dátolo,ar ARG,MF,Espanyol,26,1984,15,3,565,6.3,2,0,2,2,0,0,2,0,0.32,0,0.32,0.32,0.32,Matches,2010-2011
139,Ángel Dealbert,es ESP,DF,Valencia,27,1983,14,10,"1,000",11.1,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches,2010-2011
140,Asier del Horno,es ESP,DF,Levante,29,1981,22,21,"1,894",21,2,2,4,2,0,0,8,0,0.1,0.1,0.19,0.1,0.19,Matches,2010-2011
141,Manu del Moral,es ESP,FW,Getafe,26,1984,30,28,"2,411",26.8,9,5,14,7,2,2,3,1,0.34,0.19,0.52,0.26,0.45,Matches,2010-2011
142,Martín Demichelis,ar ARG,"DF,MF",Málaga,29,1980,18,18,"1,480",16.4,1,0,1,1,0,0,9,2,0.06,0,0.06,0.06,0.06,Matches,2010-2011
