Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season
45,Yacine Bammou,ma MAR,"FW,MF",Nantes,22,1991,37,25,"2,295",25.5,4,3,7,4,0,0,3,0,0.16,0.12,0.27,0.16,0.27,Matches,2014-2015
46,Ismaël Bangoura,gn GUI,FW,Nantes,29,1985,15,9,690,7.7,1,0,1,1,0,0,1,0,0.13,0,0.13,0.13,0.13,Matches,2014-2015
47,Cédric Barbosa,fr FRA,MF,Evian,38,1976,29,19,"1,722",19.1,4,2,6,4,0,0,2,0,0.21,0.1,0.31,0.21,0.31,Matches,2014-2015
48,Abdelaziz Barrada,ma MAR,MF,Marseille,25,1989,9,3,279,3.1,1,0,1,1,0,0,0,0,0.32,0,0.32,0.32,0.32,Matches,2014-2015
49,Lucas Barrios,py PAR,FW,Montpellier,29,1984,31,30,"2,260",25.1,11,3,14,9,2,4,0,0,0.44,0.12,0.56,0.36,0.48,Matches,2014-2015
50,Maxime Barthelmé,fr FRA,"FW,MF",Lorient,25,1988,20,9,774,8.6,0,1,1,0,0,0,0,0,0,0.12,0.12,0,0.12,Matches,2014-2015
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,2014-2015
51,Marko Baša,me MNE,DF,Lille,31,1982,30,30,"2,570",28.6,1,0,1,1,0,1,2,0,0.04,0,0.04,0.04,0.04,Matches,2014-2015
52,Sacha Bastien,fr FRA,GK,Reims,20,1994,1,1,20,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2014-2015
53,Michy Batshuayi,be BEL,FW,Marseille,20,1993,26,6,911,10.1,9,0,9,9,0,1,1,0,0.89,0,0.89,0.89,0.89,Matches,2014-2015
54,Éric Bauthéac,fr FRA,"FW,MF",Nice,26,1987,35,29,"2,572",28.6,8,5,13,5,3,3,11,0,0.28,0.17,0.45,0.17,0.35,Matches,2014-2015
55,Moustapha Bayal Sall,sn SEN,DF,Saint-Étienne,28,1985,23,23,"2,050",22.8,1,0,1,1,0,0,8,0,0.04,0,0.04,0.04,0.04,Matches,2014-2015
