Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season
449,Raphael Wolf,de GER,GK,Werder Bremen,26,1988,27,27,"2,398",26.6,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,2014-2015
450,Philipp Wollscheid,de GER,DF,Mainz 05,25,1989,5,2,211,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2014-2015
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,2014-2015
451,Granit Xhaka,ch SUI,MF,Gladbach,21,1992,30,30,"2,637",29.3,2,1,3,2,0,0,12,1,0.07,0.03,0.1,0.07,0.1,Matches,2014-2015
452,Didier Ya Konan,ci CIV,"FW,MF",Hannover 96,30,1984,7,3,311,3.5,1,0,1,1,0,0,1,0,0.29,0,0.29,0.29,0.29,Matches,2014-2015
453,Özkan Yıldırım,de GER,MF,Werder Bremen,21,1993,1,1,58,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2014-2015
454,Vladlen Yurchenko,ua UKR,MF,Leverkusen,20,1994,3,0,57,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2014-2015
455,Carlos Zambrano,pe PER,"DF,MF",Eint Frankfurt,25,1989,17,16,"1,449",16.1,0,1,1,0,0,0,9,1,0,0.06,0.06,0,0.06,Matches,2014-2015
456,Patrick Ziegler,de GER,"DF,MF",Paderborn 07,24,1990,27,23,"1,949",21.7,0,0,0,0,0,0,7,0,0,0,0,0,0,Matches,2014-2015
457,Ron-Robert Zieler,de GER,GK,Hannover 96,25,1989,34,34,"3,060",34,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches,2014-2015
458,Simon Zoller,de GER,"FW,MF",Köln,23,1991,9,5,482,5.4,1,0,1,1,0,0,1,0,0.19,0,0.19,0.19,0.19,Matches,2014-2015
459,Steven Zuber,ch SUI,"DF,FW",Hoffenheim,22,1991,17,5,587,6.5,0,1,1,0,0,0,0,0,0,0.15,0.15,0,0.15,Matches,2014-2015
460,Philipp Zulechner,at AUT,FW,Freiburg,24,1990,2,0,19,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,2014-2015
461,Filip Đuričić,rs SRB,"FW,MF",Mainz 05,22,1992,11,6,476,5.3,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches,2014-2015
462,Nikola Đurđić,rs SRB,"FW,MF",Augsburg,28,1986,16,7,632,7,1,1,2,1,0,0,1,0,0.14,0.14,0.28,0.14,0.28,Matches,2014-2015
