Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Season
1,David Abraham,ar ARG,DF,Eint Frankfurt,31,1986,27,27,"2,302",25.6,0,2,2,0,0,0,3,0,0.4,0.4,0.7,1.1,17,103,7,0,0.08,0.08,0,0.08,0.01,0.03,0.04,0.01,0.04,Matches,2017-2018
2,Amir Abrashi,al ALB,MF,Freiburg,27,1990,12,11,850,9.4,0,0,0,0,0,0,2,0,0.2,0.2,0.4,0.7,8,38,18,0,0,0,0,0,0.02,0.05,0.07,0.02,0.07,Matches,2017-2018
3,René Adler,de GER,GK,Mainz 05,32,1985,14,14,"1,260",14,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0.02,Matches,2017-2018
4,Ailton,br BRA,"DF,MF",Stuttgart,22,1995,5,1,108,1.2,0,0,0,0,0,0,0,0,0,0,0.1,0.2,2,4,3,0,0,0,0,0,0.03,0.11,0.14,0.03,0.14,Matches,2017-2018
5,Manuel Akanji,ch SUI,DF,Dortmund,22,1995,11,10,904,10,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.3,15,47,7,0,0,0,0,0,0.02,0.01,0.03,0.02,0.03,Matches,2017-2018
6,Chadrac Akolo,cd COD,"MF,FW",Stuttgart,22,1995,22,13,"1,102",12.2,5,0,5,5,0,1,2,0,4.7,4,1,4.9,27,35,75,0.41,0,0.41,0.41,0.41,0.39,0.08,0.47,0.32,0.4,Matches,2017-2018
7,Kevin Akpoguma,ng NGA,DF,Hoffenheim,22,1995,22,17,"1,690",18.8,0,1,1,0,0,0,1,0,0.2,0.2,1.4,1.6,23,85,8,0,0.05,0.05,0,0.05,0.01,0.07,0.09,0.01,0.09,Matches,2017-2018
8,David Alaba,at AUT,DF,Bayern Munich,25,1992,23,17,"1,551",17.2,2,2,4,2,0,0,1,0,1.3,1.3,2.3,3.5,53,110,178,0.12,0.12,0.23,0.12,0.23,0.07,0.13,0.2,0.07,0.2,Matches,2017-2018
9,Lucas Alario,ar ARG,FW,Leverkusen,24,1992,23,17,"1,550",17.2,9,4,13,8,1,2,4,1,10.5,8.9,1.8,10.8,16,28,111,0.52,0.23,0.75,0.46,0.7,0.61,0.11,0.72,0.52,0.63,Matches,2017-2018
10,Miiko Albornoz,cl CHI,"DF,MF",Hannover 96,26,1990,10,7,703,7.8,0,0,0,0,0,0,1,0,0.2,0.2,1.4,1.6,10,25,19,0,0,0,0,0,0.02,0.18,0.21,0.02,0.21,Matches,2017-2018
11,Thiago Alcántara,es ESP,"MF,FW",Bayern Munich,26,1991,19,12,"1,247",13.9,2,2,4,2,0,0,3,0,2.5,2.5,1.9,4.4,30,183,80,0.14,0.14,0.29,0.14,0.29,0.18,0.14,0.32,0.18,0.32,Matches,2017-2018
12,Stephan Ambrosius,gh GHA,DF,Hamburger SV,18,1998,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,Matches,2017-2018
13,Nadiem Amiri,de GER,MF,Hoffenheim,20,1996,28,19,"1,744",19.4,2,3,5,2,0,0,4,0,2.9,2.9,3.4,6.4,51,89,116,0.1,0.15,0.26,0.1,0.26,0.15,0.18,0.33,0.15,0.33,Matches,2017-2018
14,Waldemar Anton,de GER,"DF,MF",Hannover 96,21,1996,27,26,"2,278",25.3,1,0,1,1,0,0,1,0,1.8,1.8,0,1.8,23,101,14,0.04,0,0.04,0.04,0.04,0.07,0,0.07,0.07,0.07,Matches,2017-2018
15,Dennis Aogo,de GER,"MF,DF",Stuttgart,30,1987,29,22,"1,954",21.7,0,6,6,0,0,0,5,0,1.3,1.3,2.3,3.6,20,85,75,0,0.28,0.28,0,0.28,0.06,0.11,0.17,0.06,0.17,Matches,2017-2018
16,Charles Aránguiz,cl CHI,MF,Leverkusen,28,1989,27,27,"2,302",25.6,1,3,4,1,0,0,4,0,2.8,2.8,1.3,4.1,26,225,45,0.04,0.12,0.16,0.04,0.16,0.11,0.05,0.16,0.11,0.16,Matches,2017-2018
17,Maximilian Arnold,de GER,MF,Wolfsburg,23,1994,29,28,"2,454",27.3,2,0,2,2,0,1,9,1,2.3,1.5,2.9,4.4,29,148,44,0.07,0,0.07,0.07,0.07,0.08,0.11,0.19,0.05,0.16,Matches,2017-2018
18,Jann-Fiete Arp,de GER,"FW,MF",Hamburger SV,17,2000,18,8,850,9.4,2,0,2,2,0,0,1,0,1.8,1.8,0.5,2.3,9,5,58,0.21,0,0.21,0.21,0.21,0.19,0.05,0.24,0.19,0.24,Matches,2017-2018
19,Takuma Asano,jp JPN,"FW,MF",Stuttgart,22,1994,15,7,721,8,1,0,1,1,0,0,1,0,1.7,1.7,1.1,2.8,24,17,56,0.12,0,0.12,0.12,0.12,0.21,0.13,0.35,0.21,0.35,Matches,2017-2018
20,Santiago Ascacíbar,ar ARG,MF,Stuttgart,20,1997,29,27,"2,381",26.5,0,1,1,0,0,0,11,1,0.4,0.4,0.7,1.1,17,92,29,0,0.04,0.04,0,0.04,0.01,0.03,0.04,0.01,0.04,Matches,2017-2018
21,Simon Asta,de GER,MF,Augsburg,16,2001,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,Matches,2017-2018
22,Pierre-Emerick Aubameyang,ga GAB,FW,Dortmund,28,1989,16,16,"1,416",15.7,13,3,16,10,3,4,1,1,16.2,13,2.3,15.3,30,26,112,0.83,0.19,1.02,0.64,0.83,1.03,0.15,1.18,0.83,0.98,Matches,2017-2018
23,Jean-Kévin Augustin,fr FRA,FW,RB Leipzig,20,1997,25,14,"1,266",14.1,9,5,14,8,1,2,1,0,7.1,5.5,1.9,7.4,31,15,137,0.64,0.36,1,0.57,0.92,0.51,0.13,0.64,0.39,0.53,Matches,2017-2018
24,Ludwig Augustinsson,se SWE,"DF,FW",Werder Bremen,23,1994,29,29,"2,532",28.1,1,1,2,1,0,0,3,0,1.2,1.2,2.1,3.4,48,103,151,0.04,0.04,0.07,0.04,0.07,0.04,0.07,0.12,0.04,0.12,Matches,2017-2018
25,Yann Aurel Bisseck,de GER,"DF,MF",Köln,16,2000,3,1,156,1.7,0,0,0,0,0,0,0,0,0,0,0,0,3,9,1,0,0,0,0,0,0,0,0,0,0,Matches,2017-2018
