Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Season
1,Antonio Adán,es ESP,GK,Atlético Madrid,31,1987,1,1,90,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2018-2019
2,Aday,es ESP,"DF,MF",Girona,30,1987,10,8,645,7.2,0,2,2,0,0,0,2,0,0.3,0.3,1.5,1.8,35,11,40,0,0.28,0.28,0,0.28,0.04,0.21,0.25,0.04,0.25,Matches,2018-2019
3,Aritz Aduriz,es ESP,FW,Athletic Club,37,1981,20,10,943,10.5,2,0,2,0,2,2,5,0,3.3,1.8,0.7,2.5,8,15,57,0.19,0,0.19,0,0,0.32,0.07,0.38,0.17,0.23,Matches,2018-2019
4,Luis Advíncula,pe PER,DF,Rayo Vallecano,28,1990,28,27,"2,389",26.5,1,3,4,1,0,0,6,2,1.1,1.1,2.4,3.5,51,90,136,0.04,0.11,0.15,0.04,0.15,0.04,0.09,0.13,0.04,0.13,Matches,2018-2019
5,Martin Agirregabiria,es ESP,DF,Alavés,22,1996,27,23,"2,032",22.6,0,0,0,0,0,0,4,0,0,0,0.5,0.5,36,89,56,0,0,0,0,0,0,0.02,0.02,0,0.02,Matches,2018-2019
6,Juan Aguilera,es ESP,MF,Huesca,32,1985,6,4,344,3.8,0,0,0,0,0,0,1,0,0.5,0.5,0,0.5,8,21,2,0,0,0,0,0,0.14,0,0.14,0.14,0.14,Matches,2018-2019
7,Carlos Akapo,gq EQG,DF,Huesca,25,1993,13,12,"1,023",11.4,0,0,0,0,0,0,2,0,0.2,0.2,0.2,0.4,33,34,28,0,0,0,0,0,0.02,0.02,0.04,0.02,0.04,Matches,2018-2019
8,Sergio Akieme,es ESP,DF,Rayo Vallecano,20,1997,2,2,180,2,0,1,1,0,0,0,0,0,0,0,0.1,0.1,5,7,9,0,0.5,0.5,0,0.5,0,0.03,0.03,0,0.03,Matches,2018-2019
9,Jordi Alba,es ESP,DF,Barcelona,29,1989,36,32,"2,991",33.2,2,8,10,2,0,0,6,0,1.8,1.8,6.7,8.5,63,207,372,0.06,0.24,0.3,0.06,0.3,0.05,0.2,0.25,0.05,0.25,Matches,2018-2019
10,Pedro Alcalá,es ESP,DF,Girona,29,1989,25,20,"1,868",20.8,1,1,2,1,0,0,9,0,1,1,0.6,1.6,13,47,3,0.05,0.05,0.1,0.05,0.1,0.05,0.03,0.08,0.05,0.08,Matches,2018-2019
11,Rubén Alcaraz,es ESP,MF,Valladolid,27,1991,34,34,"2,976",33.1,3,2,5,3,0,1,13,0,3.5,2.7,0.9,3.6,45,181,21,0.09,0.06,0.15,0.09,0.15,0.1,0.03,0.13,0.08,0.11,Matches,2018-2019
12,Álex Alegría,es ESP,"FW,MF",Rayo Vallecano,25,1992,9,0,140,1.6,0,0,0,0,0,0,0,0,0.2,0.2,0.4,0.6,4,5,7,0,0,0,0,0,0.16,0.24,0.4,0.16,0.4,Matches,2018-2019
13,Iván Alejo,es ESP,MF,Getafe,23,1995,4,2,146,1.6,0,0,0,0,0,0,2,1,0,0,0.6,0.6,7,3,10,0,0,0,0,0,0.02,0.35,0.36,0.02,0.36,Matches,2018-2019
14,Carles Aleñá,es ESP,MF,Barcelona,20,1998,17,6,637,7.1,2,0,2,2,0,0,2,0,1.3,1.3,0.7,2,18,65,38,0.28,0,0.28,0.28,0.28,0.18,0.1,0.28,0.18,0.28,Matches,2018-2019
15,Alexander,ar ARG,FW,Leganés,29,1988,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,Matches,2018-2019
16,Júnior Alonso,py PAR,"DF,MF",Celta Vigo,25,1993,9,6,536,6,0,0,0,0,0,0,2,0,0.4,0.4,0.2,0.5,6,21,19,0,0,0,0,0,0.06,0.03,0.09,0.06,0.09,Matches,2018-2019
