Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season
1,Rafidine Abdullah,km COM,MF,Lorient,21,1994,12,6,579,6.4,1,0,1,1,0,0,6,1,0.16,0,0.16,0.16,0.16,Matches,2015-2016
2,Jordan Adéoti,bj BEN,"DF,MF",Caen,26,1989,32,16,"1,718",19.1,0,0,0,0,0,0,6,0,0,0,0,0,0,Matches,2015-2016
3,Adryan,br BRA,"FW,MF",Nantes,20,1994,26,19,"1,423",15.8,3,2,5,3,0,0,2,1,0.19,0.13,0.32,0.19,0.32,Matches,2015-2016
4,Kossi Agassa,tg TOG,GK,Reims,37,1978,11,11,901,10,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2015-2016
5,Ali Ahamada,km COM,GK,Toulouse,23,1991,6,6,540,6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2015-2016
6,Jean-Daniel Akpa-Akpro,ci CIV,"DF,MF",Toulouse,22,1992,33,29,"2,555",28.4,1,4,5,1,0,0,12,0,0.04,0.14,0.18,0.04,0.18,Matches,2015-2016
7,Alexis Alegue,fr FRA,"FW,MF",Nantes,18,1996,3,1,97,1.1,1,0,1,1,0,0,0,0,0.93,0,0.93,0.93,0.93,Matches,2015-2016
8,Romain Alessandrini,fr FRA,"FW,MF",Marseille,26,1989,22,16,"1,246",13.8,5,4,9,5,0,0,1,2,0.36,0.29,0.65,0.36,0.65,Matches,2015-2016
9,Chaker Alhadhur,km COM,"DF,MF",Caen,23,1991,10,8,787,8.7,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches,2015-2016
10,Ibrahim Amadou,fr FRA,"DF,MF",Lille,22,1993,22,18,"1,668",18.5,1,0,1,1,0,0,2,0,0.05,0,0.05,0.05,0.05,Matches,2015-2016
11,Morgan Amalfitano,fr FRA,MF,Lille,30,1985,15,10,957,10.6,2,0,2,2,0,0,2,0,0.19,0,0.19,0.19,0.19,Matches,2015-2016
