Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Season
1,Aly Abeid,mr MTN,DF,Levante,19,1997,1,1,77,0.9,0,0,0,0,0,0,0,0,0,0,0.1,0.1,2,1,3,0,0,0,0,0,0,0.08,0.08,0,0.08,Matches,2017-2018
2,Antonio Adán,es ESP,GK,Betis,30,1987,30,30,"2,700",30,0,2,2,0,0,0,4,0,0,0,0.7,0.7,0,0,0,0,0.07,0.07,0,0.07,0,0.02,0.02,0,0.02,Matches,2017-2018
3,Aday,es ESP,DF,Girona,29,1987,31,20,"1,835",20.4,2,0,2,1,1,2,10,0,2.8,1.3,1.6,2.9,82,61,156,0.1,0,0.1,0.05,0.05,0.14,0.08,0.22,0.06,0.14,Matches,2017-2018
4,Aritz Aduriz,es ESP,FW,Athletic Club,36,1981,33,21,"2,152",23.9,9,1,10,6,3,5,5,0,11.1,7.6,1.5,9,27,45,150,0.38,0.04,0.42,0.25,0.29,0.47,0.06,0.53,0.32,0.38,Matches,2017-2018
5,Martin Agirregabiria,es ESP,DF,Alavés,21,1996,21,20,"1,828",20.3,0,4,4,0,0,0,4,0,0.1,0.1,1.5,1.6,24,48,54,0,0.2,0.2,0,0.2,0,0.08,0.08,0,0.08,Matches,2017-2018
6,Imanol Agirretxe,es ESP,FW,Real Sociedad,30,1987,11,2,232,2.6,0,0,0,0,0,0,0,0,1.2,1.2,0,1.2,1,5,8,0,0,0,0,0,0.45,0,0.45,0.45,0.45,Matches,2017-2018
7,Matías Aguirregaray,uy URU,DF,Las Palmas,28,1989,15,14,"1,153",12.8,0,0,0,0,0,0,3,0,0.6,0.6,0.6,1.2,23,57,49,0,0,0,0,0,0.05,0.05,0.1,0.05,0.1,Matches,2017-2018
8,Ager Aketxe,es ESP,MF,Athletic Club,23,1993,3,0,37,0.4,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,1,6,3,0,0,0,0,0,0.15,0,0.15,0.15,0.15,Matches,2017-2018
9,David Alba,es ESP,DF,Getafe,18,1999,1,1,61,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,Matches,2017-2018
10,Jordi Alba,es ESP,DF,Barcelona,28,1989,33,30,"2,744",30.5,2,8,10,2,0,0,7,0,2.1,2.1,6.1,8.3,58,135,314,0.07,0.26,0.33,0.07,0.33,0.07,0.2,0.27,0.07,0.27,Matches,2017-2018
11,Raúl Albentosa,es ESP,DF,La Coruña,28,1988,20,19,"1,748",19.4,1,0,1,1,0,0,5,0,1.5,1.5,0.2,1.6,1,27,5,0.05,0,0.05,0.05,0.05,0.08,0.01,0.08,0.08,0.08,Matches,2017-2018
12,Paco Alcácer,es ESP,"MF,FW",Barcelona,23,1993,17,8,695,7.7,4,3,7,4,0,0,0,0,3.9,3.9,2.1,6,6,13,42,0.52,0.39,0.91,0.52,0.91,0.51,0.27,0.78,0.51,0.78,Matches,2017-2018
13,Pedro Alcalá,es ESP,DF,Girona,28,1989,8,8,689,7.7,1,0,1,1,0,0,4,0,1,1,0.2,1.2,3,24,0,0.13,0,0.13,0.13,0.13,0.13,0.03,0.16,0.13,0.16,Matches,2017-2018
14,Steve Aldo One,cm CMR,DF,La Coruña,22,1995,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2017-2018
15,Álex Alegría,es ESP,FW,Levante,24,1992,9,8,628,7,0,0,0,0,0,0,1,0,1.1,1.1,0.2,1.3,2,8,29,0,0,0,0,0,0.16,0.03,0.19,0.16,0.19,Matches,2017-2018
16,Iván Alejo,es ESP,"MF,FW",Eibar,22,1995,22,14,"1,102",12.2,1,3,4,1,0,0,5,0,0.5,0.5,2.1,2.6,71,20,125,0.08,0.25,0.33,0.08,0.33,0.04,0.17,0.21,0.04,0.21,Matches,2017-2018
17,Alexander,ar ARG,"MF,FW",Leganés,28,1988,13,13,"1,060",11.8,2,2,4,1,1,1,1,0,2.2,1.4,2.5,3.9,17,26,72,0.17,0.17,0.34,0.08,0.25,0.19,0.21,0.4,0.12,0.33,Matches,2017-2018
18,Alexis,es ESP,DF,Alavés,31,1985,28,25,"2,184",24.3,1,0,1,1,0,0,6,0,1.2,1.2,0.3,1.5,5,34,11,0.04,0,0.04,0.04,0.04,0.05,0.01,0.06,0.05,0.06,Matches,2017-2018
19,José Alonso Lara,es ESP,MF,Sevilla,17,2000,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,Matches,2017-2018
20,Sergio Álvarez,es ESP,GK,Celta Vigo,30,1986,17,16,"1,476",16.4,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches,2017-2018
21,Yeray Álvarez,es ESP,DF,Athletic Club,22,1995,8,7,675,7.5,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,10,41,1,0,0,0,0,0,0.01,0.01,0.02,0.01,0.02,Matches,2017-2018
22,Eloi Amagat,es ESP,MF,Girona,32,1985,2,0,15,0.2,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0,3,0,0,0,0,0,0,1.2,0,1.2,1.2,1.2,Matches,2017-2018
23,Jordi Amat,id IDN,"DF,MF",Betis,25,1992,25,24,"2,045",22.7,0,0,0,0,0,0,7,2,0.4,0.4,0.1,0.5,13,101,5,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches,2017-2018
24,Amath,sn SEN,"MF,FW",Getafe,21,1996,37,36,"2,859",31.8,3,3,6,3,0,0,9,0,4.4,4.4,2.7,7.2,66,66,158,0.09,0.09,0.19,0.09,0.19,0.14,0.09,0.23,0.14,0.23,Matches,2017-2018
25,Nordin Amrabat,ma MAR,"FW,MF",Leganés,30,1987,30,17,"1,623",18,2,4,6,2,0,0,6,1,3.7,3.7,3.2,6.9,87,50,146,0.11,0.22,0.33,0.11,0.33,0.2,0.18,0.38,0.2,0.38,Matches,2017-2018
26,Jon Ander Serantes,es ESP,GK,Leganés,27,1989,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2017-2018
27,Florin Andone,ro ROU,FW,La Coruña,24,1993,29,16,"1,636",18.2,7,3,10,7,0,1,6,0,11.4,10.6,0.9,11.5,41,11,144,0.39,0.17,0.55,0.39,0.55,0.63,0.05,0.68,0.58,0.63,Matches,2017-2018
28,Miguel Ángel Guerrero,es ESP,FW,Leganés,27,1990,22,15,"1,442",16,4,3,7,4,0,1,3,0,5.7,4.9,1.5,6.4,16,18,87,0.25,0.19,0.44,0.25,0.44,0.35,0.09,0.45,0.31,0.4,Matches,2017-2018
29,José Ángel,es ESP,DF,Eibar,27,1989,30,28,"2,426",27,0,8,8,0,0,0,4,0,0.5,0.5,4.1,4.6,44,128,89,0,0.3,0.3,0,0.3,0.02,0.15,0.17,0.02,0.17,Matches,2017-2018
30,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,33,1984,9,9,764,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2017-2018
31,Miguel Ángel Rubio,es ESP,DF,Getafe,19,1998,1,0,29,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches,2017-2018
32,Vitorino Antunes,pt POR,DF,Getafe,30,1987,34,31,"2,799",31.1,0,2,2,0,0,1,14,0,1.7,0.9,3.4,4.3,45,116,65,0,0.06,0.06,0,0.06,0.05,0.11,0.16,0.03,0.14,Matches,2017-2018
33,Alberto Aquilani,it ITA,MF,Las Palmas,33,1984,21,15,"1,297",14.4,0,0,0,0,0,0,4,0,0.7,0.7,0.5,1.2,8,80,12,0,0,0,0,0,0.05,0.04,0.08,0.05,0.08,Matches,2017-2018
34,Mauro Arambarri,uy URU,MF,Getafe,21,1995,27,26,"2,124",23.6,1,1,2,1,0,0,9,1,1.6,1.6,1.9,3.6,12,76,15,0.04,0.04,0.08,0.04,0.08,0.07,0.08,0.15,0.07,0.15,Matches,2017-2018
35,Guilherme Arana,br BRA,DF,Sevilla,20,1997,3,2,193,2.1,0,0,0,0,0,0,0,0,0,0,0,0,6,4,6,0,0,0,0,0,0,0,0,0,0,Matches,2017-2018
36,Sergio Araujo,ar ARG,"MF,FW",Las Palmas,25,1992,2,0,39,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,4,0,0,0,0,0,0.22,0,0.22,0.22,0.22,Matches,2017-2018
37,Anaitz Arbilla,es ESP,DF,Eibar,30,1987,29,26,"2,414",26.8,2,1,3,2,0,0,8,0,0.8,0.8,0.4,1.2,34,158,2,0.07,0.04,0.11,0.07,0.11,0.03,0.01,0.04,0.03,0.04,Matches,2017-2018
38,José Arnaiz,es ESP,MF,Barcelona,22,1995,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2017-2018
39,Alejandro Arribas,es ESP,DF,La Coruña,28,1989,3,3,270,3,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0,11,0,0,0,0,0,0,0.05,0,0.05,0.05,0.05,Matches,2017-2018
40,Sergio Arribas,es ESP,MF,Leganés,22,1995,1,0,23,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,Matches,2017-2018
41,Kepa Arrizabalaga,es ESP,GK,Athletic Club,22,1994,30,30,"2,700",30,0,0,0,0,0,0,3,0,0,0,0.3,0.3,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches,2017-2018
42,Aythami Artiles,es ESP,DF,Las Palmas,31,1986,3,2,184,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Matches,2017-2018
43,Sergio Asenjo,es ESP,GK,Villarreal,28,1989,23,23,"2,070",23,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2017-2018
44,Marco Asensio,es ESP,"FW,MF",Real Madrid,21,1996,32,19,"1,844",20.5,6,6,12,6,0,0,2,0,4.5,4.5,6.4,10.9,135,157,209,0.29,0.29,0.59,0.29,0.59,0.22,0.31,0.53,0.22,0.53,Matches,2017-2018
45,Iago Aspas,es ESP,FW,Celta Vigo,29,1987,34,33,"2,936",32.6,22,5,27,20,2,3,9,0,17.3,15,9.5,24.5,115,126,294,0.67,0.15,0.83,0.61,0.77,0.53,0.29,0.82,0.46,0.75,Matches,2017-2018
46,Carlos Bacca,co COL,FW,Villarreal,30,1986,35,30,"2,497",27.7,15,6,21,14,1,1,9,0,14,13.2,4.7,18,56,39,188,0.54,0.22,0.76,0.5,0.72,0.51,0.17,0.68,0.48,0.65,Matches,2017-2018
47,Cédric Bakambu,cd COD,FW,Villarreal,26,1991,15,15,"1,263",14,9,0,9,8,1,1,5,0,5.9,5.1,1.6,6.6,37,21,80,0.64,0,0.64,0.57,0.57,0.42,0.11,0.53,0.36,0.47,Matches,2017-2018
48,Zakaria Bakkali,be BEL,"FW,MF",La Coruña,21,1996,23,10,909,10.1,0,0,0,0,0,0,5,0,1.2,1.2,0.3,1.5,33,30,99,0,0,0,0,0,0.12,0.03,0.15,0.12,0.15,Matches,2017-2018
49,Gareth Bale,wls WAL,"FW,MF",Real Madrid,28,1989,26,20,"1,799",20,16,2,18,15,1,1,5,0,11.8,11,5,16,75,87,217,0.8,0.1,0.9,0.75,0.85,0.59,0.25,0.84,0.55,0.8,Matches,2017-2018
50,Mikel Balenziaga,es ESP,DF,Athletic Club,29,1988,18,18,"1,549",17.2,0,2,2,0,0,0,1,0,0.2,0.2,1,1.1,29,48,71,0,0.12,0.12,0,0.12,0.01,0.06,0.07,0.01,0.07,Matches,2017-2018
51,Éver Banega,ar ARG,MF,Sevilla,29,1988,31,25,"2,399",26.7,3,3,6,0,3,3,9,1,3.8,1.4,6.2,7.6,77,350,81,0.11,0.11,0.23,0,0.11,0.14,0.23,0.37,0.05,0.29,Matches,2017-2018
52,Léo Baptistão,br BRA,"FW,MF",Espanyol,24,1992,36,31,"2,677",29.7,8,3,11,8,0,0,4,0,10.2,10.2,2.5,12.7,76,51,187,0.27,0.1,0.37,0.27,0.37,0.34,0.08,0.43,0.34,0.43,Matches,2017-2018
53,Mariano Barbosa,ar ARG,GK,Villarreal,33,1984,13,12,"1,125",12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2017-2018
54,Enis Bardhi,mk MKD,MF,Levante,22,1995,26,16,"1,580",17.6,9,1,10,9,0,0,8,0,3.1,3.1,1.3,4.4,39,91,57,0.51,0.06,0.57,0.51,0.57,0.18,0.07,0.25,0.18,0.25,Matches,2017-2018
55,Antonio Barragán,es ESP,DF,Betis,30,1987,29,28,"2,373",26.4,0,6,6,0,0,0,7,0,0.7,0.7,2.8,3.5,50,123,198,0,0.23,0.23,0,0.23,0.03,0.11,0.13,0.03,0.13,Matches,2017-2018
56,Barri,es ESP,"MF,FW",Getafe,21,1995,2,1,113,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,2,4,0,0,0,0,0,0,0.04,0,0.04,0.04,0.04,Matches,2017-2018
57,Marc Bartra,es ESP,DF,Betis,26,1991,16,16,"1,420",15.8,1,0,1,1,0,0,6,0,0.8,0.8,0.7,1.5,16,57,4,0.06,0,0.06,0.06,0.06,0.05,0.04,0.09,0.05,0.09,Matches,2017-2018
58,Borja Bastón,es ESP,FW,Málaga,24,1992,20,8,985,10.9,2,0,2,1,1,2,2,0,5.1,3.6,0.1,3.7,7,8,65,0.18,0,0.18,0.09,0.09,0.47,0.01,0.48,0.33,0.34,Matches,2017-2018
59,Jon Bautista,es ESP,"FW,MF",Real Sociedad,22,1995,11,1,181,2,1,0,1,1,0,0,0,0,1.3,1.3,0.1,1.3,3,3,12,0.5,0,0.5,0.5,0.5,0.64,0.03,0.67,0.64,0.67,Matches,2017-2018
60,Paul Baysse,fr FRA,DF,Málaga,29,1988,15,13,"1,239",13.8,1,0,1,1,0,0,1,0,1.1,1.1,0,1.1,0,25,3,0.07,0,0.07,0.07,0.07,0.08,0,0.08,0.08,0.08,Matches,2017-2018
61,Claudio Beauvue,gp GLP,FW,Leganés,29,1988,28,17,"1,672",18.6,2,0,2,2,0,0,4,0,4.2,4.2,1.3,5.5,18,22,70,0.11,0,0.11,0.11,0.11,0.23,0.07,0.29,0.23,0.29,Matches,2017-2018
62,Bebé,cv CPV,"MF,FW",Eibar,27,1990,9,3,365,4.1,0,1,1,0,0,0,0,0,0.3,0.3,1.7,2,14,3,37,0,0.25,0.25,0,0.25,0.07,0.42,0.49,0.07,0.49,Matches,2017-2018
63,Wissam Ben Yedder,fr FRA,FW,Sevilla,26,1990,25,18,"1,700",18.9,9,3,12,9,0,0,2,1,12.3,12.3,2.1,14.4,42,53,138,0.48,0.16,0.64,0.48,0.64,0.65,0.11,0.76,0.65,0.76,Matches,2017-2018
64,Karim Benzema,fr FRA,FW,Real Madrid,29,1987,32,25,"2,150",23.9,5,10,15,3,2,2,0,0,12.8,11.2,6.8,18,69,98,188,0.21,0.42,0.63,0.13,0.54,0.54,0.28,0.82,0.47,0.76,Matches,2017-2018
65,Markel Bergara,es ESP,MF,Getafe,31,1986,18,18,"1,463",16.3,4,1,5,4,0,0,5,0,2.8,2.8,0,2.8,5,28,18,0.25,0.06,0.31,0.25,0.31,0.17,0,0.17,0.17,0.17,Matches,2017-2018
66,Pedro Bigas,es ESP,DF,Las Palmas,26,1990,12,11,894,9.9,0,0,0,0,0,0,3,0,0.2,0.2,0.3,0.5,14,32,2,0,0,0,0,0,0.02,0.03,0.05,0.02,0.05,Matches,2017-2018
67,Rubén Blanco,es ESP,GK,Celta Vigo,22,1995,22,22,"1,941",21.6,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches,2017-2018
