Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Season
1,Antonio Adán,es ESP,GK,Atlético Madrid,32,1987,1,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2019-2020
2,Aritz Aduriz,es ESP,"FW,MF",Athletic Club,38,1981,14,0,208,2.3,1,0,1,1,0,1,3,0,1.6,0.8,0,0.8,2,6,15,0.43,0,0.43,0.43,0.43,0.67,0,0.67,0.33,0.33,Matches,2019-2020
3,Lumor Agbenyenu,gh GHA,DF,Mallorca,22,1996,23,20,"1,805",20.1,1,0,1,1,0,0,5,1,0.3,0.3,1.6,1.9,60,69,66,0.05,0,0.05,0.05,0.05,0.01,0.08,0.09,0.01,0.09,Matches,2019-2020
4,Martin Agirregabiria,es ESP,DF,Alavés,23,1996,31,23,"2,099",23.3,1,1,2,1,0,0,5,1,0.8,0.8,0.7,1.5,26,56,49,0.04,0.04,0.09,0.04,0.09,0.03,0.03,0.07,0.03,0.07,Matches,2019-2020
5,Joseph Aidoo,gh GHA,DF,Celta Vigo,23,1995,32,27,"2,502",27.8,0,1,1,0,0,0,4,0,1,1,0.7,1.8,17,89,2,0,0.04,0.04,0,0.04,0.04,0.03,0.06,0.04,0.06,Matches,2019-2020
6,Jordi Alba,es ESP,DF,Barcelona,30,1989,27,25,"2,187",24.3,2,5,7,2,0,0,7,0,1.4,1.4,4.3,5.7,42,150,244,0.08,0.21,0.29,0.08,0.29,0.06,0.18,0.23,0.06,0.23,Matches,2019-2020
7,Raúl Albiol,es ESP,DF,Villarreal,33,1985,36,36,"3,237",36,1,0,1,1,0,0,9,0,2.3,2.3,0.3,2.5,11,118,4,0.03,0,0.03,0.03,0.03,0.06,0.01,0.07,0.06,0.07,Matches,2019-2020
8,Paco Alcácer,es ESP,FW,Villarreal,25,1993,13,11,924,10.3,4,1,5,4,0,0,1,0,3.7,3.7,1.4,5.2,13,15,50,0.39,0.1,0.49,0.39,0.49,0.36,0.14,0.5,0.36,0.5,Matches,2019-2020
9,Rubén Alcaraz,es ESP,MF,Valladolid,28,1991,27,20,"1,927",21.4,2,2,4,2,0,0,10,0,1.9,1.9,1,2.9,26,100,21,0.09,0.09,0.19,0.09,0.19,0.09,0.05,0.13,0.09,0.13,Matches,2019-2020
10,Álex Alegría,es ESP,FW,Mallorca,26,1992,6,0,109,1.2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,0,0,0,0,0,0,0,0,0,0,Matches,2019-2020
11,Carles Aleñá,es ESP,MF,Barcelona,21,1998,4,2,172,1.9,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,4,16,2,0,0,0,0,0,0.04,0,0.04,0.04,0.04,Matches,2019-2020
12,Carles Aleñá,es ESP,"MF,FW",Betis,21,1998,17,7,735,8.2,1,0,1,1,0,0,1,0,1.4,1.4,0.1,1.5,15,50,25,0.12,0,0.12,0.12,0.12,0.17,0.01,0.19,0.17,0.19,Matches,2019-2020
13,Sergio Álvarez,es ESP,"MF,DF",Eibar,27,1992,18,14,"1,147",12.7,0,0,0,0,0,0,6,0,0.2,0.2,0.1,0.4,6,40,6,0,0,0,0,0,0.02,0.01,0.03,0.02,0.03,Matches,2019-2020
14,Sergio Álvarez,es ESP,GK,Celta Vigo,32,1986,2,2,180,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2019-2020
15,Yeray Álvarez,es ESP,DF,Athletic Club,24,1995,32,32,"2,810",31.2,0,0,0,0,0,0,2,0,1.3,1.3,0.8,2.1,29,110,4,0,0,0,0,0,0.04,0.03,0.07,0.04,0.07,Matches,2019-2020
16,Ibrahim Amadou,fr FRA,MF,Leganés,26,1993,10,9,770,8.6,0,0,0,0,0,0,2,0,0.7,0.7,0,0.8,9,20,10,0,0,0,0,0,0.08,0.01,0.09,0.08,0.09,Matches,2019-2020
17,Amath,sn SEN,MF,Getafe,23,1996,7,0,66,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,Matches,2019-2020
18,Miguel Ángel Guerrero,es ESP,FW,Leganés,29,1990,13,9,790,8.8,1,0,1,1,0,1,0,0,2.6,1.8,0.6,2.4,10,17,37,0.11,0,0.11,0.11,0.11,0.3,0.07,0.37,0.21,0.28,Matches,2019-2020
19,José Ángel,es ESP,DF,Eibar,29,1989,28,27,"2,360",26.2,1,1,2,1,0,0,4,0,0.8,0.8,2.8,3.6,50,154,62,0.04,0.04,0.08,0.04,0.08,0.03,0.11,0.14,0.03,0.14,Matches,2019-2020
20,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,35,1984,13,13,"1,170",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2019-2020
21,Antoñito,es ESP,"DF,MF",Valladolid,31,1987,15,11,"1,029",11.4,0,0,0,0,0,0,1,0,0.1,0.1,0.9,1,22,30,45,0,0,0,0,0,0.01,0.08,0.09,0.01,0.09,Matches,2019-2020
22,Vitorino Antunes,pt POR,MF,Getafe,32,1987,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2019-2020
23,Anuar,ma MAR,"MF,FW",Valladolid,24,1995,11,1,189,2.1,0,0,0,0,0,0,1,0,0,0,0,0,4,10,2,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches,2019-2020
24,Mauro Arambarri,uy URU,MF,Getafe,23,1995,35,34,"3,069",34.1,1,1,2,1,0,0,11,1,2.1,2.1,2.1,4.2,30,113,41,0.03,0.03,0.06,0.03,0.06,0.06,0.06,0.12,0.06,0.12,Matches,2019-2020
25,Néstor Araujo,mx MEX,DF,Celta Vigo,27,1991,34,32,"2,888",32.1,1,2,3,1,0,0,10,0,1,1,0.8,1.8,21,83,4,0.03,0.06,0.09,0.03,0.09,0.03,0.02,0.06,0.03,0.06,Matches,2019-2020
26,Ronald Araújo,uy URU,DF,Barcelona,20,1999,6,2,238,2.6,0,0,0,0,0,0,0,1,0.2,0.2,0,0.2,1,5,0,0,0,0,0,0,0.08,0,0.08,0.08,0.08,Matches,2019-2020
27,Anaitz Arbilla,es ESP,DF,Eibar,32,1987,24,22,"2,007",22.3,1,0,1,1,0,0,5,0,0.7,0.7,0.3,1,21,104,17,0.04,0,0.04,0.04,0.04,0.03,0.02,0.05,0.03,0.05,Matches,2019-2020
28,Alphonse Areola,fr FRA,GK,Real Madrid,26,1993,4,4,360,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2019-2020
29,Santiago Arias,co COL,DF,Atlético Madrid,27,1992,14,11,"1,076",12,0,1,1,0,0,0,1,0,0.5,0.5,2.1,2.6,27,45,76,0,0.08,0.08,0,0.08,0.05,0.17,0.22,0.05,0.22,Matches,2019-2020
30,José Arnaiz,es ESP,"FW,MF",Osasuna,24,1995,14,8,791,8.8,2,1,3,2,0,0,2,0,1.4,1.4,0.4,1.8,17,18,60,0.23,0.11,0.34,0.23,0.34,0.16,0.05,0.21,0.16,0.21,Matches,2019-2020
31,José Arnaiz,es ESP,MF,Leganés,24,1995,12,2,337,3.7,0,0,0,0,0,0,2,0,0.7,0.7,0.5,1.1,14,9,24,0,0,0,0,0,0.18,0.13,0.3,0.18,0.3,Matches,2019-2020
32,Sergio Asenjo,es ESP,GK,Villarreal,30,1989,34,34,"3,060",34,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2019-2020
33,Marco Asensio,es ESP,FW,Real Madrid,23,1996,9,3,336,3.7,3,1,4,3,0,0,0,0,1.1,1.1,1.4,2.6,8,13,31,0.8,0.27,1.07,0.8,1.07,0.31,0.38,0.68,0.31,0.68,Matches,2019-2020
34,Iago Aspas,es ESP,FW,Celta Vigo,31,1987,37,37,"3,262",36.2,14,3,17,9,5,7,9,0,14.6,9,4.4,13.4,106,125,256,0.39,0.08,0.47,0.25,0.33,0.4,0.12,0.52,0.25,0.37,Matches,2019-2020
