Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Season
1,Rolando Aarons,eng ENG,"MF,FW",Hellas Verona,21,1995,11,6,517,5.7,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.3,9,17,31,0,0,0,0,0,0.03,0.03,0.06,0.03,0.06,Matches,2017-2018
2,Ignazio Abate,it ITA,DF,Milan,30,1986,17,11,"1,057",11.7,1,0,1,1,0,0,3,0,0.2,0.2,0.5,0.7,20,81,65,0.09,0,0.09,0.09,0.09,0.01,0.04,0.06,0.01,0.06,Matches,2017-2018
3,Francesco Acerbi,it ITA,DF,Sassuolo,29,1988,38,38,"3,420",38,0,0,0,0,0,0,4,0,1,1,0.7,1.7,35,141,14,0,0,0,0,0,0.03,0.02,0.04,0.03,0.04,Matches,2017-2018
4,Afriyie Acquah,gh GHA,MF,Torino,25,1992,22,9,951,10.6,1,0,1,1,0,0,5,1,0.4,0.4,0.6,1,24,60,24,0.09,0,0.09,0.09,0.09,0.04,0.06,0.1,0.04,0.1,Matches,2017-2018
5,Claud Adjapong,it ITA,"DF,FW",Sassuolo,19,1998,16,14,"1,220",13.6,0,0,0,0,0,0,5,1,0.8,0.8,1.1,1.9,31,42,54,0,0,0,0,0,0.06,0.08,0.14,0.06,0.14,Matches,2017-2018
6,Ali Adnan Kadhim,iq IRQ,"DF,FW",Udinese,23,1993,23,18,"1,674",18.6,0,1,1,0,0,0,4,0,0.5,0.5,1.7,2.2,25,58,56,0,0.05,0.05,0,0.05,0.03,0.09,0.12,0.03,0.12,Matches,2017-2018
7,Arlind Ajeti,al ALB,DF,Crotone,23,1993,21,15,"1,271",14.1,0,1,1,0,0,0,7,0,0.9,0.9,1,1.9,2,20,0,0,0.07,0.07,0,0.07,0.07,0.07,0.14,0.07,0.14,Matches,2017-2018
8,Luis Alberto,es ESP,"FW,MF",Lazio,24,1992,34,32,"2,669",29.7,11,14,25,10,1,2,5,0,7.2,5.7,11.8,17.4,126,272,179,0.37,0.47,0.84,0.34,0.81,0.24,0.4,0.64,0.19,0.59,Matches,2017-2018
9,Raúl Albiol,es ESP,DF,Napoli,31,1985,31,30,"2,742",30.5,3,1,4,3,0,0,7,0,1.4,1.4,1.3,2.6,27,231,4,0.1,0.03,0.13,0.1,0.13,0.04,0.04,0.09,0.04,0.09,Matches,2017-2018
10,Alisson,br BRA,GK,Roma,24,1992,37,37,"3,330",37,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2017-2018
11,Allan,br BRA,MF,Napoli,26,1991,38,32,"2,850",31.7,4,5,9,4,0,0,2,0,3.8,3.8,3.6,7.3,83,186,135,0.13,0.16,0.28,0.13,0.28,0.12,0.11,0.23,0.12,0.23,Matches,2017-2018
12,Ricky Álvarez,ar ARG,MF,Sampdoria,29,1988,12,2,267,3,1,1,2,1,0,0,0,0,0.4,0.4,0.5,0.9,7,13,30,0.34,0.34,0.67,0.34,0.67,0.14,0.17,0.31,0.14,0.31,Matches,2017-2018
13,Joachim Andersen,dk DEN,DF,Sampdoria,21,1996,7,6,546,6.1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,7,27,1,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches,2017-2018
14,Felipe Anderson,br BRA,"FW,MF",Lazio,24,1993,21,9,"1,162",12.9,4,6,10,4,0,0,0,0,2.8,2.8,4.3,7.1,98,83,140,0.31,0.46,0.77,0.31,0.77,0.22,0.33,0.55,0.22,0.55,Matches,2017-2018
15,Nícolas Andrade,br BRA,GK,Hellas Verona,29,1988,36,36,"3,240",36,0,0,0,0,0,0,2,1,0,0,0.1,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches,2017-2018
16,Marco Andreolli,it ITA,DF,Cagliari,31,1986,23,20,"1,829",20.3,0,0,0,0,0,0,5,0,0.2,0.2,0,0.2,11,54,2,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches,2017-2018
17,Gabriele Angella,it ITA,DF,Udinese,28,1989,12,9,893,9.9,0,0,0,0,0,0,3,0,0.3,0.3,0,0.3,2,35,7,0,0,0,0,0,0.03,0,0.03,0.03,0.03,Matches,2017-2018
18,Cristian Ansaldi,ar ARG,DF,Torino,30,1986,25,20,"1,872",20.8,1,3,4,1,0,0,7,1,0.7,0.7,3.6,4.4,78,87,88,0.05,0.14,0.19,0.05,0.19,0.04,0.18,0.21,0.04,0.21,Matches,2017-2018
19,Luca Antei,it ITA,DF,Benevento,25,1992,8,8,592,6.6,0,0,0,0,0,0,1,1,0.1,0.1,0,0.1,7,16,1,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches,2017-2018
20,Mirco Antenucci,it ITA,FW,SPAL,32,1984,33,28,"2,571",28.6,11,4,15,6,5,5,1,0,8.1,4.2,3.5,7.7,46,52,214,0.39,0.14,0.53,0.21,0.35,0.28,0.12,0.41,0.15,0.27,Matches,2017-2018
21,Luca Antonelli,it ITA,"DF,FW",Milan,30,1987,6,1,144,1.6,0,0,0,0,0,0,1,0,0,0,0,0,2,10,6,0,0,0,0,0,0,0.03,0.03,0,0.03,Matches,2017-2018
22,Mirko Antonucci,it ITA,FW,Roma,18,1999,2,0,31,0.3,0,1,1,0,0,0,0,0,0.6,0.6,0.4,0.9,1,1,6,0,2.9,2.9,0,2.9,1.69,1.07,2.76,1.69,2.76,Matches,2017-2018
23,Samuel Armenteros,se SWE,FW,Benevento,27,1990,9,5,429,4.8,1,0,1,1,0,0,1,0,1.4,1.4,0,1.4,2,8,17,0.21,0,0.21,0.21,0.21,0.29,0,0.29,0.29,0.29,Matches,2017-2018
24,Kwadwo Asamoah,gh GHA,DF,Juventus,28,1988,19,18,"1,568",17.4,0,0,0,0,0,0,4,0,0.2,0.2,0.7,0.9,49,98,88,0,0,0,0,0,0.01,0.04,0.05,0.01,0.05,Matches,2017-2018
25,Davide Astori,it ITA,DF,Fiorentina,30,1987,25,25,"2,250",25,1,1,2,1,0,0,5,0,1,1,0.3,1.4,30,97,8,0.04,0.04,0.08,0.04,0.08,0.04,0.01,0.05,0.04,0.05,Matches,2017-2018
26,Felipe Avenatti,uy URU,FW,Bologna,24,1993,11,4,468,5.2,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.4,2,8,30,0,0,0,0,0,0.05,0.02,0.07,0.05,0.07,Matches,2017-2018
27,Khouma Babacar,sn SEN,FW,Fiorentina,24,1993,16,1,448,5,4,1,5,2,2,2,1,0,3.9,2.4,1.1,3.5,10,12,38,0.8,0.2,1,0.4,0.6,0.79,0.22,1.02,0.48,0.7,Matches,2017-2018
28,Khouma Babacar,sn SEN,FW,Sassuolo,24,1993,13,8,750,8.3,2,1,3,1,1,1,0,0,3.5,2.7,1,3.7,11,13,52,0.24,0.12,0.36,0.12,0.24,0.42,0.13,0.55,0.32,0.45,Matches,2017-2018
29,Milan Badelj,hr CRO,MF,Fiorentina,28,1989,27,27,"2,351",26.1,2,1,3,2,0,0,10,1,2,2,2.8,4.9,24,222,35,0.08,0.04,0.11,0.08,0.11,0.08,0.11,0.19,0.08,0.19,Matches,2017-2018
30,Riad Bajić,ba BIH,"FW,MF",Udinese,23,1994,5,0,80,0.9,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.3,1,3,10,0,0,0,0,0,0.19,0.18,0.37,0.19,0.37,Matches,2017-2018
31,Andrija Balić,hr CRO,MF,Udinese,19,1997,21,11,"1,083",12,0,1,1,0,0,0,2,0,0.8,0.8,0.6,1.4,16,51,19,0,0.08,0.08,0,0.08,0.06,0.05,0.12,0.06,0.12,Matches,2017-2018
32,Mattia Bani,it ITA,DF,Chievo,23,1993,16,15,"1,317",14.6,0,0,0,0,0,0,5,1,0.3,0.3,0,0.3,1,32,3,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches,2017-2018
