S,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Season
99,Sofian Chakla,ma MAR,DF,Getafe,26,1993,11,9,897,10,0,0,0,0,0,0,5,0,0.3,0.3,0.1,0.4,2,20,1,0,0,0,0,0,0.03,0.01,0.04,0.03,0.04,Matches,2020-2021
100,Chema,es ESP,"DF,MF",Getafe,28,1992,10,7,557,6.2,0,0,0,0,0,0,3,1,0.1,0.1,0.2,0.3,2,17,0,0,0,0,0,0,0.01,0.04,0.05,0.01,0.05,Matches,2020-2021
101,Denis Cheryshev,ru RUS,MF,Valencia,29,1990,21,13,"1,101",12.2,0,3,3,0,0,0,3,0,1,1,2.4,3.4,37,37,95,0,0.25,0.25,0,0.25,0.08,0.19,0.28,0.08,0.28,Matches,2020-2021
102,Samuel Chukwueze,ng NGA,"MF,FW",Villarreal,21,1999,28,13,"1,365",15.2,4,2,6,4,0,0,0,0,2.4,2.4,3,5.4,84,53,177,0.26,0.13,0.4,0.26,0.4,0.16,0.2,0.36,0.16,0.36,Matches,2020-2021
103,Víctor Chust,es ESP,DF,Real Madrid,20,2000,2,1,95,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,Matches,2020-2021
104,Cifu,es ESP,DF,Elche,29,1990,11,4,451,5,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,9,10,16,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches,2020-2021
105,Alberto Cifuentes,es ESP,GK,Cádiz,41,1979,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches,2020-2021
106,Jasper Cillessen,nl NED,GK,Valencia,31,1989,10,10,900,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2020-2021
107,Carlos Clerc,es ESP,DF,Levante,28,1992,35,30,"2,781",30.9,0,3,3,0,0,0,5,0,0.3,0.3,3.2,3.5,87,147,196,0,0.1,0.1,0,0.1,0.01,0.1,0.11,0.01,0.11,Matches,2020-2021
108,Coke,es ESP,DF,Levante,33,1987,17,11,835,9.3,0,0,0,0,0,0,1,0,0.4,0.4,0.6,1,10,39,23,0,0,0,0,0,0.05,0.06,0.11,0.05,0.11,Matches,2020-2021
109,Francis Coquelin,fr FRA,MF,Villarreal,29,1991,22,7,736,8.2,0,0,0,0,0,0,4,0,0.2,0.2,0.6,0.8,10,31,20,0,0,0,0,0,0.02,0.07,0.1,0.02,0.1,Matches,2020-2021
