Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Season
1,Francesco Acerbi,it ITA,DF,Lazio,31,1988,36,36,"3,162",35.1,2,2,4,2,0,0,4,0,2.4,2.4,1.7,4.2,57,150,36,0.06,0.06,0.11,0.06,0.11,0.07,0.05,0.12,0.07,0.12,Matches,2019-2020
2,Bobby Adekanye,nl NED,FW,Lazio,20,1999,11,0,188,2.1,1,0,1,1,0,0,1,0,1.4,1.4,0.2,1.6,6,2,12,0.48,0,0.48,0.48,0.48,0.65,0.09,0.74,0.65,0.74,Matches,2019-2020
3,Claud Adjapong,it ITA,DF,Hellas Verona,21,1998,5,2,231,2.6,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,4,5,16,0,0,0,0,0,0.09,0,0.09,0.09,0.09,Matches,2019-2020
4,Lucien Agoume,fr FRA,MF,Inter,17,2002,3,0,68,0.8,0,0,0,0,0,0,1,0,0,0,0.1,0.1,1,7,2,0,0,0,0,0,0,0.11,0.11,0,0.11,Matches,2019-2020
5,Kevin Agudelo,co COL,"MF,FW",Fiorentina,20,1998,3,1,64,0.7,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,1,4,8,0,0,0,0,0,0.26,0.14,0.4,0.26,0.4,Matches,2019-2020
6,Kevin Agudelo,co COL,"MF,FW",Genoa,20,1998,10,7,666,7.4,1,1,2,1,0,0,5,1,1.2,1.2,1.6,2.8,39,41,34,0.14,0.14,0.27,0.14,0.27,0.17,0.21,0.38,0.17,0.38,Matches,2019-2020
7,Emmanuel Agyemang-Badu,gh GHA,MF,Hellas Verona,28,1990,10,2,230,2.6,0,0,0,0,0,0,2,0,0,0,0,0,2,7,1,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches,2019-2020
8,Ola Aina,ng NGA,DF,Torino,22,1996,32,20,"2,079",23.1,0,2,2,0,0,0,8,0,0.4,0.4,2.5,2.9,86,80,80,0,0.09,0.09,0,0.09,0.02,0.11,0.13,0.02,0.13,Matches,2019-2020
9,Luis Alberto,es ESP,MF,Lazio,26,1992,36,36,"3,113",34.6,6,15,21,5,1,1,5,0,6.6,5.8,11.4,17.2,203,371,163,0.17,0.43,0.61,0.14,0.58,0.19,0.33,0.52,0.17,0.5,Matches,2019-2020
10,Enrico Alfonso,it ITA,GK,Brescia,31,1988,4,4,279,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2019-2020
