Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance,Top Team Scorer,Goalkeeper,UCL_progress,Season,,,,
10,fr  Lyon,10,4,3,3,14,10,4,15,,Bafétimbi Gomis - 5,Hugo Lloris,Round of 16,2011-2012,,,,
11,it  Napoli,8,4,2,2,14,11,3,14,,Edinson Cavani - 5,Morgan De Sanctis,Round of 16,2011-2012,,,,
12,ch  Basel,8,4,2,2,12,17,-5,14,,Alexander Frei - 5,Yann Sommer,Round of 16,2011-2012,,,,
13,ru  Zenit,8,3,3,2,10,9,1,12,,Roman Shirokov - 5,Vyacheslav Malafeev,Round of 16,2011-2012,,,,
14,it  Inter,8,3,2,3,10,9,1,11,,Giampaolo Pazzini - 3,Júlio César,Round of 16,2011-2012,,,,
15,de  Leverkusen,8,3,1,4,10,18,-8,10,,Eren Derdiyok - 2,Bernd Leno,Round of 16,2011-2012,,,,
16,ru  CSKA Moscow,8,2,3,3,11,13,-2,9,,Seydou Doumbia - 5,Vladimir Gabulov,Round of 16,2011-2012,,,,
,,,,,,,,,,,,,,2011-2012,,,,
17,cz  Viktoria Plzeň,12,4,5,3,22,16,6,17,,Marek Bakoš - 2,Marek Čech,Group Stage,2011-2012,,,,
18,hr  Dinamo Zagreb,12,3,2,7,13,26,-13,11,,"Fatos Bećiraj, Mateo Kovačić... - 1",Ivan Kelava,Group Stage,2011-2012,,,,
19,eng  Manchester City,6,3,1,2,9,6,3,10,,Yaya Touré - 3,Joe Hart,Group Stage,2011-2012,,,,
20,by  BATE Borisov,12,1,7,4,11,17,-6,10,,Renan Bardini Bressan - 2,Alyaksandr Hutar,Group Stage,2011-2012,,,,
21,eng  Manchester Utd,6,2,3,1,11,8,3,9,,"Wayne Rooney, Danny Welbeck - 2",David de Gea,Group Stage,2011-2012,,,,
22,gr  Olympiacos,6,3,0,3,8,6,2,9,,"David Fuster, François Modesto... - 2","Franco Costanzo, Balázs Megyeri",Group Stage,2011-2012,,,,
23,es  Valencia,6,2,2,2,12,7,5,8,,Roberto Soldado - 5,Diego Alves,Group Stage,2011-2012,,,,
24,pt  Porto,6,2,2,2,7,7,0,8,,Hulk - 4,Helton Arruda,Group Stage,2011-2012,,,,
25,nl  Ajax,6,2,2,2,6,6,0,8,,"Christian Eriksen, Derk Boerrigter... - 1",Kenneth Vermeer,Group Stage,2011-2012,,,,
