Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance,Top Team Scorer,Goalkeeper,UCL_progress,Season,,,,
23,ua  Shakhtar,10,3,2,5,13,16,-3,11,"30,406",Alex Teixeira - 3,Andriy Pyatov,Group Stage,2015-2016,,,,
24,pt  Porto,6,3,1,2,9,8,1,10,"37,516",Vincent Aboubakar - 3,Iker Casillas,Group Stage,2015-2016,,,,
25,de  Leverkusen,8,2,3,3,16,13,3,9,"27,832",Javier Hernández - 5,Bernd Leno,Group Stage,2015-2016,,,,
26,es  Valencia,8,3,0,5,9,12,-3,9,"36,085","João Cancelo, Sofiane Feghouli... - 1",Jaume Doménech,Group Stage,2015-2016,,,,
27,gr  Olympiacos,6,3,0,3,6,13,-7,9,"31,516",Felipe Pardo - 3,Roberto,Group Stage,2015-2016,,,,
28,il  Maccabi Tel Aviv,12,2,2,8,13,24,-11,8,"20,460",Eran Zahavi - 1,Predrag Rajković,Group Stage,2015-2016,,,,
29,es  Sevilla,6,2,0,4,8,11,-3,6,"37,268","Yevhen Konoplyanka, Éver Banega - 2",Sergio Rico,Group Stage,2015-2016,,,,
30,de  Gladbach,6,1,2,3,8,12,-4,5,"45,870",Lars Stindl - 3,Yann Sommer,Group Stage,2015-2016,,,,
31,tr  Galatasaray,6,1,2,3,6,10,-4,5,"31,183","Lukas Podolski, Selçuk İnan - 2",Fernando Muslera,Group Stage,2015-2016,,,,
32,fr  Lyon,6,1,1,4,5,9,-4,4,"31,304",Alexandre Lacazette - 2,Anthony Lopes,Group Stage,2015-2016,,,,
1,es  Real Madrid,13,9,3,1,35,18,17,30,"75,547",Cristiano Ronaldo - 12,Keylor Navas,Winner,2016-2017,,,,
,,,,,,,,,,,,,,2016-2017,,,,
2,it  Juventus,13,9,3,1,22,6,16,30,"43,048",Gonzalo Higuaín - 5,Gianluigi Buffon,Runner up,2016-2017,,,,
,,,,,,,,,,,,,,2016-2017,,,,
3,es  Atlético Madrid,12,9,1,2,18,10,8,28,"46,751",Antoine Griezmann - 6,Jan Oblak,Semi Finalist,2016-2017,,,,
4,fr  Monaco,12,5,3,4,19,19,0,18,"12,247",Kylian Mbappé - 6,Danijel Subašić,Semi Finalist,2016-2017,,,,
,,,,,,,,,,,,,,2016-2017,,,,
5,es  Barcelona,10,6,1,3,26,12,14,19,"85,863",Lionel Messi - 11,Marc-André ter Stegen,Quarter Finalist,2016-2017,,,,
6,de  Bayern Munich,10,6,0,4,27,14,13,18,"70,000",Robert Lewandowski - 8,Manuel Neuer,Quarter Finalist,2016-2017,,,,
7,de  Dortmund,10,5,2,3,28,16,12,17,"63,698",Pierre-Emerick Aubameyang - 7,Roman Bürki,Quarter Finalist,2016-2017,,,,
8,eng  Leicester City,10,5,2,3,11,10,1,17,"31,471",Riyad Mahrez - 4,Kasper Schmeichel,Quarter Finalist,2016-2017,,,,
,,,,,,,,,,,,,,2016-2017,,,,
9,fr  Paris S-G,8,4,3,1,18,13,5,15,"45,516",Edinson Cavani - 8,Alphonse Areola,Round of 16,2016-2017,,,,
10,eng  Arsenal,8,4,2,2,20,16,4,14,"59,869","Mesut Özil, Theo Walcott - 4",David Ospina,Round of 16,2016-2017,,,,
11,es  Sevilla,8,4,2,2,9,6,3,14,"37,433",Wissam Ben Yedder - 2,Sergio Rico,Round of 16,2016-2017,,,,
12,eng  Manchester City,8,3,4,1,17,13,4,13,"45,664",Sergio Agüero - 5,Willy Caballero,Round of 16,2016-2017,,,,
13,pt  Porto,8,3,2,3,9,6,3,11,"40,297",André Silva - 4,Iker Casillas,Round of 16,2016-2017,,,,
14,it  Napoli,8,3,2,3,13,14,-1,11,"40,054",Dries Mertens - 5,Pepe Reina,Round of 16,2016-2017,,,,
15,pt  Benfica,8,3,2,3,11,14,-3,11,"51,131",Eduardo Salvio - 3,Ederson,Round of 16,2016-2017,,,,
16,de  Leverkusen,8,2,4,2,11,11,0,10,"25,894","Kevin Kampl, Kevin Volland... - 1",Bernd Leno,Round of 16,2016-2017,,,,
,,,,,,,,,,,,,,2016-2017,,,,
17,dk  FC Copenhagen,6,2,3,1,7,2,5,9,"22,680",Mathias Jørgensen - 2,Robin Olsen,Group Stage,2016-2017,,,,
18,fr  Lyon,6,2,2,2,5,3,2,8,"50,028",Corentin Tolisso - 2,Anthony Lopes,Group Stage,2016-2017,,,,
19,eng  Tottenham,6,2,1,3,6,6,0,7,"77,519",Harry Kane - 2,Hugo Lloris,Group Stage,2016-2017,,,,
20,tr  Beşiktaş,6,1,4,1,9,14,-5,7,"35,184","Vincent Aboubakar, Ricardo Quaresma - 3",Tolga Zengin,Group Stage,2016-2017,,,,
21,ua  Dynamo Kyiv,6,1,2,3,8,6,2,5,"25,055","Derlis González, Vitaliy Buyalskyi... - 1",Artur Rudko,Group Stage,2016-2017,,,,
22,ru  Rostov,6,1,2,3,6,12,-6,5,"14,669",Dmitry Poloz - 3,Soslan Dzhanayev,Group Stage,2016-2017,,,,
23,de  Gladbach,6,1,2,3,5,12,-7,5,"45,447",Lars Stindl - 2,Yann Sommer,Group Stage,2016-2017,,,,
24,pl  Legia Warsaw,6,1,1,4,9,24,-15,4,"19,873","Aleksandar Prijović, Miroslav Radović - 2",Arkadiusz Malarz,Group Stage,2016-2017,,,,
25,pt  Sporting CP,6,1,0,5,5,8,-3,3,"45,583",Bruno César - 2,Rui Patrício,Group Stage,2016-2017,,,,
26,ru  CSKA Moscow,6,0,3,3,5,11,-6,3,"23,147",Alan Dzagoev - 2,Igor Akinfeev,Group Stage,2016-2017,,,,
27,bg  Ludogorets,6,0,3,3,6,15,-9,3,"15,735",Jonathan Cafu - 2,Vladislav Stoyanov,Group Stage,2016-2017,,,,
28,sct  Celtic,6,0,3,3,5,16,-11,3,"55,764",Moussa Dembélé - 3,Craig Gordon,Group Stage,2016-2017,,,,
29,nl  PSV Eindhoven,6,0,2,4,4,11,-7,2,"34,130","Davy Pröpper, Luuk de Jong... - 1",Jeroen Zoet,Group Stage,2016-2017,,,,
30,ch  Basel,6,0,2,4,3,12,-9,2,"33,830","Seydou Doumbia, Renato Steffen... - 1",Tomáš Vaclík,Group Stage,2016-2017,,,,
31,be  Club Brugge,6,0,0,6,2,14,-12,0,"21,108","Jelle Vossen, José Izquierdo - 1",Ludovic Butelle,Group Stage,2016-2017,,,,
32,hr  Dinamo Zagreb,6,0,0,6,0,15,-15,0,"11,986",,Dominik Livaković,Group Stage,2016-2017,,,,
Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Attendance,Top Team Scorer,Goalkeeper,Notes,Season
1,es  Real Madrid,13,9,2,2,33,16,17,29,33,20,13.1,1.01,"73,421",Cristiano Ronaldo - 15,Keylor Navas,Winner,2017-2018
,,,,,,,,,,,,,,,,,,2017-2018
2,eng  Liverpool,13,7,4,2,41,16,25,25,33,13.2,19.7,1.52,"50,224","Roberto Firmino, Sadio Mané... - 10",Loris Karius,Runner up,2017-2018
,,,,,,,,,,,,,,,,,,2017-2018
3,de  Bayern Munich,12,8,2,2,26,12,14,26,27.4,14.2,13.2,1.1,"70,000",Robert Lewandowski - 5,Sven Ulreich,Semi Finalist,2017-2018
4,it  Roma,12,6,2,4,21,19,2,20,19.1,18.2,0.9,0.07,"48,587",Edin Džeko - 8,Alisson,Semi Finalist,2017-2018
,,,,,,,,,,,,,,,,,,2017-2018
5,es  Barcelona,10,6,3,1,17,6,11,21,13.7,8.9,4.8,0.48,"73,861",Lionel Messi - 6,Marc-André ter Stegen,Quarter Finalist,2017-2018
6,eng  Manchester City,10,6,0,4,20,12,8,18,15.7,11,4.6,0.46,"48,050","Gabriel Jesus, Raheem Sterling... - 4",Ederson,Quarter Finalist,2017-2018
7,it  Juventus,10,5,3,2,14,12,2,18,16.9,13.6,3.3,0.33,"38,541",Gonzalo Higuaín - 5,Gianluigi Buffon,Quarter Finalist,2017-2018
8,es  Sevilla,10,3,5,2,15,15,0,14,16.1,13.9,2.2,0.22,"37,807",Wissam Ben Yedder - 8,Sergio Rico,Quarter Finalist,2017-2018
,,,,,,,,,,,,,,,,,,2017-2018
9,eng  Tottenham,8,5,2,1,18,8,10,17,13.1,12.6,0.5,0.06,"69,454",Harry Kane - 7,Hugo Lloris,Round of 16,2017-2018
10,eng  Manchester Utd,8,5,1,2,13,5,8,16,18,8.2,9.8,1.23,"74,467",Romelu Lukaku - 5,David de Gea,Round of 16,2017-2018
11,fr  Paris S-G,8,5,0,3,27,9,18,15,17.2,9.5,7.7,0.96,"46,382",Edinson Cavani - 7,Alphonse Areola,Round of 16,2017-2018
12,ch  Basel,8,5,0,3,13,10,3,15,10.4,10.7,-0.3,-0.04,"34,854",Dimitri Oberlin - 4,Tomáš Vaclík,Round of 16,2017-2018
13,ua  Shakhtar,8,5,0,3,11,11,0,15,9.9,13.7,-3.8,-0.48,"31,382","Facundo Ferreyra, Bernard - 3",Andriy Pyatov,Round of 16,2017-2018
14,tr  Beşiktaş,8,4,2,2,12,13,-1,14,8.6,15.1,-6.5,-0.81,"37,448","Talisca, Cenk Tosun - 4",Fabricio,Round of 16,2017-2018
15,eng  Chelsea,8,3,3,2,17,12,5,12,15.5,7.7,7.8,0.97,"40,218","Eden Hazard, Willian - 3",Thibaut Courtois,Round of 16,2017-2018
16,pt  Porto,8,3,2,3,15,15,0,11,10.9,11.2,-0.3,-0.04,"43,568",Vincent Aboubakar - 5,José Sá,Round of 16,2017-2018
,,,,,,,,,,,,,,,,,,2017-2018
17,ru  CSKA Moscow,6,3,0,3,8,10,-2,9,5.7,12.9,-7.2,-1.2,"22,468",Vitinho - 2,Igor Akinfeev,Group Stage,2017-2018
18,es  Atlético Madrid,6,1,4,1,5,4,1,7,11.3,6.9,4.4,0.74,"57,596",Antoine Griezmann - 2,Jan Oblak,Group Stage,2017-2018
19,de  RB Leipzig,6,2,1,3,10,11,-1,7,9.6,7.7,2,0.33,"41,374",Timo Werner - 3,Péter Gulácsi,Group Stage,2017-2018
20,pt  Sporting CP,6,2,1,3,8,9,-1,7,7.3,7.1,0.2,0.04,"46,556","Bas Dost, Bruno César - 2",Rui Patrício,Group Stage,2017-2018
21,it  Napoli,6,2,0,4,11,11,0,6,10.1,8.2,1.8,0.31,"31,739",Lorenzo Insigne - 3,Pepe Reina,Group Stage,2017-2018
22,ru  Spartak Moscow,6,1,3,2,9,13,-4,6,6.8,11.4,-4.6,-0.77,"43,534","Quincy Promes, Zé Luís - 2",Aleksandr Selikhov,Group Stage,2017-2018
23,nl  Feyenoord,6,1,0,5,5,14,-9,3,5.4,8.6,-3.3,-0.54,"41,167",Nicolai Jørgensen - 2,Brad Jones,Group Stage,2017-2018
24,sct  Celtic,6,1,0,5,5,18,-13,3,4.7,10.5,-5.7,-0.96,"55,838","Scott Sinclair, Callum McGregor... - 1",Craig Gordon,Group Stage,2017-2018
25,si  NK Maribor,6,0,3,3,3,16,-13,3,4.1,16.1,-12,-1.99,"10,154","Damjan Bohar, Marcos Tavares... - 1",Jasmin Handanović,Group Stage,2017-2018
26,be  Anderlecht,6,1,0,5,2,17,-15,3,5.4,14.2,-8.8,-1.47,"19,586",Sofiane Hanni - 1,"Frank Boeckx, Matz Sels",Group Stage,2017-2018
27,de  Dortmund,6,0,2,4,7,13,-6,2,9.6,9.8,-0.2,-0.04,"65,399",Pierre-Emerick Aubameyang - 4,Roman Bürki,Group Stage,2017-2018
28,fr  Monaco,6,0,2,4,6,16,-10,2,5.9,9.7,-3.8,-0.63,"9,378",Radamel Falcao - 3,"Danijel Subašić, Diego Benaglio",Group Stage,2017-2018
29,az  Qarabağ,6,0,2,4,2,14,-12,2,2.4,14.8,-12.4,-2.06,"42,496","Míchel, Pedro Henrique - 1",Ibrahim Šehić,Group Stage,2017-2018
30,cy  APOEL FC,6,0,2,4,2,17,-15,2,3.9,16.5,-12.7,-2.11,"15,392",Mickaël Poté - 2,Nauzet Pérez,Group Stage,2017-2018
31,gr  Olympiacos,6,0,1,5,4,13,-9,1,3.4,13.8,-10.3,-1.72,"27,308",Felipe Pardo - 2,Silvio Proto,Group Stage,2017-2018
32,pt  Benfica,6,0,0,6,1,14,-13,0,6.2,10.4,-4.2,-0.69,"39,492",Haris Seferović - 1,Mile Svilar,Group Stage,2017-2018
1,eng  Liverpool,13,8,1,4,24,12,12,25,28.3,13.9,14.4,1.11,"52,907",Mohamed Salah - 5,Alisson,Winner,2018-2019
,,,,,,,,,,,,,,,,,,2018-2019
2,eng  Tottenham,13,6,2,5,20,19,1,20,20.5,16.1,4.4,0.34,"62,947","Harry Kane, Lucas Moura - 5",Hugo Lloris,Runner up,2018-2019
,,,,,,,,,,,,,,,,,,2018-2019
3,es  Barcelona,12,8,3,1,26,10,16,27,23.1,14.4,8.6,0.72,"86,178",Lionel Messi - 12,Marc-André ter Stegen,Semi Finalist,2018-2019
4,nl  Ajax,12,6,4,2,22,13,9,22,22.3,17.8,4.5,0.38,"52,221",Dušan Tadić - 6,André Onana,Semi Finalist,2018-2019
,,,,,,,,,,,,,,,,,,2018-2019
5,eng  Manchester City,10,7,1,2,30,12,18,22,22.9,10.1,12.8,1.28,"49,535",Sergio Agüero - 6,Ederson,Quarter Finalist,2018-2019
6,pt  Porto,10,6,1,3,20,15,5,19,16.9,19.4,-2.5,-0.25,"43,415",Moussa Marega - 6,Iker Casillas,Quarter Finalist,2018-2019
7,it  Juventus,10,5,1,4,14,9,5,16,18.9,10.1,8.8,0.88,"40,766",Cristiano Ronaldo - 6,Wojciech Szczęsny,Quarter Finalist,2018-2019
8,eng  Manchester Utd,10,4,1,5,10,11,-1,13,10.4,13.7,-3.2,-0.32,"73,708","Romelu Lukaku, Paul Pogba... - 2",David de Gea,Quarter Finalist,2018-2019
,,,,,,,,,,,,,,,,,,2018-2019
9,es  Atlético Madrid,8,5,1,2,11,9,2,16,8.1,9.1,-1,-0.12,"60,068",Antoine Griezmann - 4,Jan Oblak,Round of 16,2018-2019
10,de  Bayern Munich,8,4,3,1,16,8,8,15,14.7,9.3,5.4,0.68,"69,536",Robert Lewandowski - 8,Manuel Neuer,Round of 16,2018-2019
11,es  Real Madrid,8,5,0,3,15,10,5,15,16.9,10.8,6.1,0.76,"66,314",Karim Benzema - 4,Thibaut Courtois,Round of 16,2018-2019
12,fr  Paris S-G,8,4,2,2,20,12,8,14,16.9,10.5,6.4,0.8,"45,144",Neymar - 5,Gianluigi Buffon,Round of 16,2018-2019
13,de  Dortmund,8,4,1,3,10,6,4,13,12.2,6.8,5.5,0.68,"66,099",Raphaël Guerreiro - 4,Roman Bürki,Round of 16,2018-2019
14,it  Roma,8,4,0,4,14,12,2,12,15,14,1,0.12,"49,525",Edin Džeko - 5,Robin Olsen,Round of 16,2018-2019
15,de  Schalke 04,8,3,2,3,8,14,-6,11,10.5,11.9,-1.4,-0.17,"50,949",Nabil Bentaleb - 3,Ralf Fährmann,Round of 16,2018-2019
16,fr  Lyon,8,1,6,1,13,16,-3,9,12.3,17.2,-5,-0.62,"41,945","Nabil Fekir, Maxwel Cornet - 3",Anthony Lopes,Round of 16,2018-2019
,,,,,,,,,,,,,,,,,,2018-2019
17,it  Napoli,6,2,3,1,7,5,2,9,10.9,6.5,4.4,0.73,"45,672","Lorenzo Insigne, Dries Mertens - 3",David Ospina,Group Stage,2018-2019
18,es  Valencia,6,2,2,2,6,6,0,8,6.9,11.1,-4.2,-0.7,"39,697","Santi Mina, Carlos Soler - 2",Neto,Group Stage,2018-2019
19,it  Inter,6,2,2,2,6,7,-1,8,8.6,7.8,0.8,0.13,"65,857",Mauro Icardi - 4,Samir Handanović,Group Stage,2018-2019
20,ru  CSKA Moscow,6,2,1,3,8,9,-1,7,6.9,11.6,-4.8,-0.79,"63,052",Nikola Vlašić - 3,Igor Akinfeev,Group Stage,2018-2019
21,pt  Benfica,6,2,1,3,6,11,-5,7,6.2,10.7,-4.5,-0.75,"49,439",Álex Grimaldo - 2,Odysseas Vlachodimos,Group Stage,2018-2019
22,cz  Viktoria Plzeň,6,2,1,3,7,16,-9,7,7.8,12.3,-4.5,-0.75,"11,337",Michal Krmenčík - 2,Aleš Hruška,Group Stage,2018-2019
23,be  Club Brugge,6,1,3,2,6,5,1,6,5.4,6.3,-0.9,-0.15,"24,928","Hans Vanaken, Wesley Moraes - 2","Ethan Horvath, Karlo Letica",Group Stage,2018-2019
24,ua  Shakhtar,6,1,3,2,8,16,-8,6,6.9,13.2,-6.3,-1.04,"34,786",Júnior Moraes - 3,Andriy Pyatov,Group Stage,2018-2019
25,tr  Galatasaray,6,1,1,4,5,8,-3,4,9.9,9.6,0.2,0.04,"41,394",Eren Derdiyok - 2,Fernando Muslera,Group Stage,2018-2019
26,ch  Young Boys,6,1,1,4,4,12,-8,4,6.5,11.5,-5,-0.83,"28,454",Guillaume Hoarau - 3,David von Ballmoos,Group Stage,2018-2019
27,rs  Red Star,6,1,1,4,5,17,-12,4,2.9,19.4,-16.6,-2.76,"33,284",Milan Pavkov - 2,Milan Borjan,Group Stage,2018-2019
28,de  Hoffenheim,6,0,3,3,11,14,-3,3,11.1,12.3,-1.2,-0.21,"23,972",Andrej Kramarić - 5,Oliver Baumann,Group Stage,2018-2019
29,ru  Loko Moscow,6,1,0,5,4,12,-8,3,6.6,9.2,-2.5,-0.42,"17,181","Vladislav Ignatyev, Anton Miranchuk... - 1",Guilherme Marinato,Group Stage,2018-2019
30,nl  PSV Eindhoven,6,0,2,4,6,13,-7,2,7.1,13.9,-6.8,-1.13,"34,638",Luuk de Jong - 3,Jeroen Zoet,Group Stage,2018-2019
31,fr  Monaco,6,0,1,5,2,14,-12,1,5.1,11,-5.9,-0.99,"9,218","Samuel Grandsir, Moussa Sylla - 1",Diego Benaglio,Group Stage,2018-2019
32,gr  AEK Athens,6,0,0,6,2,13,-11,0,4.7,11.9,-7.2,-1.2,"36,041",Viktor Klonaridis - 2,Vasilios Barkas,Group Stage,2018-2019
1,de  Bayern Munich,11,11,0,0,43,8,35,33,35.5,10.2,25.3,2.3,"50,000",Robert Lewandowski - 15,Manuel Neuer,Winner,2019-2020
,,,,,,,,,,,,,,,,,,2019-2020
2,fr  Paris S-G,11,8,1,2,25,6,19,25,26.2,12.3,13.9,1.27,"28,058","Mauro Icardi, Kylian Mbappé - 5",Keylor Navas,Runner up,2019-2020
,,,,,,,,,,,,,,,,,,2019-2020
3,de  RB Leipzig,10,6,2,2,16,12,4,20,18,13,5,0.5,"26,956","Timo Werner, Marcel Sabitzer... - 4",Péter Gulácsi,Semi Finalist,2019-2020
4,fr  Lyon,10,4,2,4,14,14,0,14,12.7,18.4,-5.7,-0.57,"41,780",Memphis - 6,Anthony Lopes,Semi Finalist,2019-2020
,,,,,,,,,,,,,,,,,,2019-2020
5,eng  Manchester City,9,6,2,1,21,9,12,20,25.1,7.9,17.2,1.91,"30,075","Raheem Sterling, Gabriel Jesus - 6",Ederson,Quarter Finalist,2019-2020
6,es  Barcelona,9,5,3,1,15,14,1,18,14.4,17.9,-3.5,-0.39,"48,647",Luis Suárez - 5,Marc-André ter Stegen,Quarter Finalist,2019-2020
7,es  Atlético Madrid,9,5,1,3,13,9,4,16,15.3,9.1,6.1,0.68,"62,232","Álvaro Morata, João Félix - 3",Jan Oblak,Quarter Finalist,2019-2020
8,it  Atalanta,9,4,1,4,17,18,-1,13,17.7,18.9,-1.2,-0.14,"26,216",Josip Iličić - 5,Pierluigi Gollini,Quarter Finalist,2019-2020
,,,,,,,,,,,,,,,,,,2019-2020
9,it  Juventus,8,6,1,1,14,6,8,19,12,10.9,1.2,0.15,"28,390",Cristiano Ronaldo - 4,Wojciech Szczęsny,Round of 16,2019-2020
10,it  Napoli,8,3,4,1,13,8,5,13,14.9,11,3.9,0.48,"34,598",Dries Mertens - 6,Alex Meret,Round of 16,2019-2020
11,eng  Liverpool,8,4,1,3,15,12,3,13,16.2,8.8,7.4,0.92,"52,312",Mohamed Salah - 4,Alisson,Round of 16,2019-2020
12,de  Dortmund,8,4,1,3,10,11,-1,13,14.4,13.1,1.4,0.17,"65,844",Achraf Hakimi - 4,Roman Bürki,Round of 16,2019-2020
13,es  Real Madrid,8,3,2,3,16,12,4,11,16.6,13.7,2.8,0.36,"70,438",Karim Benzema - 5,Thibaut Courtois,Round of 16,2019-2020
14,es  Valencia,8,3,2,3,13,15,-2,11,14.7,15.7,-1,-0.13,"31,599","Rodrigo, Denis Cheryshev... - 2",Jasper Cillessen,Round of 16,2019-2020
15,eng  Chelsea,8,3,2,3,12,16,-4,11,17.5,12.7,4.7,0.59,"38,845",Tammy Abraham - 3,Kepa Arrizabalaga,Round of 16,2019-2020
16,eng  Tottenham,8,3,1,4,18,18,0,10,14.5,11.2,3.3,0.42,"57,247",Harry Kane - 6,"Hugo Lloris, Paulo Gazzaniga",Round of 16,2019-2020
,,,,,,,,,,,,,,,,,,2019-2020
17,nl  Ajax,6,3,1,2,12,6,6,10,7.5,13.8,-6.3,-1.05,"52,288",Quincy Promes - 4,André Onana,Group Stage,2019-2020
18,at  RB Salzburg,6,2,1,3,16,13,3,7,13.7,11.9,1.8,0.3,"29,520",Erling Haaland - 8,Cican Stankovic,Group Stage,2019-2020
19,it  Inter,6,2,1,3,10,9,1,7,10,10.3,-0.3,-0.05,"62,540",Lautaro Martínez - 5,Samir Handanović,Group Stage,2019-2020
20,pt  Benfica,6,2,1,3,10,11,-1,7,8.1,9.4,-1.3,-0.22,"46,576",Pizzi - 3,Odysseas Vlachodimos,Group Stage,2019-2020
21,ru  Zenit,6,2,1,3,7,9,-2,7,6.1,9.5,-3.3,-0.55,"51,106","Sardar Azmoun, Artem Dzyuba - 2",Mikhail Kerzhakov,Group Stage,2019-2020
22,de  Leverkusen,6,2,0,4,5,9,-4,6,6.7,6.8,0,-0.01,"28,098","Sven Bender, Kevin Volland - 1",Lukáš Hrádecký,Group Stage,2019-2020
23,ua  Shakhtar,6,1,3,2,8,13,-5,6,8.3,13.1,-4.8,-0.81,"28,246","Júnior Moraes, Manor Solomon - 2",Andriy Pyatov,Group Stage,2019-2020
24,hr  Dinamo Zagreb,6,1,2,3,10,13,-3,5,7.5,16.3,-8.8,-1.46,"20,784",Mislav Oršić - 4,Dominik Livaković,Group Stage,2019-2020
25,gr  Olympiacos,6,1,1,4,8,14,-6,4,7.9,12.1,-4.3,-0.71,"30,391",Youssef El-Arabi - 3,José Sá,Group Stage,2019-2020
26,ru  Loko Moscow,6,1,0,5,4,11,-7,3,6,13.1,-7,-1.17,"26,557",Aleksei Miranchuk - 2,Guilherme Marinato,Group Stage,2019-2020
27,be  Club Brugge,6,0,3,3,4,12,-8,3,7.4,10.4,-3,-0.51,"26,641",Emmanuel Dennis - 2,Simon Mignolet,Group Stage,2019-2020
28,rs  Red Star,6,1,0,5,3,20,-17,3,4,19.8,-15.8,-2.64,"39,733","Richmond Boakye, Nemanja Milunović... - 1",Milan Borjan,Group Stage,2019-2020
29,cz  Slavia Prague,6,0,2,4,4,10,-6,2,9.4,12.2,-2.8,-0.46,"19,118",Tomáš Souček - 2,Ondřej Kolář,Group Stage,2019-2020
30,tr  Galatasaray,6,0,2,4,1,14,-13,2,4.2,16.4,-12.2,-2.03,"43,306",Adem Büyük - 1,Fernando Muslera,Group Stage,2019-2020
31,fr  Lille,6,0,1,5,4,14,-10,1,8.8,10.1,-1.3,-0.22,"48,208",Victor Osimhen - 2,Mike Maignan,Group Stage,2019-2020
32,be  Genk,6,0,1,5,5,20,-15,1,6.9,18.2,-11.3,-1.88,"18,957",Mbwana Samatta - 3,Gaëtan Coucke,Group Stage,2019-2020
1,eng  Chelsea,13,9,3,1,23,4,19,30,26,9,17,1.31,333,Olivier Giroud - 6,Edouard Mendy,Winner,2020-2021
,,,,,,,,,,,,,,,,,,2020-2021
2,eng  Manchester City,13,11,1,1,25,5,20,34,22.5,7.2,15.3,1.18,"2,016","Riyad Mahrez, Ferrán Torres - 4",Ederson,Runner up,2020-2021
,,,,,,,,,,,,,,,,,,2020-2021
3,es  Real Madrid,12,6,3,3,19,14,5,21,19.2,15.6,3.7,0.3,,Karim Benzema - 6,Thibaut Courtois,Semi Finalist,2020-2021
4,fr  Paris S-G,12,6,1,5,22,15,7,19,21.4,18.8,2.6,0.22,,Kylian Mbappé - 8,Keylor Navas,Semi Finalist,2020-2021
,,,,,,,,,,,,,,,,,,2020-2021
5,de  Bayern Munich,10,8,1,1,27,10,17,25,21.8,14,7.8,0.78,,Robert Lewandowski - 5,Manuel Neuer,Quarter Finalist,2020-2021
6,eng  Liverpool,10,6,2,2,15,6,9,20,14.7,13.9,0.8,0.08,,Mohamed Salah - 6,Alisson,Quarter Finalist,2020-2021
7,pt  Porto,10,6,1,3,15,9,6,19,12.5,15.1,-2.6,-0.26,490,Sérgio Oliveira - 5,Agustín Marchesín,Quarter Finalist,2020-2021
8,de  Dortmund,10,5,2,3,19,13,6,17,14.4,13.6,0.8,0.08,,Erling Haaland - 10,Marwin Hitz,Quarter Finalist,2020-2021
,,,,,,,,,,,,,,,,,,2020-2021
9,it  Juventus,8,6,0,2,18,8,10,18,15.8,9.8,6,0.76,,Álvaro Morata - 6,Wojciech Szczęsny,Round of 16,2020-2021
10,es  Barcelona,8,5,1,2,18,10,8,16,20.4,12.9,7.5,0.94,,Lionel Messi - 5,Marc-André ter Stegen,Round of 16,2020-2021
11,es  Sevilla,8,4,2,2,13,13,0,14,12.1,11.1,1,0.12,,Youssef En-Nesyri - 6,Yassine Bounou,Round of 16,2020-2021
12,de  RB Leipzig,8,4,0,4,11,16,-5,12,10.6,12.8,-2.2,-0.27,250,Angeliño - 3,Péter Gulácsi,Round of 16,2020-2021
13,it  Atalanta,8,3,2,3,11,12,-1,11,11.7,10.4,1.3,0.16,,"Luis Muriel, Duván Zapata - 3",Marco Sportiello,Round of 16,2020-2021
14,it  Lazio,8,2,4,2,13,13,0,10,13.1,11.6,1.5,0.19,250,Ciro Immobile - 5,Pepe Reina,Round of 16,2020-2021
15,es  Atlético Madrid,8,2,3,3,7,11,-4,9,9.2,10.3,-1.1,-0.14,,João Félix - 3,Jan Oblak,Round of 16,2020-2021
16,de  Gladbach,8,2,2,4,16,13,3,8,11.6,13.8,-2.3,-0.28,,Alassane Pléa - 5,Yann Sommer,Round of 16,2020-2021
,,,,,,,,,,,,,,,,,,2020-2021
17,eng  Manchester Utd,6,3,0,3,15,10,5,9,11.5,8.4,3.1,0.51,374,Marcus Rashford - 6,David de Gea,Group Stage,2020-2021
18,be  Club Brugge,6,2,2,2,8,10,-2,8,8.5,9.3,-0.8,-0.13,,Hans Vanaken - 3,Simon Mignolet,Group Stage,2020-2021
19,ua  Shakhtar,6,2,2,2,5,12,-7,8,4.7,11,-6.3,-1.05,"3,393",Manor Solomon - 2,Anatolii Trubin,Group Stage,2020-2021
20,nl  Ajax,6,2,1,3,7,7,0,7,8.1,8,0,0.01,,Dušan Tadić - 2,André Onana,Group Stage,2020-2021
21,it  Inter,6,1,3,2,7,9,-2,6,8.3,6.5,1.8,0.3,333,Romelu Lukaku - 4,Samir Handanović,Group Stage,2020-2021
22,ru  Krasnodar,6,1,2,3,6,11,-5,5,6.4,11.9,-5.5,-0.92,"7,461",Marcus Berg - 2,Matvei Safonov,Group Stage,2020-2021
23,at  RB Salzburg,6,1,1,4,10,17,-7,4,11.2,9.3,2,0.33,750,Mergim Berisha - 4,Cican Stankovic,Group Stage,2020-2021
24,ua  Dynamo Kyiv,6,1,1,4,4,13,-9,4,6.3,13,-6.7,-1.12,"2,970",Viktor Tsyhankov - 2,Heorhiy Bushchan,Group Stage,2020-2021
25,ru  Loko Moscow,6,0,3,3,5,10,-5,3,4.9,11.1,-6.2,-1.03,"7,701",Anton Miranchuk - 3,Guilherme Marinato,Group Stage,2020-2021
