Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
28,Ofri Arad,il ISR,MF,kz Qaırat Almaty,27-037,1998,2,2,133,1.5,0,0,0,0,0,0,1,0,0,0,0,0.1,3,10,3,0,0,0,0,0,0.03,0.02,0.05,0.03,0.05,Matches
29,Henrique Araújo,pt POR,FW,pt Benfica,23-272,2002,2,0,13,0.1,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0,0,4,0,0,0,0,0,1.31,0,1.31,1.31,1.31,Matches
30,Maximiliano Araújo,uy URU,DF,pt Sporting CP,25-245,2000,2,2,155,1.7,0,0,0,0,0,0,0,0,0,0,0,0,5,6,11,0,0,0,0,0,0.03,0,0.03,0.03,0.03,Matches
31,Ronald Araújo,uy URU,DF,es Barcelona,26-225,1999,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,Matches
32,Tomás Araújo,pt POR,DF,pt Benfica,23-155,2002,1,0,18,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
33,Arthur,br BRA,DF,de Leverkusen,22-215,2003,1,0,49,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
34,Raúl Asencio,es ESP,DF,es Real Madrid,22-247,2003,2,1,108,1.2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches
35,Pierre-Emerick Aubameyang,ga GAB,"FW,MF",fr Marseille,36-122,1989,2,2,180,2,1,2,3,1,0,0,0,0,0.7,0.7,0.5,1.2,2,3,7,0.5,1,1.5,0.5,1.5,0.36,0.25,0.61,0.36,0.61,Matches
36,Lynnt Audoor,be BEL,MF,be Club Brugge,22-005,2003,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
37,Carlos Augusto,br BRA,DF,it Inter,26-284,1999,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0.42,0.42,0,0.42,Matches
38,Sondre Auklend,no NOR,"FW,MF",no Bodø/Glimt,22-130,2003,2,2,152,1.7,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,5,3,8,0,0,0,0,0,0.09,0.05,0.13,0.09,0.13,Matches
39,Yann Aurel Bisseck,de GER,DF,it Inter,24-323,2000,1,1,66,0.7,0,0,0,0,0,0,1,0,0,0,0,0,2,5,2,0,0,0,0,0,0,0,0,0,0,Matches
40,Fredrik Aursnes,no NOR,"MF,FW",pt Benfica,29-312,1995,2,2,158,1.8,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,1,5,10,0,0,0,0,0,0.06,0,0.06,0.06,0.06,Matches
41,Nəriman Axundzadə,az AZE,FW,az Qarabağ,21-178,2004,1,0,13,0.1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,6.92,6.92,0,6.92,0,0.3,0.3,0,0.3,Matches
42,Kaan Ayhan,tr TUR,MF,tr Galatasaray,30-342,1994,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
43,Youri Baas,nl NED,DF,nl Ajax,22-215,2003,2,2,144,1.6,0,0,0,0,0,0,1,0,0,0,0,0,1,10,1,0,0,0,0,0,0,0,0,0,0,Matches
44,Loïc Bade,fr FRA,DF,de Leverkusen,25-190,2000,2,2,156,1.7,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,0,3,0,0,0,0,0,0,0.18,0,0.18,0.18,0.18,Matches
45,Benoît Badiashile,fr FRA,DF,eng Chelsea,24-206,2001,1,1,80,0.9,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,Matches
46,Alex Baena,es ESP,FW,es Atlético Madrid,24-090,2001,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
47,Olzhas Baibek,kz KAZ,MF,kz Qaırat Almaty,20-249,2005,1,0,26,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,Matches
48,Esmir Bajraktarevic,ba BIH,MF,nl PSV Eindhoven,20-222,2005,1,0,18,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,Matches
