UCL_progress,Squad,MP,W,D,L,GF,GA,GD,Pts,Top Team Scorer,Goalkeeper,Notes,Season
GR,by  BATE Borisov,12,1,7,4,11,17,-6,10,Renan Bardini Bressan - 2,Alyaksandr Hutar,,2011-2012
GR,eng  Manchester Utd,6,2,3,1,11,8,3,9,"Wayne Rooney, Danny Welbeck - 2",David de Gea,,2011-2012
GR,gr  Olympiacos,6,3,0,3,8,6,2,9,"David Fuster, François Modesto... - 2","Franco Costanzo, Balázs Megyeri",,2011-2012
GR,es  Valencia,6,2,2,2,12,7,5,8,Roberto Soldado - 5,Diego Alves,,2011-2012
GR,pt  Porto,6,2,2,2,7,7,0,8,Hulk - 4,Helton Arruda,,2011-2012
GR,nl  Ajax,6,2,2,2,6,6,0,8,"Christian Eriksen, Derk Boerrigter... - 1",Kenneth Vermeer,,2011-2012
GR,tr  Trabzonspor,8,1,5,2,4,8,-4,8,"Halil Altıntop, Ondřej Čelůstka... - 1",Tolga Zengin,,2011-2012
GR,be  Genk,10,1,5,4,8,21,-13,8,Jelle Vossen - 2,László Köteles,,2011-2012
GR,fr  Lille,6,1,3,2,6,6,0,6,Moussa Sow - 3,Mickaël Landreau,,2011-2012
GR,ua  Shakhtar,6,1,2,3,6,8,-2,5,Luiz Adriano - 3,Oleksandr Rybka,,2011-2012
GR,de  Dortmund,6,1,1,4,6,12,-6,4,"Jakub Błaszczykowski, Shinji Kagawa... - 1",Roman Weidenfeller,,2011-2012
GR,es  Villarreal,8,0,1,7,5,15,-10,1,"Cani, Jonathan de Guzmán - 1",Diego López,,2011-2012
GR,ro  Oțelul Galați,6,0,0,6,3,11,-8,0,"Liviu Antal, Gabriel Giurgiu... - 1",Branko Grahovac,,2011-2012
W,de  Bayern Munich,13,10,2,1,31,11,20,32,Thomas Müller - 8,Manuel Neuer,→ Champions League via playoff win,2012-2013
F,de  Dortmund,13,5,6,2,24,14,10,21,Robert Lewandowski - 10,Roman Weidenfeller,,2012-2013
SF,es  Real Madrid,12,5,4,3,26,18,8,19,Cristiano Ronaldo - 12,Diego López,,2012-2013
SF,es  Barcelona,12,4,5,3,18,17,1,17,Lionel Messi - 8,Víctor Valdés,,2012-2013
QF,fr  Paris S-G,10,6,3,1,20,8,12,21,Ezequiel Lavezzi - 5,Salvatore Sirigu,,2012-2013
QF,es  Málaga,12,4,6,2,18,9,9,18,Eliseu - 4,Willy Caballero,,2012-2013
QF,it  Juventus,10,4,5,1,17,8,9,17,Fabio Quagliarella - 4,Gianluigi Buffon,,2012-2013
QF,tr  Galatasaray,10,4,3,3,14,14,0,15,Burak Yılmaz - 8,Fernando Muslera,,2012-2013
R16,sct  Celtic,12,6,2,4,17,14,3,20,Georgios Samaras - 3,Fraser Forster,,2012-2013
R16,pt  Porto,8,5,1,2,11,6,5,16,Jackson Martínez - 3,Helton Arruda,,2012-2013
R16,es  Valencia,8,4,2,2,14,8,6,14,Jonas - 5,Vicente Guaita,,2012-2013
R16,de  Schalke 04,8,3,5,0,13,10,3,14,Klaas-Jan Huntelaar - 4,Lars Unnerstall,,2012-2013
R16,eng  Manchester Utd,8,4,2,2,11,9,2,14,"Javier Hernández, Robin van Persie - 3",David de Gea,,2012-2013
R16,eng  Arsenal,8,4,1,3,13,11,2,13,Lukas Podolski - 4,Vito Mannone,,2012-2013
R16,ua  Shakhtar,8,3,2,3,14,13,1,11,Willian - 4,Andriy Pyatov,,2012-2013
R16,it  Milan,8,3,2,3,9,10,-1,11,"Stephan El Shaarawy, Alexandre Pato - 2",Christian Abbiati,,2012-2013
GR,ro  CFR Cluj,10,6,2,2,15,9,6,20,Rui Pedro - 3,Mário Felgueiras,,2012-2013
GR,by  BATE Borisov,12,5,3,4,18,19,-1,18,"Vitali Rodionov, Renan Bardini Bressan - 2",Andrey Harbunow,,2012-2013
GR,ua  Dynamo Kyiv,10,4,3,3,13,14,-1,15,Oleh Husyev - 2,Maksym Koval,,2012-2013
GR,hr  Dinamo Zagreb,12,3,4,5,13,18,-5,13,Ivan Krstanović - 1,Ivan Kelava,,2012-2013
GR,be  Anderlecht,10,3,3,4,18,11,7,12,Dieumerci Mbokani - 2,Silvio Proto,,2012-2013
GR,eng  Chelsea,6,3,1,2,16,10,6,10,Oscar - 5,Petr Čech,,2012-2013
GR,gr  Olympiacos,6,3,0,3,9,9,0,9,Kostas Mitroglou - 4,Roy Carroll,,2012-2013
GR,pt  Benfica,6,2,2,2,5,5,0,8,Óscar Cardozo - 2,Artur Moraes,,2012-2013
GR,ru  Zenit,6,2,1,3,6,9,-3,7,Danny - 2,Vyacheslav Malafeev,,2012-2013
GR,ru  Spartak Moscow,8,2,1,5,10,16,-6,7,Emmanuel Emenike - 2,"Andriy Dykan, Sergei Pesyakov...",,2012-2013
GR,pt  Braga,8,1,2,5,9,15,-6,5,Alan - 5,Beto,,2012-2013
GR,nl  Ajax,6,1,1,4,8,16,-8,4,Siem de Jong - 3,Kenneth Vermeer,,2012-2013
GR,fr  Lille,8,1,1,6,6,14,-8,4,"Salomon Kalou, Gianni Bruno... - 1",Mickaël Landreau,,2012-2013
GR,eng  Manchester City,6,0,3,3,7,11,-4,3,Sergio Agüero - 2,Joe Hart,,2012-2013
GR,fr  Montpellier,6,0,2,4,6,12,-6,2,Younès Belhanda - 2,Geoffrey Jourdren,,2012-2013
GR,dk  Nordsjælland,6,0,1,5,4,22,-18,1,"Joshua John, Mikkel Beckmann... - 1",Jesper Hansen,,2012-2013
W,es  Real Madrid,13,10,2,1,41,10,31,32,Cristiano Ronaldo - 17,Iker Casillas,→ Champions League via playoff win,2013-2014
F,es  Atlético Madrid,13,7,5,1,26,10,16,26,Diego Costa - 8,Thibaut Courtois,,2013-2014
SF,de  Bayern Munich,12,6,4,2,24,13,11,22,Thomas Müller - 5,Manuel Neuer,,2013-2014
SF,eng  Chelsea,12,4,5,3,19,10,9,17,Fernando Torres - 4,Petr Čech,,2013-2014
QF,fr  Paris S-G,10,6,2,2,25,9,16,20,Zlatan Ibrahimović - 10,Salvatore Sirigu,,2013-2014
QF,es  Barcelona,10,5,3,2,21,8,13,18,Lionel Messi - 8,Víctor Valdés,,2013-2014
QF,eng  Manchester Utd,10,5,3,2,17,9,8,18,Robin van Persie - 4,David de Gea,,2013-2014
QF,de  Dortmund,10,5,2,3,18,13,5,17,Robert Lewandowski - 6,Roman Weidenfeller,,2013-2014
R16,ru  Zenit,12,4,5,3,23,17,6,17,Hulk - 4,Yuri Lodygin,,2013-2014
R16,eng  Arsenal,10,5,2,3,14,8,6,17,"Olivier Giroud, Jack Wilshere... - 2",Wojciech Szczęsny,,2013-2014
R16,eng  Manchester City,8,5,0,3,19,14,5,15,Sergio Agüero - 6,Joe Hart,,2013-2014
R16,de  Schalke 04,10,4,2,4,12,18,-6,14,Julian Draxler - 3,"Ralf Fährmann, Timo Hildebrand",,2013-2014
R16,gr  Olympiacos,8,4,1,3,12,11,1,13,"Kostas Mitroglou, Chori Domínguez - 3",Roberto,,2013-2014
R16,it  Milan,10,2,5,3,13,11,2,11,"Kaká, Mario Balotelli - 2",Christian Abbiati,,2013-2014
R16,de  Leverkusen,8,3,1,4,10,16,-6,10,Simon Rolfes - 3,Bernd Leno,,2013-2014
R16,tr  Galatasaray,8,2,2,4,9,17,-8,8,Umut Bulut - 3,Fernando Muslera,,2013-2014
GR,cz  Viktoria Plzeň,12,6,1,5,26,24,2,19,"Daniel Kolář, Marek Bakoš... - 1",Matúš Kozáčik,,2013-2014
GR,ch  Basel,10,4,4,2,15,11,4,16,Mohamed Salah - 2,Yann Sommer,,2013-2014
GR,ro  Steaua,12,3,6,3,13,15,-2,15,"Federico Piovaccari, Leandro Tatu - 1",Ciprian Tătărușanu,,2013-2014
GR,at  Austria Wien,10,3,4,3,10,13,-3,13,"Roman Kienast, Philipp Hosiner - 2",Heinz Lindner,,2013-2014
GR,it  Napoli,6,4,0,2,10,9,1,12,Gonzalo Higuaín - 4,Pepe Reina,,2013-2014
