UCL_progress,Squad,MP,W,D,L,GF,GA,GD,Pts,Top Team Scorer,Goalkeeper,Notes,Season
GR,pt  Sporting CP,6,1,0,5,5,8,-3,3,Bruno César - 2,Rui Patrício,,2016-2017
GR,ru  CSKA Moscow,6,0,3,3,5,11,-6,3,Alan Dzagoev - 2,Igor Akinfeev,,2016-2017
GR,bg  Ludogorets,6,0,3,3,6,15,-9,3,Jonathan Cafu - 2,Vladislav Stoyanov,,2016-2017
GR,sct  Celtic,6,0,3,3,5,16,-11,3,Moussa Dembélé - 3,Craig Gordon,,2016-2017
GR,nl  PSV Eindhoven,6,0,2,4,4,11,-7,2,"Davy Pröpper, Luuk de Jong... - 1",Jeroen Zoet,,2016-2017
GR,ch  Basel,6,0,2,4,3,12,-9,2,"Seydou Doumbia, Renato Steffen... - 1",Tomáš Vaclík,,2016-2017
GR,be  Club Brugge,6,0,0,6,2,14,-12,0,"Jelle Vossen, José Izquierdo - 1",Ludovic Butelle,,2016-2017
GR,hr  Dinamo Zagreb,6,0,0,6,0,15,-15,0,,Dominik Livaković,,2016-2017
W,es  Real Madrid,13,9,2,2,33,16,17,29,Cristiano Ronaldo - 15,Keylor Navas,→ Champions League via playoff win,2017-2018
F,eng  Liverpool,13,7,4,2,41,16,25,25,"Roberto Firmino, Sadio Mané... - 10",Loris Karius,,2017-2018
SF,de  Bayern Munich,12,8,2,2,26,12,14,26,Robert Lewandowski - 5,Sven Ulreich,,2017-2018
SF,it  Roma,12,6,2,4,21,19,2,20,Edin Džeko - 8,Alisson,,2017-2018
QF,es  Barcelona,10,6,3,1,17,6,11,21,Lionel Messi - 6,Marc-André ter Stegen,,2017-2018
QF,eng  Manchester City,10,6,0,4,20,12,8,18,"Gabriel Jesus, Raheem Sterling... - 4",Ederson,,2017-2018
QF,it  Juventus,10,5,3,2,14,12,2,18,Gonzalo Higuaín - 5,Gianluigi Buffon,,2017-2018
QF,es  Sevilla,10,3,5,2,15,15,0,14,Wissam Ben Yedder - 8,Sergio Rico,,2017-2018
R16,eng  Tottenham,8,5,2,1,18,8,10,17,Harry Kane - 7,Hugo Lloris,,2017-2018
R16,eng  Manchester Utd,8,5,1,2,13,5,8,16,Romelu Lukaku - 5,David de Gea,,2017-2018
R16,fr  Paris S-G,8,5,0,3,27,9,18,15,Edinson Cavani - 7,Alphonse Areola,,2017-2018
R16,ch  Basel,8,5,0,3,13,10,3,15,Dimitri Oberlin - 4,Tomáš Vaclík,,2017-2018
R16,ua  Shakhtar,8,5,0,3,11,11,0,15,"Facundo Ferreyra, Bernard - 3",Andriy Pyatov,,2017-2018
R16,tr  Beşiktaş,8,4,2,2,12,13,-1,14,"Talisca, Cenk Tosun - 4",Fabricio,,2017-2018
R16,eng  Chelsea,8,3,3,2,17,12,5,12,"Eden Hazard, Willian - 3",Thibaut Courtois,,2017-2018
R16,pt  Porto,8,3,2,3,15,15,0,11,Vincent Aboubakar - 5,José Sá,,2017-2018
GR,ru  CSKA Moscow,6,3,0,3,8,10,-2,9,Vitinho - 2,Igor Akinfeev,,2017-2018
GR,es  Atlético Madrid,6,1,4,1,5,4,1,7,Antoine Griezmann - 2,Jan Oblak,,2017-2018
GR,de  RB Leipzig,6,2,1,3,10,11,-1,7,Timo Werner - 3,Péter Gulácsi,,2017-2018
GR,pt  Sporting CP,6,2,1,3,8,9,-1,7,"Bas Dost, Bruno César - 2",Rui Patrício,,2017-2018
GR,it  Napoli,6,2,0,4,11,11,0,6,Lorenzo Insigne - 3,Pepe Reina,,2017-2018
GR,ru  Spartak Moscow,6,1,3,2,9,13,-4,6,"Quincy Promes, Zé Luís - 2",Aleksandr Selikhov,,2017-2018
GR,nl  Feyenoord,6,1,0,5,5,14,-9,3,Nicolai Jørgensen - 2,Brad Jones,,2017-2018
GR,sct  Celtic,6,1,0,5,5,18,-13,3,"Scott Sinclair, Callum McGregor... - 1",Craig Gordon,,2017-2018
GR,si  NK Maribor,6,0,3,3,3,16,-13,3,"Damjan Bohar, Marcos Tavares... - 1",Jasmin Handanović,,2017-2018
GR,be  Anderlecht,6,1,0,5,2,17,-15,3,Sofiane Hanni - 1,"Frank Boeckx, Matz Sels",,2017-2018
GR,de  Dortmund,6,0,2,4,7,13,-6,2,Pierre-Emerick Aubameyang - 4,Roman Bürki,,2017-2018
GR,fr  Monaco,6,0,2,4,6,16,-10,2,Radamel Falcao - 3,"Danijel Subašić, Diego Benaglio",,2017-2018
GR,az  Qarabağ,6,0,2,4,2,14,-12,2,"Míchel, Pedro Henrique - 1",Ibrahim Šehić,,2017-2018
GR,cy  APOEL FC,6,0,2,4,2,17,-15,2,Mickaël Poté - 2,Nauzet Pérez,,2017-2018
GR,gr  Olympiacos,6,0,1,5,4,13,-9,1,Felipe Pardo - 2,Silvio Proto,,2017-2018
GR,pt  Benfica,6,0,0,6,1,14,-13,0,Haris Seferović - 1,Mile Svilar,,2017-2018
W,eng  Liverpool,13,8,1,4,24,12,12,25,Mohamed Salah - 5,Alisson,→ Champions League via playoff win,2018-2019
F,eng  Tottenham,13,6,2,5,20,19,1,20,"Harry Kane, Lucas Moura - 5",Hugo Lloris,,2018-2019
SF,es  Barcelona,12,8,3,1,26,10,16,27,Lionel Messi - 12,Marc-André ter Stegen,,2018-2019
SF,nl  Ajax,12,6,4,2,22,13,9,22,Dušan Tadić - 6,André Onana,,2018-2019
QF,eng  Manchester City,10,7,1,2,30,12,18,22,Sergio Agüero - 6,Ederson,,2018-2019
QF,pt  Porto,10,6,1,3,20,15,5,19,Moussa Marega - 6,Iker Casillas,,2018-2019
QF,it  Juventus,10,5,1,4,14,9,5,16,Cristiano Ronaldo - 6,Wojciech Szczęsny,,2018-2019
QF,eng  Manchester Utd,10,4,1,5,10,11,-1,13,"Romelu Lukaku, Paul Pogba... - 2",David de Gea,,2018-2019
R16,es  Atlético Madrid,8,5,1,2,11,9,2,16,Antoine Griezmann - 4,Jan Oblak,,2018-2019
R16,de  Bayern Munich,8,4,3,1,16,8,8,15,Robert Lewandowski - 8,Manuel Neuer,,2018-2019
R16,es  Real Madrid,8,5,0,3,15,10,5,15,Karim Benzema - 4,Thibaut Courtois,,2018-2019
R16,fr  Paris S-G,8,4,2,2,20,12,8,14,Neymar - 5,Gianluigi Buffon,,2018-2019
R16,de  Dortmund,8,4,1,3,10,6,4,13,Raphaël Guerreiro - 4,Roman Bürki,,2018-2019
R16,it  Roma,8,4,0,4,14,12,2,12,Edin Džeko - 5,Robin Olsen,,2018-2019
R16,de  Schalke 04,8,3,2,3,8,14,-6,11,Nabil Bentaleb - 3,Ralf Fährmann,,2018-2019
R16,fr  Lyon,8,1,6,1,13,16,-3,9,"Nabil Fekir, Maxwel Cornet - 3",Anthony Lopes,,2018-2019
GR,it  Napoli,6,2,3,1,7,5,2,9,"Lorenzo Insigne, Dries Mertens - 3",David Ospina,,2018-2019
GR,es  Valencia,6,2,2,2,6,6,0,8,"Santi Mina, Carlos Soler - 2",Neto,,2018-2019
GR,it  Inter,6,2,2,2,6,7,-1,8,Mauro Icardi - 4,Samir Handanović,,2018-2019
GR,ru  CSKA Moscow,6,2,1,3,8,9,-1,7,Nikola Vlašić - 3,Igor Akinfeev,,2018-2019
GR,pt  Benfica,6,2,1,3,6,11,-5,7,Álex Grimaldo - 2,Odysseas Vlachodimos,,2018-2019
GR,cz  Viktoria Plzeň,6,2,1,3,7,16,-9,7,Michal Krmenčík - 2,Aleš Hruška,,2018-2019
GR,be  Club Brugge,6,1,3,2,6,5,1,6,"Hans Vanaken, Wesley Moraes - 2","Ethan Horvath, Karlo Letica",,2018-2019
GR,ua  Shakhtar,6,1,3,2,8,16,-8,6,Júnior Moraes - 3,Andriy Pyatov,,2018-2019
GR,tr  Galatasaray,6,1,1,4,5,8,-3,4,Eren Derdiyok - 2,Fernando Muslera,,2018-2019
GR,ch  Young Boys,6,1,1,4,4,12,-8,4,Guillaume Hoarau - 3,David von Ballmoos,,2018-2019
GR,rs  Red Star,6,1,1,4,5,17,-12,4,Milan Pavkov - 2,Milan Borjan,,2018-2019
GR,de  Hoffenheim,6,0,3,3,11,14,-3,3,Andrej Kramarić - 5,Oliver Baumann,,2018-2019
GR,ru  Loko Moscow,6,1,0,5,4,12,-8,3,"Vladislav Ignatyev, Anton Miranchuk... - 1",Guilherme Marinato,,2018-2019
GR,nl  PSV Eindhoven,6,0,2,4,6,13,-7,2,Luuk de Jong - 3,Jeroen Zoet,,2018-2019
GR,fr  Monaco,6,0,1,5,2,14,-12,1,"Samuel Grandsir, Moussa Sylla - 1",Diego Benaglio,,2018-2019
GR,gr  AEK Athens,6,0,0,6,2,13,-11,0,Viktor Klonaridis - 2,Vasilios Barkas,,2018-2019
W,de  Bayern Munich,11,11,0,0,43,8,35,33,Robert Lewandowski - 15,Manuel Neuer,→ Champions League via playoff win,2019-2020
F,fr  Paris S-G,11,8,1,2,25,6,19,25,"Mauro Icardi, Kylian Mbappé - 5",Keylor Navas,,2019-2020
SF,de  RB Leipzig,10,6,2,2,16,12,4,20,"Timo Werner, Marcel Sabitzer... - 4",Péter Gulácsi,,2019-2020
SF,fr  Lyon,10,4,2,4,14,14,0,14,Memphis - 6,Anthony Lopes,,2019-2020
QF,eng  Manchester City,9,6,2,1,21,9,12,20,"Raheem Sterling, Gabriel Jesus - 6",Ederson,,2019-2020
QF,es  Barcelona,9,5,3,1,15,14,1,18,Luis Suárez - 5,Marc-André ter Stegen,,2019-2020
QF,es  Atlético Madrid,9,5,1,3,13,9,4,16,"Álvaro Morata, João Félix - 3",Jan Oblak,,2019-2020
QF,it  Atalanta,9,4,1,4,17,18,-1,13,Josip Iličić - 5,Pierluigi Gollini,,2019-2020
R16,it  Juventus,8,6,1,1,14,6,8,19,Cristiano Ronaldo - 4,Wojciech Szczęsny,,2019-2020
R16,it  Napoli,8,3,4,1,13,8,5,13,Dries Mertens - 6,Alex Meret,,2019-2020
R16,eng  Liverpool,8,4,1,3,15,12,3,13,Mohamed Salah - 4,Alisson,,2019-2020
R16,de  Dortmund,8,4,1,3,10,11,-1,13,Achraf Hakimi - 4,Roman Bürki,,2019-2020
R16,es  Real Madrid,8,3,2,3,16,12,4,11,Karim Benzema - 5,Thibaut Courtois,,2019-2020
R16,es  Valencia,8,3,2,3,13,15,-2,11,"Rodrigo, Denis Cheryshev... - 2",Jasper Cillessen,,2019-2020
R16,eng  Chelsea,8,3,2,3,12,16,-4,11,Tammy Abraham - 3,Kepa Arrizabalaga,,2019-2020
R16,eng  Tottenham,8,3,1,4,18,18,0,10,Harry Kane - 6,"Hugo Lloris, Paulo Gazzaniga",,2019-2020
GR,nl  Ajax,6,3,1,2,12,6,6,10,Quincy Promes - 4,André Onana,,2019-2020
GR,at  RB Salzburg,6,2,1,3,16,13,3,7,Erling Haaland - 8,Cican Stankovic,,2019-2020
GR,it  Inter,6,2,1,3,10,9,1,7,Lautaro Martínez - 5,Samir Handanović,,2019-2020
GR,pt  Benfica,6,2,1,3,10,11,-1,7,Pizzi - 3,Odysseas Vlachodimos,,2019-2020
GR,ru  Zenit,6,2,1,3,7,9,-2,7,"Sardar Azmoun, Artem Dzyuba - 2",Mikhail Kerzhakov,,2019-2020
GR,de  Leverkusen,6,2,0,4,5,9,-4,6,"Sven Bender, Kevin Volland - 1",Lukáš Hrádecký,,2019-2020
GR,ua  Shakhtar,6,1,3,2,8,13,-5,6,"Júnior Moraes, Manor Solomon - 2",Andriy Pyatov,,2019-2020
GR,hr  Dinamo Zagreb,6,1,2,3,10,13,-3,5,Mislav Oršić - 4,Dominik Livaković,,2019-2020
GR,gr  Olympiacos,6,1,1,4,8,14,-6,4,Youssef El-Arabi - 3,José Sá,,2019-2020
GR,ru  Loko Moscow,6,1,0,5,4,11,-7,3,Aleksei Miranchuk - 2,Guilherme Marinato,,2019-2020
GR,be  Club Brugge,6,0,3,3,4,12,-8,3,Emmanuel Dennis - 2,Simon Mignolet,,2019-2020
GR,rs  Red Star,6,1,0,5,3,20,-17,3,"Richmond Boakye, Nemanja Milunović... - 1",Milan Borjan,,2019-2020
GR,cz  Slavia Prague,6,0,2,4,4,10,-6,2,Tomáš Souček - 2,Ondřej Kolář,,2019-2020
GR,tr  Galatasaray,6,0,2,4,1,14,-13,2,Adem Büyük - 1,Fernando Muslera,,2019-2020
GR,fr  Lille,6,0,1,5,4,14,-10,1,Victor Osimhen - 2,Mike Maignan,,2019-2020
GR,be  Genk,6,0,1,5,5,20,-15,1,Mbwana Samatta - 3,Gaëtan Coucke,,2019-2020
W,eng  Chelsea,13,9,3,1,23,4,19,30,Olivier Giroud - 6,Edouard Mendy,→ Champions League via playoff win,2020-2021
F,eng  Manchester City,13,11,1,1,25,5,20,34,"Riyad Mahrez, Ferrán Torres - 4",Ederson,,2020-2021
SF,es  Real Madrid,12,6,3,3,19,14,5,21,Karim Benzema - 6,Thibaut Courtois,,2020-2021
SF,fr  Paris S-G,12,6,1,5,22,15,7,19,Kylian Mbappé - 8,Keylor Navas,,2020-2021
QF,de  Bayern Munich,10,8,1,1,27,10,17,25,Robert Lewandowski - 5,Manuel Neuer,,2020-2021
QF,eng  Liverpool,10,6,2,2,15,6,9,20,Mohamed Salah - 6,Alisson,,2020-2021
QF,pt  Porto,10,6,1,3,15,9,6,19,Sérgio Oliveira - 5,Agustín Marchesín,,2020-2021
QF,de  Dortmund,10,5,2,3,19,13,6,17,Erling Haaland - 10,Marwin Hitz,,2020-2021
R16,it  Juventus,8,6,0,2,18,8,10,18,Álvaro Morata - 6,Wojciech Szczęsny,,2020-2021
R16,es  Barcelona,8,5,1,2,18,10,8,16,Lionel Messi - 5,Marc-André ter Stegen,,2020-2021
R16,es  Sevilla,8,4,2,2,13,13,0,14,Youssef En-Nesyri - 6,Yassine Bounou,,2020-2021
R16,de  RB Leipzig,8,4,0,4,11,16,-5,12,Angeliño - 3,Péter Gulácsi,,2020-2021
R16,it  Atalanta,8,3,2,3,11,12,-1,11,"Luis Muriel, Duván Zapata - 3",Marco Sportiello,,2020-2021
R16,it  Lazio,8,2,4,2,13,13,0,10,Ciro Immobile - 5,Pepe Reina,,2020-2021
R16,es  Atlético Madrid,8,2,3,3,7,11,-4,9,João Félix - 3,Jan Oblak,,2020-2021
R16,de  Gladbach,8,2,2,4,16,13,3,8,Alassane Pléa - 5,Yann Sommer,,2020-2021
GR,eng  Manchester Utd,6,3,0,3,15,10,5,9,Marcus Rashford - 6,David de Gea,,2020-2021
GR,be  Club Brugge,6,2,2,2,8,10,-2,8,Hans Vanaken - 3,Simon Mignolet,,2020-2021
GR,ua  Shakhtar,6,2,2,2,5,12,-7,8,Manor Solomon - 2,Anatolii Trubin,,2020-2021
GR,nl  Ajax,6,2,1,3,7,7,0,7,Dušan Tadić - 2,André Onana,,2020-2021
GR,it  Inter,6,1,3,2,7,9,-2,6,Romelu Lukaku - 4,Samir Handanović,,2020-2021
GR,ru  Krasnodar,6,1,2,3,6,11,-5,5,Marcus Berg - 2,Matvei Safonov,,2020-2021
GR,at  RB Salzburg,6,1,1,4,10,17,-7,4,Mergim Berisha - 4,Cican Stankovic,,2020-2021
GR,ua  Dynamo Kyiv,6,1,1,4,4,13,-9,4,Viktor Tsyhankov - 2,Heorhiy Bushchan,,2020-2021
GR,ru  Loko Moscow,6,0,3,3,5,10,-5,3,Anton Miranchuk - 3,Guilherme Marinato,,2020-2021
GR,gr  Olympiacos,6,1,0,5,2,10,-8,3,"Koka, Mohamed Camara - 1",José Sá,,2020-2021
GR,tr  Başakşehir,6,1,0,5,7,18,-11,3,İrfan Kahveci - 3,Mert Günok,,2020-2021
GR,fr  Marseille,6,1,0,5,2,13,-11,3,Dimitri Payet - 2,Steve Mandanda,,2020-2021
GR,dk  Midtjylland,6,0,2,4,4,13,-9,2,Alexander Scholz - 2,Jesper Hansen,,2020-2021
GR,fr  Rennes,6,0,1,5,3,11,-8,1,Serhou Guirassy - 2,Alfred Gomis,,2020-2021
GR,ru  Zenit,6,0,1,5,4,13,-9,1,"Artem Dzyuba, Aleksandr Erokhin... - 1",Mikhail Kerzhakov,,2020-2021
GR,hu  Ferencváros,6,0,1,5,5,17,-12,1,Franck Boli - 2,Dénes Dibusz,,2020-2021
W,es  Real Madrid,13,9,0,4,29,14,15,27,Karim Benzema - 15,Thibaut Courtois,→ Champions League via playoff win,2021-2022
F,eng  Liverpool,13,10,1,2,30,14,16,31,Mohamed Salah - 8,Alisson,,2021-2022
SF,eng  Manchester City,12,7,2,3,29,16,13,23,Riyad Mahrez - 7,Ederson,,2021-2022
SF,es  Villarreal,12,5,3,4,20,16,4,18,Arnaut Danjuma - 6,Gerónimo Rulli,,2021-2022
QF,de  Bayern Munich,10,7,2,1,31,7,24,23,Robert Lewandowski - 13,Manuel Neuer,,2021-2022
QF,eng  Chelsea,10,7,1,2,21,10,11,22,Timo Werner - 4,Edouard Mendy,,2021-2022
QF,pt  Benfica,10,3,4,3,14,17,-3,13,Darwin Núñez - 6,Odysseas Vlachodimos,,2021-2022
QF,es  Atlético Madrid,10,3,3,4,9,10,-1,12,Antoine Griezmann - 4,Jan Oblak,,2021-2022
R16,nl  Ajax,8,6,1,1,22,8,14,19,Sébastien Haller - 11,Remko Pasveer,,2021-2022
R16,it  Juventus,8,5,1,2,11,10,1,16,Paulo Dybala - 3,Wojciech Szczęsny,,2021-2022
R16,fr  Paris S-G,8,4,2,2,15,11,4,14,Kylian Mbappé - 6,Gianluigi Donnarumma,,2021-2022
R16,it  Inter,8,4,1,3,9,7,2,13,Edin Džeko - 3,Samir Handanović,,2021-2022
R16,eng  Manchester Utd,8,3,3,2,12,10,2,12,Cristiano Ronaldo - 6,David de Gea,,2021-2022
R16,fr  Lille,8,3,2,3,8,8,0,11,"Jonathan David, Burak Yılmaz - 3",Ivo Grbić,,2021-2022
R16,at  RB Salzburg,8,3,2,3,10,14,-4,11,"Karim Adeyemi, Noah Okafor - 3",Philipp Köhn,,2021-2022
R16,pt  Sporting CP,8,3,1,4,14,17,-3,10,Pedro Gonçalves - 4,Antonio Adán,,2021-2022
GR,de  Dortmund,6,3,0,3,10,11,-1,9,"Marco Reus, Donyell Malen... - 3",Gregor Kobel,,2021-2022
GR,de  RB Leipzig,6,2,1,3,15,14,1,7,Christopher Nkunku - 7,Péter Gulácsi,,2021-2022
GR,md  Sheriff Tiraspol,6,2,1,3,7,11,-4,7,"Adama Traoré, Sébastien Thill - 2",Giorgos Athanasiadis,,2021-2022
GR,es  Barcelona,6,2,1,3,2,9,-7,7,"Gerard Piqué, Ansu Fati - 1",Marc-André ter Stegen,,2021-2022
GR,es  Sevilla,6,1,3,2,5,5,0,6,Ivan Rakitić - 2,Yassine Bounou,,2021-2022
GR,it  Atalanta,6,1,3,2,12,13,-1,6,Duván Zapata - 3,Juan Musso,,2021-2022
GR,ru  Zenit,6,1,2,3,10,10,0,5,"Claudinho, Sardar Azmoun - 2",Stanislav Kritsyuk,,2021-2022
GR,ch  Young Boys,6,1,2,3,7,12,-5,5,Jordan Pefok - 2,"Guillaume Faivre, David von Ballmoos",,2021-2022
GR,de  Wolfsburg,6,1,2,3,5,10,-5,5,"Lukas Nmecha, Renato Steffen - 2",Koen Casteels,,2021-2022
GR,pt  Porto,6,1,2,3,4,11,-7,5,Luis Díaz - 2,Diogo Costa,,2021-2022
GR,it  Milan,6,1,1,4,6,9,-3,4,"Rafael Leão, Junior Messias... - 1","Mike Maignan, Ciprian Tătărușanu",,2021-2022
GR,be  Club Brugge,6,1,1,4,6,20,-14,4,Hans Vanaken - 3,Simon Mignolet,,2021-2022
GR,ua  Shakhtar,6,0,2,4,2,12,-10,2,Fernando - 2,Anatolii Trubin,,2021-2022
GR,ua  Dynamo Kyiv,6,0,1,5,1,11,-10,1,Denys Harmash - 1,Heorhiy Bushchan,,2021-2022
GR,se  Malmö,6,0,1,5,1,14,-13,1,Søren Rieks - 1,Johan Dahlin,,2021-2022
GR,tr  Beşiktaş,6,0,0,6,3,19,-16,0,"Javi Montero, Cyle Larin... - 1",Ersin Destanoğlu,,2021-2022
1,eng  Manchester City,13,8,5,0,32,5,27,29,Erling Haaland - 12,Ederson,→ Champions League via playoff win,2022-2023
2,it  Inter,13,7,3,3,19,11,8,24,Edin Džeko - 4,André Onana,,2022-2023
SF,es  Real Madrid,12,8,2,2,26,13,13,26,Vinicius Júnior - 7,Thibaut Courtois,,2022-2023
SF,it  Milan,12,5,3,4,15,11,4,18,Olivier Giroud - 5,Mike Maignan,,2022-2023
QF,de  Bayern Munich,10,8,1,1,22,6,16,25,"Leroy Sané, Eric Maxim Choupo-Moting - 4",Yann Sommer,,2022-2023
QF,it  Napoli,10,7,1,2,26,8,18,22,Victor Osimhen - 5,Alex Meret,,2022-2023
QF,pt  Benfica,10,6,3,1,26,13,13,21,João Mário - 6,Odysseas Vlachodimos,,2022-2023
QF,eng  Chelsea,10,5,1,4,12,9,3,16,Raheem Sterling - 3,Kepa Arrizabalaga,,2022-2023
R16,eng  Liverpool,8,5,0,3,19,12,7,15,Mohamed Salah - 8,Alisson,,2022-2023
R16,fr  Paris S-G,8,4,2,2,16,10,6,14,Kylian Mbappé - 7,Gianluigi Donnarumma,,2022-2023
R16,pt  Porto,8,4,1,3,12,8,4,13,Mehdi Taremi - 5,Diogo Costa,,2022-2023
R16,de  RB Leipzig,8,4,1,3,14,17,-3,13,"André Silva, Christopher Nkunku - 3",Janis Blaswich,,2022-2023
R16,de  Dortmund,8,3,3,2,11,7,4,12,Jude Bellingham - 4,Alexander Meyer,,2022-2023
R16,eng  Tottenham,8,3,3,2,8,7,1,12,"Son Heung-min, Richarlison - 2",Hugo Lloris,,2022-2023
R16,be  Club Brugge,8,3,2,3,8,11,-3,11,"Kamal Sowah, Ferran Jutglà - 2",Simon Mignolet,,2022-2023
R16,de  Eint Frankfurt,8,3,1,4,7,13,-6,10,Daichi Kamada - 3,Kevin Trapp,,2022-2023
GR,es  Barcelona,6,2,1,3,12,12,0,7,Robert Lewandowski - 5,Marc-André ter Stegen,,2022-2023
GR,pt  Sporting CP,6,2,1,3,8,9,-1,7,"Marcus Edwards, Arthur... - 2",Antonio Adán,,2022-2023
GR,fr  Marseille,6,2,0,4,8,8,0,6,"Alexis Sánchez, Chancel Mbemba... - 2",Pau López,,2022-2023
GR,ua  Shakhtar,6,1,3,2,8,10,-2,6,Mykhailo Mudryk - 3,Anatolii Trubin,,2022-2023
GR,at  RB Salzburg,6,1,3,2,5,9,-4,6,Noah Okafor - 3,Philipp Köhn,,2022-2023
GR,nl  Ajax,6,2,0,4,11,16,-5,6,Mohammed Kudus - 4,Remko Pasveer,,2022-2023
GR,es  Atlético Madrid,6,1,2,3,5,9,-4,5,"Antoine Griezmann, Yannick Carrasco... - 1",Jan Oblak,,2022-2023
GR,de  Leverkusen,6,1,2,3,4,8,-4,5,Moussa Diaby - 2,Lukáš Hrádecký,,2022-2023
GR,es  Sevilla,6,1,2,3,6,12,-6,5,Youssef En-Nesyri - 2,Yassine Bounou,,2022-2023
GR,hr  Dinamo Zagreb,6,1,1,4,4,11,-7,4,Mislav Oršić - 2,Dominik Livaković,,2022-2023
GR,it  Juventus,6,1,0,5,9,13,-4,3,"Adrien Rabiot, Arkadiusz Milik... - 2",Wojciech Szczęsny,,2022-2023
GR,dk  FC Copenhagen,6,0,3,3,1,12,-11,3,Hákon Arnar Haraldsson - 1,Kamil Grabara,,2022-2023
GR,il  Maccabi Haifa,6,1,0,5,7,21,-14,3,"Tjaronn Chery, Omer Atzili... - 2",Josh Cohen,,2022-2023
GR,sct  Celtic,6,0,2,4,4,15,-11,2,Jota - 2,Joe Hart,,2022-2023
GR,cz  Viktoria Plzeň,6,0,0,6,5,24,-19,0,Tomáš Chorý - 2,Jindřich Staněk,,2022-2023
GR,sct  Rangers,6,0,0,6,2,22,-20,0,"Scott Arfield, James Tavernier - 1",Allan McGregor,,2022-2023
1,es  Real Madrid,13,9,4,0,28,15,13,31,Vinicius Júnior - 6,Andriy Lunin,→ Champions League via playoff win,2023-2024
2,de  Dortmund,13,7,3,3,17,11,6,24,Niclas Füllkrug - 3,Gregor Kobel,,2023-2024
SF,de  Bayern Munich,12,7,3,2,21,13,8,24,Harry Kane - 8,Manuel Neuer,,2023-2024
SF,fr  Paris S-G,12,5,2,5,19,15,4,17,Kylian Mbappé - 8,Gianluigi Donnarumma,,2023-2024
QF,eng  Manchester City,10,8,2,0,28,13,15,26,Erling Haaland - 6,Ederson,,2023-2024
QF,es  Atlético Madrid,10,6,2,2,23,13,10,20,Antoine Griezmann - 6,Jan Oblak,,2023-2024
QF,es  Barcelona,10,6,1,3,20,14,6,19,"Raphinha, Robert Lewandowski... - 3",Marc-André ter Stegen,,2023-2024
QF,eng  Arsenal,10,5,2,3,19,8,11,17,"Leandro Trossard, Gabriel Jesus... - 4",David Raya,,2023-2024
R16,pt  Porto,8,5,0,3,16,9,7,15,Galeno - 5,Diogo Costa,,2023-2024
R16,it  Inter,8,4,3,1,10,7,3,15,"Alexis Sánchez, Marko Arnautović... - 2",Yann Sommer,,2023-2024
R16,de  RB Leipzig,8,4,1,3,14,12,2,13,Loïs Openda - 4,Janis Blaswich,,2023-2024
R16,it  Lazio,8,4,1,3,8,10,-2,13,Ciro Immobile - 4,Ivan Provedel,,2023-2024
R16,es  Real Sociedad,8,3,3,2,8,6,2,12,Brais Méndez - 3,Álex Remiro,,2023-2024
R16,it  Napoli,8,3,2,3,12,13,-1,11,Victor Osimhen - 2,Alex Meret,,2023-2024
R16,nl  PSV Eindhoven,8,2,4,2,9,13,-4,10,Luuk de Jong - 3,Walter Benítez,,2023-2024
R16,dk  FC Copenhagen,8,2,2,4,10,14,-4,8,"Mohamed Elyounoussi, Lukas Lerager - 3",Kamil Grabara,,2023-2024
GR,ua  Shakhtar,6,3,0,3,10,12,-2,9,Danylo Sikan - 4,Dmytro Riznyk,,2023-2024
GR,it  Milan,6,2,2,2,5,8,-3,8,Samuel Chukwueze - 2,Mike Maignan,,2023-2024
GR,fr  Lens,6,2,2,2,6,11,-5,8,"Angelo Fulgini, Elye Wahi - 2",Brice Samba,,2023-2024
GR,nl  Feyenoord,6,2,0,4,9,10,-1,6,Santiago Giménez - 2,Justin Bijlow,,2023-2024
GR,eng  Newcastle Utd,6,1,2,3,6,7,-1,5,"Dan Burn, Fabian Schär... - 1",Nick Pope,,2023-2024
GR,tr  Galatasaray,6,1,2,3,10,13,-3,5,"Mauro Icardi, Hakim Ziyech... - 2",Fernando Muslera,,2023-2024
GR,eng  Manchester Utd,6,1,1,4,12,15,-3,4,Rasmus Højlund - 5,André Onana,,2023-2024
GR,pt  Benfica,6,1,1,4,7,11,-4,4,João Mário - 3,Anatolii Trubin,,2023-2024
GR,at  RB Salzburg,6,1,1,4,4,8,-4,4,Oscar Gloukh - 2,Alexander Schlager,,2023-2024
GR,ch  Young Boys,6,1,1,4,7,13,-6,4,Meschak Elia - 2,Anthony Racioppi,,2023-2024
GR,pt  Braga,6,1,1,4,6,12,-6,4,"Bruma, Álvaro djaló - 2",Matheus,,2023-2024
GR,sct  Celtic,6,1,1,4,5,15,-10,4,"Kyogo Furuhashi, Luis Enrique Palma - 2",Joe Hart,,2023-2024
GR,be  Antwerp,6,1,0,5,6,17,-11,3,"Vincent Janssen, Arbnor Muja... - 1",Jean Butez,,2023-2024
GR,de  Union Berlin,6,0,2,4,6,10,-4,2,Sheraldo Becker - 2,Frederik Rønnow,,2023-2024
GR,es  Sevilla,6,0,2,4,7,12,-5,2,"Sergio Ramos, Nemanja Gudelj... - 2",Marko Dmitrović,,2023-2024
GR,rs  Red Star,6,0,1,5,7,15,-8,1,Osman Bukari - 2,Omri Glazer,,2023-2024
